id,title,author,url,fulltext_url,archive_url,entry_type,date,publisher,series,ISSN,ISBN,DOI,QID,volume,issue,pages,edition,language,license,key_type,taxon,scope,region,complete,target_taxa,part_of,,,,,,,,,,,
B16,The Tachinids (Diptera: Tachinidae) of Central Europe: Identification Keys for the Species and Data on Distribution and Ecology,Hans-Peter Tschorsnig; Benno Herting,,http://tachinidae.myspecies.info/sites/tachinidae.myspecies.info/files/Central%20European%20Key%20-%20plus%20figures.pdf,,online,2005-11-26,,,,,,,,,150,,en,,key,Tachinidae,,"Europe, Central",FALSE,species,,,,,,,,,,,,
B17,Key to the British Scathophagidae (Diptera),Stuart G Ball,,http://scathophagidae.myspecies.info/sites/scathophagidae.myspecies.info/files/scathophagid_key.pdf,https://web.archive.org/web/20210301054902/http://scathophagidae.myspecies.info/sites/scathophagidae.myspecies.info/files/scathophagid_key.pdf,online,2014-02-14,,,,,,,,,65,,en-GB,,key; reference,Scathophagidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B18,Key to the paper and social wasps of Central Europe (Hymenoptera: Vespidae); Klíč k určování vosíků a vos střední Evropy (Hymenoptera: Vespidae),Libor Dvořák; Stuart P M Roberts,https://www.aemnp.eu/acta-entomologica/volume-46/1132/key-to-the-paper-and-social-wasps-of-central-europe-hymenoptera-vespidae-klic-k-urcovani-vosiku-a-vos-stredni-evropy-hymenoptera-vespidae.html,https://www.aemnp.eu/data/article-1132/1113-46_0_221.pdf,,print,2006-06-06,,Acta Entomologica Musei Nationalis Prague,0374-1036,,,,46,,,,en; cs,,key; reference,Vespidae,,"Europe, Central",TRUE,species,,,,,,,,,,,,
B19,Identification key to the subfamilies of Ichneumonidae (Hymenoptera),Gavin R Broad,,https://www.brc.ac.uk/sites/www.brc.ac.uk/files/pictures/resources/ichneumonidae-subfamily-key.pdf,,online,2011-02-01,,,,,,,,,40,,en-GB,,key,Ichneumonidae,,"Europe, UK; Europe, Ireland",TRUE,subfamily,,,,,,,,,,,,
B20,The Sphecidae (Hymenoptera) of Fennoscandia and Denmark,O Lomholdt,https://brill.com/view/title/6409,,,print,1984-06-02,Brill,Fauna Entomologica Scandinavica,0106-8377,9789004072633,,,4,,452,2,en,,key; reference,Sphecidae,imagines; larvae,"Europe, Norway; Europe, Sweden; Europe, Finland; Europe, Denmark",TRUE,species,,,,,,,,,,,,
B21,De Cephidae en Argidae van Nederland (Hymenoptera),Y D Burggraaf-van Nierop; C van Achterberg,https://repository.naturalis.nl/pub/317231,https://repository.naturalis.nl/pub/317231/ZB1990039001.pdf,,print,1990,Naturalis,Zoologische Bijdragen,0459-1801,,,,39,1,,,nl-NL,CC-BY-4.0,key; reference,Cephidae; Argidae,,"Europe, Netherlands",TRUE,species,,,,,,,,,,,,
B22,De wespbijen (Nomada) van Nederland (Hymenoptera: Apidae),Jan Smit,https://repository.naturalis.nl/pub/261964,https://repository.naturalis.nl/pub/261964/NFM20_033-126.pdf,,print,2004,Naturalis,Nederlandse Faunistische Mededelingen,0169-2453,,,,20,,,,nl-NL,CC-BY-4.0,key; reference,Nomada,,"Europe, Netherlands",TRUE,species,B1,,,,,,,,,,,
B23,Solitaire bijen determineren,Dries Laget,,,http://web.archive.org/web/20160803225656/http://www.solitairebijen.ugent.be:80/Downloaden/TabelGenus.pdf,online,,,,,,,,,,,,nl-BE,,key,Apidae,,"Europe, Belgium",TRUE,genus,,,,,,,,,,,,
B24,"Synopsis der Systematik, Ökologie und Biogeographie der Neuropteren Mitteleuropas im Spiegel der Neuropteren-Fauna von Linz und Oberösterreich, sowie Bestimmungsschlüssel für die mitteleuropäischen Neuropteren und Beschreibung von Coniopteryx lentiae nov. spec.",Horst Aspöck; Ulrike Aspöck,https://www.zobodat.at/publikation_articles.php?id=50325,https://www.zobodat.at/pdf/NKJB_10_0115-0126.pdf,,print,1964,,Naturkundliches Jahrbuch der Stadt Linz,0470-3901,,,,10,,,,de-AT,,key; reference,Neuroptera,,"Europe, Central",TRUE,species,,,,,,,,,,,,
B25,A Key to British Freshwater Megaloptera and Neuroptera with notes on their life cycles and ecology,J M Elliot,,,,print,1977,Freshwater Biological Association,Freshwater Biological Association Scientific Publication,0367-1887,9780900386275,,,35,,52,,en-GB,,key; reference,Megaloptera; Neuroptera,freshwater species,"Europe, UK",TRUE,species,,,,,,,,,,,,
