id,title,author,url,fulltext_url,archive_url,entry_type,date,publisher,series,ISSN,ISBN,DOI,QID,volume,issue,pages,edition,language,license,key_type,taxon,scope,region,complete,target_taxa,part_of,,,,,,,,,,,
B167,Aphids - Macrosiphini (Aphidinae),Roger Laurence Blackman,https://www.royensoc.co.uk/publications/handbooks/aphids-aphidinae-macrosiphini,,,print,2010,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9780901546913,,Q107457044,2,7,414,,en-UK,,key,Macrosiphini,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B168,"Aphids – Anoeciinae, Lachninae, Eriosomatinae, Phloeomyzinae, Thelaxinae, Hormaphidinae, Mindarinae",Roger Laurence Blackman; Robert D Dransfield; Robert Brightwell,https://www.royensoc.co.uk/publications/handbooks/aphids-%E2%80%93-anoeciinae-lachninae-eriosomatinae-phloeomyzinae-thelaxinae,,,print,2019-12-01,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9781910159040,,Q107457045,2,8,215,,en-UK,,key,Anoeciinae; Lachninae; Eriosomatinae; Phloeomyzinae; Thelaxinae; Hormaphidinae; Mindarinae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B169,Coleoptera. Introduction and Key to Families,Roy Albert Crowson,,https://www.royensoc.co.uk/sites/default/files/Vol04_Part01.pdf,,print,1956-12-31,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457046,4,1,48,,en-UK,CC-BY-NC-SA-2.0-UK,key,Coleoptera,,"Europe, UK",TRUE,family,,,,,,,,,,,,
B170,British Coleoptera larvae. A guide to the families and major subfamilies,Peter M Hammond; Jane E Marshall; Michael L Cox; Leslie Jessop; Beulah H Garner; Maxwell V L Barclay,,https://www.royensoc.co.uk/sites/default/files/Vol04_Part01a.pdf,,print,2019,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9781910159033,,Q107457047,4,,280,,en-UK,,key,Coleoptera,larvae,"Europe, UK",TRUE,family,,,,,,,,,,,,
B171,The Carabidae (ground beetles) of Britain and Ireland,Carl H Lindroth,,https://www.royensoc.co.uk/sites/default/files/Archive%203/Vol04_Part02.pdf,,print,1974-08,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457048,4,2,148,1,en-UK,CC-BY-NC-SA-2.0-UK,key,Carabidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B172,The Carabidae (ground beetles) of Britain and Ireland,Martin L Luff,https://www.royensoc.co.uk/publications/handbooks/carabidae-ground-beetle-britain-and-ireland,,,print,2007,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9780901546869,,Q107457049,4,2,247,2,en-UK,,key,Carabidae,,"Europe, UK; Europe, Ireland",TRUE,species,,,,,,,,,,,,
B173,Coleoptera (Hydradephaga),Francis Balfour-Browne,,https://www.royensoc.co.uk/sites/default/files/Vol04_Part03.pdf,,print,1953,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457050,4,3,33,,en-UK,CC-BY-NC-SA-2.0-UK,key,Hydradephaga,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B174,Keys to adults of the water beetles of Britain and Ireland (Part 1),Garth N Foster; Laurie E Friday,,https://www.royensoc.co.uk/sites/default/files/Vol04_Part05.pdf,,print,2011,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9780901546937,,Q107457051,4,5,144,2,en-UK,,key,Hydradephaga,,"Europe, UK; Europe, Ireland",TRUE,species,,,,,,,,,,,,
B175,Keys to adults of the water beetles of Britain and Ireland (Part 2),Garth N Foster; David T Bilton; Laurie E Friday,,https://www.royensoc.co.uk/sites/default/files/Vol04_Part05b.pdf,,print,2014,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9780901546975,,Q107457052,4,,126,,en-UK,,key,Hydrophiloidea,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B176,Coleoptera. Clambidae,Colin Johnson,,,,print,1966-12,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9780901546067,,Q107457053,4,,12,,en-UK,,key,Clambidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B177,Coleoptera. Staphylinidae. Section (a). Piestinae to Euaesthetinae,Charles Edward Tottenham,,https://www.royensoc.co.uk/sites/default/files/Vol04_Part08a.pdf,,print,1954-11-30,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457054,4,,79,,en-UK,CC-BY-NC-SA-2.0-UK,key,Staphylinidae,,"Europe, UK",FALSE,species,,,,,,,,,,,,
B178,Coleoptera (Pselaphidae),E J Pearce,,https://www.royensoc.co.uk/sites/default/files/Vol04_Part09.pdf,,print,1957-06-21,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457055,4,9,32,,en-UK,CC-BY-NC-SA-2.0-UK,key,Pselaphidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B179,Coleoptera. Histeroidea. Sphaeritidae and Histeridae,David G H Halstead,,https://www.royensoc.co.uk/sites/default/files/Vol04_Part10.pdf,,print,1963-02-28,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457056,4,10,16,,en-UK,CC-BY-NC-SA-2.0-UK,key,Histeroidea,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B180,Coleoptera. Buprestidae,Brian Levey,,https://www.royensoc.co.uk/sites/default/files/Vol05_Part01b.pdf,,print,1977,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457057,5,,8,,en-UK,CC-BY-NC-SA-2.0-UK,key,Buprestidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B181,Coleoptera. Heteroceridae,R Q S Clarke,,https://www.royensoc.co.uk/sites/default/files/Vol05_Part02c.pdf,,print,1973-12,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457058,5,,15,,en-UK,CC-BY-NC-SA-2.0-UK,key,Heteroceridae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B182,"Adults and larvae of hide, larder and carpet beetles and their relatives (Coleoptera: Dermestidae) and of derontid beetles (Coleoptera: Derontidae)",Enid Rowena Peacock,https://www.royensoc.co.uk/publications/handbooks/adults-and-larvae-hide-larder-and-carpet-beetles-and-their-relatives,,,print,1993-07-01,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9780901546784,,Q107457059,5,3,144,,en-UK,,key,Dermestidae; Derodontidae,imagines; larvae,"Europe, UK",TRUE,species,,,,,,,,,,,,
B183,Coleoptera. Rhizophagidae,Enid Rowena Peacock,,https://www.royensoc.co.uk/sites/default/files/Vol05_Part05a.pdf,,print,1977,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457060,5,,19,,en-UK,CC-BY-NC-SA-2.0-UK,key,Rhizophagidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B184,Coleoptera. Phalacridae,Richard Thomas Thompson,,https://www.royensoc.co.uk/sites/default/files/Vol05_Part05b.pdf,,print,1958-11-28,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457062,5,,17,,en-UK,CC-BY-NC-SA-2.0-UK,key,Phalacridae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B185,Pollen Beetles - Coleoptera: Kateretidae and Nitidulidae: Meligethinae,Ashley H Kirk-Spriggs,,https://www.royensoc.co.uk/sites/default/files/Vol05_Part06a.pdf,,print,1996,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9780901546807,,Q107457063,5,,157,,en-UK,,key,Kateretidae; Meligethinae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B186,Coleoptera. Coccinellidae & Sphindidae,Robert Dennis Pope,,https://www.royensoc.co.uk/sites/default/files/Vol05_Part07.pdf,,print,1953-08-25,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457064,5,7,12,,en-UK,CC-BY-NC-SA-2.0-UK,key,Coccinellidae; Sphindidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B187,"Coleoptera (Lagriidae, Alleculidae, Tetratomidae, Melandryidae, Salpingidae, Pythidae, Mycteridae, Oedemeridae, Mordellidae, Scraptiidae, Pyrochroidae, Rhipiphoridae, Anthicidae, Aderidae and Meloidae)",F D Buck,,https://www.royensoc.co.uk/sites/default/files/Vol05_Part09.pdf,,print,1954-05-24,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457065,5,9,30,,en-UK,CC-BY-NC-SA-2.0-UK,key,Lagriidae; Alleculidae; Tetratomidae; Melandryidae; Salpingidae; Pythidae; Mycteridae; Oedemeridae; Mordellidae; Scraptiidae; Pyrochroidae; Rhipiphoridae; Anthicidae; Aderidae; Meloidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B188,Coleoptera. Tenebrionidae,Martin J D Brendell,,https://www.royensoc.co.uk/sites/default/files/Vol05_Part10.pdf,,print,1975-06,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457066,5,10,22,,en-UK,CC-BY-NC-SA-2.0-UK,key,Tenebrionidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B189,"Coleoptera. Scarabaeoidea. Lucanidae, Trogidae, Geotrupidae, Scarabaeidae",E B Britton,,https://www.royensoc.co.uk/sites/default/files/Vol05_Part11_ed1.pdf,,print,1956-12-31,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457067,5,11,29,1,en-UK,CC-BY-NC-SA-2.0-UK,key,Scarabaeoidea,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B190,Dung Beetles and Chafers Coleoptera: Scarabaeoidea,Leslie Jessop,,https://www.royensoc.co.uk/sites/default/files/Vol05_Part11.pdf,,print,1986,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457068,5,11,53,2,en-UK,CC-BY-NC-SA-2.0-UK,key,Scarabaeoidea,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B191,Coleoptera (Cerambycidae),Evelyn Arthur Joseph Duffy,,https://www.royensoc.co.uk/sites/default/files/Vol05_Part12.pdf,,print,1952-09-05,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457069,5,12,18,,en-UK,CC-BY-NC-SA-2.0-UK,key,Cerambycidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B192,Coleoptera (Scolytidae and Platypodidae),Evelyn Arthur Joseph Duffy,,https://www.royensoc.co.uk/sites/default/files/Vol05_Part15.pdf,,print,1953-08-25,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457070,5,15,20,,en-UK,CC-BY-NC-SA-2.0-UK,key,Scolytidae; Platypodidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B193,"Orthocerous weevils. Coleoptera Curculionoidea (Nemonychidae, Anthribidae, Urodontidae, Attelabidae and Apionidae)",Micheal G Morris,https://www.royensoc.co.uk/publications/handbooks/orthocerous-weevils-coleoptera-curculionoidea-nemonychidae-anthribidae,,,print,1990,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9780901546692,,Q107457071,5,16,108,,en-UK,,key,Nemonychidae; Anthribidae; Urodontidae; Attelabidae; Apionidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B194,Broad-nosed Weevils. Coleoptera: Curculionidae (Entiminae),Micheal G Morris,https://www.royensoc.co.uk/publications/handbooks/broad-nosed-weevils-coleoptera-curculionidae-entiminae,,,print,1997,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9780901546791,,Q107457072,5,,106,,en-UK,,key,Entiminae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B195,True Weevils (Part 1) Coleoptera: Curculionidae (subfamilies Raymondionyminae to Smicronychinae),Micheal G Morris,https://www.royensoc.co.uk/publications/handbooks/true-weevils-part-1-coleoptera-curculionidae-subfamilies-raymondionyminae,,,print,2002,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457074,5,,149,,en-UK,,key,,,"Europe, UK",,species,,,,,,,,,,,,
B196,"True Weevils (Part II) (Coleoptera: Curculionidae, Ceutorhynchinae)",Micheal G Morris,https://www.royensoc.co.uk/publications/handbooks/true-weevils-part-ii-coleoptera-curculionidae-ceutorhynchinae,,,print,2008,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9780901546876,,Q107457075,5,,149,,en-UK,,key,Ceutorhynchinae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B197,"True Weevils (Part III) (Coleoptera: Curculioninae, Baridinae, Orobitidinae)",Micheal G Morris,,https://www.royensoc.co.uk/sites/default/files/Vol05_Part17d.pdf,,print,2012,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9780901546951,,Q107457076,5,,136,,en-UK,,key,Curculioninae; Baridinae; Orobitidinae,,"Europe, UK",FALSE,species,,,,,,,,,,,,
B198,British Scraptiidae,Brian Levey,https://www.royensoc.co.uk/publications/handbooks/british-scraptiidae,,,print,2009,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457077,5,18,32,,en-UK,,key,Scraptiidae,,"Europe, UK; Europe, Ireland",TRUE,species,,,,,,,,,,,,
B199,Hymenoptera. Introduction and Keys to Families,Owain Westmacott Richards,,,,print,1956,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457078,6,1,94,1,en-UK,,key,Hymenoptera,,"Europe, UK",TRUE,family,,,,,,,,,,,,
B200,Hymenoptera. Introduction and Keys to Families,Owain Westmacott Richards,,https://www.royensoc.co.uk/sites/default/files/Vol06_Part01_ed2.pdf,,print,1977,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457079,6,1,100,2,en-UK,CC-BY-NC-SA-2.0-UK,key,Hymenoptera,,"Europe, UK",TRUE,family,,,,,,,,,,,,
B201,Hymenoptera. 2. Symphyta. Section (a),Robert Bernard Benson,,https://www.royensoc.co.uk/sites/default/files/Vol06_Part02a.pdf,,print,1951-10-31,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457080,6,,49,1,en-UK,CC-BY-NC-SA-2.0-UK,key,Symphyta,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B202,Symphyta (except Tenthredinidae) - Hymenoptera,John Quinlan; Ian David Gauld,https://www.royensoc.co.uk/publications/handbooks/symphyta-except-tenthredinidae-hymenoptera,,,print,1981,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9780901546562,,Q107457082,6,,67,2,en-UK,,key,Symphyta,,"Europe, UK",FALSE,species,,,,,,,,,,,,
B203,Hymenoptera. 2. Symphyta. Section (b),Robert Bernard Benson,,https://www.royensoc.co.uk/sites/default/files/Archive%203/Vol06_Part02b.pdf,,print,1951-09-05,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457083,6,,88,,en-UK,CC-BY-NC-SA-2.0-UK,key,Symphyta,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B204,Hymenoptera. 2. Symphyta. Section (c),Robert Bernard Benson,,https://www.royensoc.co.uk/sites/default/files/Vol06_Part02c.pdf,,print,1958-10-03,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457084,6,,114,,en-UK,CC-BY-NC-SA-2.0-UK,key,Symphyta,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B205,Hymenoptera. Bethyloidea (excluding Chrysididae),John Frederick Perkins,,https://www.royensoc.co.uk/sites/default/files/Vol06_Part03a.pdf,,print,1976-01,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457085,6,,38,,en-UK,CC-BY-NC-SA-2.0-UK,key,Embolemidae; Bethylidae; Dryinidae,,"Europe, UK",TRUE,species,B376,,,,,,,,,,,
B206,"Scolioidea, Vespoidea and Sphecoidea. Hymenoptera, Aculeata",Owain Westmacott Richards,,https://www.royensoc.co.uk/sites/default/files/Vol06_Part03b_Richards.pdf,,print,1980,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107369849,6,,118,,en-UK,CC-BY-NC-SA-2.0-UK,key,Scolioidea; Vespoidea; Sphecoidea,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B207,Hymenoptera. Formicidae,Barry Bolton; Cedric A Collingwood,,https://www.royensoc.co.uk/sites/default/files/Vol06_Part03c.pdf,,print,1975-06,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457086,6,,34,,en-UK,CC-BY-NC-SA-2.0-UK,key,Formicidae,,"Europe, UK; Europe, Ireland",TRUE,species,,,,,,,,,,,,
B208,Spider wasps. Hymenoptera: Pompilidae,Michael C Day,,https://www.royensoc.co.uk/sites/default/files/Vol06_Part04.pdf,,print,1988,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,901546704,,Q107457087,6,4,,,en-UK,CC-BY-NC-SA-2.0-UK,key,Pompilidae,,"Europe, UK",TRUE,species,B376,,,,,,,,,,,
B209,"Cuckoo-Wasps. Hymenoptera, Chrysididae",D Morgan,,https://www.royensoc.co.uk/sites/default/files/Vol06_Part05.pdf,,print,1984,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457088,6,5,37,,en-UK,CC-BY-NC-SA-2.0-UK,key,Chrysididae,,"Europe, UK; Europe, Ireland",TRUE,species,B376,,,,,,,,,,,
B210,"The Vespoid Wasps (Tiphiidae, Mutillidae, Sapygidae, Scoliidae and Vespidae) of the British Isles",M E Archer,https://www.royensoc.co.uk/publications/handbooks/vespoid-wasps-tiphiidae-mutillidae-sapygidae-scoliidae-and-vespidae-british,,,print,2014,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9780901546982,,Q107457089,6,6,82,,en-UK,,key,Tiphiidae; Mutillidae; Sapygidae; Scoliidae; Vespidae,,"Europe, UK; Europe, Ireland",TRUE,species,,,,,,,,,,,,
B211,"Pimpline Ichneumon-Flies Hymenoptera, Ichneumonidae (Pimplinae)",Mark R Shaw; Michael G Fitton; Ian David Gauld,,https://www.royensoc.co.uk/sites/default/files/Vol07_Part01.pdf,,print,1988,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,901546720,,Q107457090,7,1,110,,en-UK,CC-BY-NC-SA-2.0-UK,key,Pimplinae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B212,Hymenoptera. Ichneumonoidae. Ichneumonidae Key to Subfamilies and Ichneumoninae—I,John Frederick Perkins,,https://www.royensoc.co.uk/sites/default/files/Vol07_Part02a_i.pdf,,print,1959-10-27,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457091,7,,116,,en-UK,CC-BY-NC-SA-2.0-UK,key,Ichneumoninae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B213,"Hymenoptera. Ichneumonoidae. Ichneumonidae, subfamilies Ichneumonini—II, Alomyinae, Agriotypinae and Lycorininae",John Frederick Perkins,,https://www.royensoc.co.uk/sites/default/files/Archive%203/Vol07_Part02a_ii.pdf,,print,1960-08-16,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457092,7,,96,,en-UK,CC-BY-NC-SA-2.0-UK,key,Ichneumoninae; Alomyinae; Agriotypinae; Lycorininae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B214,Hymenoptera. Family Ichneumonidae. Subfamilies Orthopelmatinae and Anomaloninae,Ian David Gauld; P A Mitchell,,https://www.royensoc.co.uk/sites/default/files/Vol07_Part02b.pdf,,print,1977,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457094,7,,32,,en-UK,CC-BY-NC-SA-2.0-UK,key,Orthopelmatinae; Anomaloninae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B215,The Banchine Wasps (Ichneumonidae: Banchinae) of the British Isles,J P Brock,https://www.royensoc.co.uk/publications/handbooks/banchine-wasps-ichneumonidae-banchinae-british-isles,,,print,2017,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9781910159019,,Q107457095,7,4,150,,en-UK,CC-BY-NC-SA-2.0-UK,key,Banchinae,,"Europe, UK; Europe, Ireland",TRUE,species,,,,,,,,,,,,
B216,Classification and Biology of Braconid Wasps (Hymenoptera: Braconidae),Mark R Shaw; T Huddleston,,https://www.royensoc.co.uk/sites/default/files/Vol07_Part11.pdf,,print,1991,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,901546771,,Q107457096,7,11,126,,en-UK,CC-BY-NC-SA-2.0-UK,key; collection,Braconidae,,"Europe, UK",TRUE,subfamily,,,,,,,,,,,,
B217,Ichneumonid Wasps (Hymenoptera: Ichneumonidae): their Classification and Biology,Gavin R Broad; Mark R Shaw; Michael G Fitton,https://www.royensoc.co.uk/publications/handbooks/ichneumonid-wasps-hymenoptera-ichneumonidae-their-classification-and-biology,,,print,2018,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,9781910159026,,Q107457097,7,12,424,,en-UK,CC-BY-NC-SA-2.0-UK,key; collection,Ichneumonidae,,"Europe, UK; Europe, Ireland",TRUE,subfamily,,,,,,,,,,,,
B218,"Hymenoptera. Cynipoidea. Key to Families and Subfamilies, and Cynipinae (Including Galls)",R D Eady; John Quinlan,,https://www.royensoc.co.uk/sites/default/files/Vol08_Part01a.pdf,,print,1963-02-28,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457098,8,,81,,en-UK,CC-BY-NC-SA-2.0-UK,key,Cypininae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B219,Hymenoptera. Cynipoidea. Eucoilidae,John Quinlan,,https://www.royensoc.co.uk/sites/default/files/Vol08_Part01b.pdf,,print,1978,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457099,8,,58,,en-UK,CC-BY-NC-SA-2.0-UK,key,Eucoilidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B220,"Hymenoptera. Cynipoidea. Charipidae, Ibaliidae and Figitidae",N D M Fergusson,,https://www.royensoc.co.uk/sites/default/files/Vol08_Part01c.pdf,,print,1986,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457100,8,,55,,en-UK,,key,Charipidae; Ibaliidae; Figitidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B221,"Hymenoptera. Chalcidoidea. Agaontidae, Leucospidae, Chalcididae, Eucharitidae, Perilampidae, Cleonymidae and Thysanidae ",Charles Ferrière; G J Kerrich,,https://www.royensoc.co.uk/sites/default/files/Vol08_Part02a.pdf,,print,1958-11-28,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457154,8,,40,,en-UK,CC-BY-NC-SA-2.0-UK,key,Agaontidae; Leucospidae; Chalcididae; Eucharitidae; Perilampidae; Cleonymidae; Thysanidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B222,"Hymenoptera. Chalcidoidea. Elasmidae and Eulophidae (Elachertinae, Eulophinae, Euderinae)",R R Askew,,https://www.royensoc.co.uk/sites/default/files/Vol08_Part02b.pdf,,print,1968-01-31,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457102,8,,39,,en-UK,CC-BY-NC-SA-2.0-UK,key,Elasmidae; Eulophidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B223,"Diapriidae (Diapriinae). Hymenoptera, Proctotrupoidea",Gilbert Edward James Nixon,,https://www.royensoc.co.uk/sites/default/files/Vol08_Part03d_i.pdf,,print,1980,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457103,8,,55,,en-UK,CC-BY-NC-SA-2.0-UK,key,Diapriinae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B224,Hymenoptera. Proctotrupoidea. Diapriidae subfamily Belytinae,Gilbert Edward James Nixon,,https://www.royensoc.co.uk/sites/default/files/Vol08_Part03d_ii.pdf,,print,1957-12-31,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457104,8,,107,,en-UK,CC-BY-NC-SA-2.0-UK,key,Belytinae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B225,Diptera. Introduction and key to families,Harold Oldroyd,,,,print,1949,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457105,9,1,,1,en-UK,,key,Diptera,,"Europe, UK; Europe, Ireland",TRUE,family,,,,,,,,,,,,
B226,Diptera. 1. Introduction and key to families,Harold Oldroyd,,https://www.royensoc.co.uk/sites/default/files/Vol09_Part01.pdf,,print,1954-04,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457106,9,1,49,2,en-UK,CC-BY-NC-SA-2.0-UK,key,Diptera,,"Europe, UK; Europe, Ireland",TRUE,family,,,,,,,,,,,,
B227,Diptera. Introduction and key to families,Harold Oldroyd,,,,print,1970,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457107,9,1,104,3,en-UK,,key,Diptera,,"Europe, UK; Europe, Ireland",TRUE,family,,,,,,,,,,,,
B228,Diptera. 2. Nematocera: families Tipulidae to Chironomidae. Tipulidae,Ralph Leonard Coe,,https://www.royensoc.co.uk/sites/default/files/Vol09_Part02_1_Tipulidae.pdf,,print,1950-05-31,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457108,9,,64,,en-UK,CC-BY-NC-SA-2.0-UK,key,Tipulidae,,"Europe, UK",TRUE,species,B231,,,,,,,,,,,
B229,Diptera. 2. Nematocera: families Tipulidae to Chironomidae. Trichoceridae Anisopodidae Ptychopteraidae Physchodidae Culicidae,Paul Freeman,,https://www.royensoc.co.uk/sites/default/files/Vol09_Part02_1_Tipulidae.pdf,,print,1950-05-31,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457109,9,,51,,en-UK,CC-BY-NC-SA-2.0-UK,key,Trichoceridae; Anisopodidae; Ptychopteraidae; Physchodidae; Culicidae,,"Europe, UK",TRUE,species,B231,,,,,,,,,,,
B230,Diptera. 2. Nematocera: families Tipulidae to Chironomidae. Chironomidae,Ralph Leonard Coe,,https://www.royensoc.co.uk/sites/default/files/Vol09_Part02_3_Chironomidae.pdf,,print,1950-05-31,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457110,9,,95,,en-UK,CC-BY-NC-SA-2.0-UK,key,Chironomidae,,"Europe, UK",TRUE,species,B231,,,,,,,,,,,
B231,Diptera 2. Nematocera: families Tipulidae to Chironomidae,Paul Freeman; Ralph Leonard Coe; Peter Frederick Mattingly,,,,print,1950-05-31,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457111,9,2,216,,en-UK,,key,Tipulidae; Trichoceridae; Anisopodidae; Ptychopteraidae; Physchodidae; Culicidae; Chironomidae,,"Europe, UK",TRUE,species,,,,,,,,,,,,
B232,"Mycetophilidae (Bolitophilinae, Ditomyiinae, Diadocidiinae, Keroplatinae, Sciophilinae and Manotinae). Diptera, Nematocera",Anthony Michael Hutson; D M Ackland; L N Kidd,,https://www.royensoc.co.uk/sites/default/files/Vol09_Part03.pdf,,print,1980,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457112,9,3,111,,en-UK,CC-BY-NC-SA-2.0-UK,key,Mycetophilidae,,"Europe, UK",FALSE,species,,,,,,,,,,,,
B233,Diptera. Brachycera. Section (a) Tabanoidea and Asiloidea,Harold Oldroyd,,https://www.royensoc.co.uk/sites/default/files/Archive%202/Vol09_Part04a.pdf,,print,1969-12-12,Royal Entomological Society,Handbooks for the Identification of British Insects,0962-5852,,,Q107457113,9,,132,,en-UK,CC-BY-NC-SA-2.0-UK,key,Tabanoidea; Asiloidea,,"Europe, UK",TRUE,species,,,,,,,,,,,,
