name,id,qid,display_name,full_names,duplicate_of
Jean-Pierre Sarthou,A1023,Q114575032,Jean-Pierre Sarthou,,
Michel Sartori,A1024,Q21392052,Michel Sartori,,
Giulia Scarparo,A1025,,Giulia Scarparo,,
Jaap van Schaik,A1026,Q88786731,Jaap van Schaik,,
Joop Schaminée,A1027,Q2830965,Joop Schaminée,,
Ulf Scheller,A1028,Q21393573,Ulf Scheller,,
Maarten Schermer,A1029,,Maarten Schermer,,
Erwin Scheuchl,A1030,Q21337753,Erwin Scheuchl,,
Nathan M Schiff,A1031,Q22107278,Nathan M Schiff,,
Harald Schillhammer,A1032,Q21395532,Harald Schillhammer,,
Menno Schilthuizen,A1033,Q6817184,Menno Schilthuizen,,
Konrad Schmidt,A1034,,Konrad Schmidt,,
Constantin Schmidt,A1035,Q48026058,Constantin Schmidt,,
Otto Schmiedeknecht,A1036,Q3357843,Otto Schmiedeknecht,,
Franz-Rudolf Schnitzler,A1037,Q21393254,Franz-Rudolf Schnitzler,,
Eric Schoeters,A1038,,Eric Schoeters,,
Michiel Schreijer,A1039,Q115815156,Michiel Schreijer,,
Erika Müller-Schulte,A1040,Q107564576,Erika Müller-Schulte,,
André Schulten,A1041,,André Schulten,,
Maximilian Schwarz,A1042,Q21337627,Maximilian Schwarz,,
Martin Schwarz,A1043,Q50147503,Martin Schwarz,,
Michael P Schwarz,A1044,Q103800324,Michael P Schwarz,,
Hans Richard Schwenninger,A1045,Q112965371,Hans Richard Schwenninger,,
Cristiano Feldens Schwertner,A1046,Q21390350,Cristiano Feldens Schwertner,,
Karen Scott,A1047,,Karen Scott,,
Sam Segal,A1048,Q29551744,Sam Segal,,
Stijn Segers,A1049,,Stijn Segers,,
Bernhard Seifert,A1050,Q22111401,Bernhard Seifert,,
Georges Senevet,A1051,Q21341497,Georges Senevet,,
Anna Seniczak,A1052,Q113488142,Anna Seniczak,,
Igor Shamshev,A1053,Q21340327,Igor Shamshev,Игорь Васильевич Шамшев; Igor Vasilievich Shamshev,
Anatole I Shatalkin,A1054,Q21392914,Anatole Ivanovich Shatalkin,Анатолий Иванович Шаталкин; Anatolij Ivanovič Šatalkin; Anatoliĭ Ivanovich Shatalkin,
Stephen Shattuck,A1055,,Stephen Shattuck,,
Mark R Shaw,A1056,Q25664888,Mark Robert Shaw,,
Akihiko Shinohara,A1057,Q21393519,Akihiko Shinohara,篠原明彦,
Alexandra Alexandrovna Shmeleva,A1058,Q124424924,Alexandra Alexandrovna Shmeleva,Александры Александровны Шмелёвой,
Henk Siepel,A1059,Q102420338,Henk Siepel,,
Liekele Sijstermans,A1060,Q104520930,Liekele Sijstermans,,
Erik Simons,A1061,,Erik Simons,,
Robert Terko Simonthomas,A1062,Q115862838,Robert Terko Simon Thomas,,
Reginald William Sims,A1063,Q47528296,Reginald William Sims,,
Carlos Simón,A1064,Q21341775,Carlos Simón,José Carlos Simón-Benito,
Olga Sivell,A1065,Q107383152,Olga Sivell,,
E Sjöro,A1066,,E Sjöro,,
Liselott Sjödin Skarp,A1067,,Liselott Sjödin Skarp,,
John Skartveit,A1068,Q11979052,John Skartveit,,
Josip Skejo,A1069,Q21390761,Josip Skejo,,
Paul Edward Skelley,A1070,Q21337759,Paul Edward Skelley,,
Gary J Skinner,A1071,,Gary J Skinner,,
Lars Skipper,A1072,,Lars Skipper,,
Dirk Slagter,A1073,,Dirk Slagter,,
Linde Slikboer,A1074,,Linde Slikboer,,
Malcolm J Smart,A1075,,Malcolm J Smart,,
John Smart,A1076,Q22113557,John Smart,,
Jane van der Smissen,A1077,Q55229394,Jane van der Smissen,,
Jan Smit,A1078,,Jan Smit,,
John T Smit; John Smit,A1079,Q65562599,John Smit,,
Franciscus Gerardus Albertus Maria Smit; F G A M Smit,A1080,Q25440857,Frans Gerardus Albertus Maria Smit,Franciscus Gerardus Albertus Maria Smit,
Harry Smit,A1081,Q21074212,Harry Smit,,
Kenneth George Valentine Smith,A1082,,Kenneth George Valentine Smith,,
David R Smith,A1083,Q22112423,David Rollins Smith,,
G B Smith,A1084,Q94701232,Graeme B Smith,,
Courtenay N Smithers,A1085,Q21338314,Courtenay Neville Smithers,,
Albano Soares,A1086,,Albano Soares,,
Menno Soes,A1087,Q112972509,Menno Soes,,
Antonio Giordani Soika,A1088,Q21503073,Antonio Giordani Soika,,
Tomas Soldan,A1089,Q21341876,Tomáš Soldán,,
Fabien Soldati,A1090,Q97139265,Fabien Soldati,,
John O Solem,A1091,,John O Solem,,
Alexey Solodovnikov,A1092,Q50133063,Alexey Solodovnikov,Alexey Yurievich Solodovnikov,
Villu Soon,A1093,Q22112963,Villu Soon,,
Jun Souma,A1094,Q90770121,Jun Souma,相馬 純,
Javier Souto; J Souto,A1095,Q21391220,Javier Souto,Javier Souto Derungs,
Martin C D Speight,A1096,Q27922088,Martin Christopher Dean Speight,,
Kenneth A Spencer,A1097,Q22109266,Kenneth Angus Spencer,,
Jeroen Speybroeck,A1098,Q60729576,Jeroen Speybroeck,,
Fiona Spier,A1099,,Fiona Spier,,
Frank Spikmans,A1100,,Frank Spikmans,,
Charles-Jacques Spillmann,A1101,Q113628667,Charles-Jacques Spillmann,,
Kamiel Spoelstra,A1102,Q56786464,Kamiel Spoelstra,,
Ashley H Kirk-Spriggs,A1103,Q21392129,Ashley H Kirk-Spriggs,,
R T Springthorpe,A1104,Q22106586,Roger T Springthorpe,,
R Spräck,A1105,,R Spräck,,
Thomas Stach,A1106,Q88481484,Thomas Stach,,
Agata Luka-Stan,A1107,,Agata Luka-Stan,,
Gionata Stancher,A1108,Q99417447,Gionata Stancher,,
Danswell Starr,A1109,,Danswell Starr,,
Wojciech Staręga,A1110,Q20830536,Wojciech Staręga,,
