name,id,qid,rank,gbif,children_gbif,ancestors_gbif,duplicate_of
Alticinae,T30,Q20379581,subfamily,,3260144; 9516847; 3260159; 4732906; 8660427; 6757780; 11216584; 4574151; 1047860; 4725783; 4769162; 4734585; 4736594; 4730504; 1047832; 4733321; 4719956; 3262856; 6950247; 9852128; 10246436; 9610260; 9492803; 4720117; 3263950; 4732886; 4735023; 4746543; 4760351; 4755105; 6951281; 4718878; 4734024; 4736781; 4576578; 4720423; 4742976; 4762867; 4755931; 4734628; 4719007; 4760222; 4732602; 4733329; 12110206; 4731664; 9624795; 4726565; 3260152; 4732503; 4733630; 4734567; 10838872; 4713650; 9582230; 1048526; 11377126; 9242289; 4576051; 8780994; 9331493; 10924864; 1047649; 1049119; 1048466; 4733979; 1047579; 4732583; 4731795; 4730626; 3259990; 1049390; 1048980; 1049368; 1048788; 1048927; 1049001; 1047441; 1049212; 1049168; 1048259; 1047754; 4733512; 4746571; 3260168; 3262975; 4732121; 4573385; 4744859; 4735052; 4733387; 4730887; 4730491; 6757757; 4760815; 4763046; 1048170; 4734397; 4743806; 1048568; 1049048; 1047376; 1049050; 1049023; 1048361; 1049386; 1048577; 1049015; 1047569; 1047295; 4990600; 1047457; 1049419; 4739908; 4743884; 4734963; 4731729; 4740745; 4740893; 1049513; 4734941; 6949288; 4764317; 4726113; 4733518; 3263552; 4732722; 4733808; 4744926; 8728908; 4761648; 1047945; 4760742; 4763649; 4731383; 8082565; 1047564; 4743538; 4741074; 4761459; 4745111; 4742240; 1047399; 4734075; 4732978; 4759964; 4720047; 4731723; 4743579; 4736918; 4731713; 4741638; 4761511; 4576264; 4737006; 4732219; 4731200; 4733211; 4731165; 4753625; 4732582; 4733963; 4741778; 4746696; 4735244; 4717827; 4733472; 4719941; 1048495; 1048813; 1047448; 4407226; 9087372; 4730301; 1047935; 1048359; 1048343; 3260000; 4405815; 4406333; 4732141; 4733996; 4734357; 4734077; 4574473; 4713696; 9028424; 4746555; 1049215; 6950422; 4730627; 4732600; 4762620; 4765670; 4734579; 4768969; 4743906; 4744167; 4721250; 4732851; 4726655; 4732850; 4732131; 4748124; 1048444; 1048816; 4743314; 4733327; 3260038; 4733280; 4746280; 4765983; 4725976; 4760302; 4718813; 4741650; 1048517; 4713869; 1047911; 3262538; 4744599; 4740349; 4717029; 4743575; 4730639; 8248497; 4742100; 4732977; 4730567; 4733992; 4734056; 1047601; 4734059; 1048246; 4725975; 4743327; 9184191; 3260362; 4734621; 4765376; 4744619; 6950647; 1048145; 4733425; 3260023; 4747241; 4733807; 4760828; 4720018; 4735072; 4726858; 4726231; 4743488; 4408105; 4721306; 1416137; 6950533; 4990861; 1048876; 3260036; 7668106; 4407190; 4576596; 4716591; 4748355; 4719849; 4743320; 4765613; 4717743; 4719377; 4741705; 4730570; 4732101; 4576610; 4404487; 4761656; 4735124; 4732584; 9335976; 4748260; 3260112; 4744612; 4732066; 5995279; 4717728; 4733672; 5431132; 7635719; 4747385; 4726528; 1049381; 4747424; 4725943; 4726249; 1049074; 4744263; 4725858; 4721319; 4734638; 4730624; 4733617; 9304173; 5430852; 8357552; 3260148; 8767483; 9260817; 4733984; 9494561; 4733757; 8690343; 9427449; 4731184; 4868426; 9346372; 4733842; 4719405; 4732824; 4721174; 8169368; 4740193; 4730851; 11063319; 9240460; 8620093; 9275362; 9509899; 9287580; 4733759; 9464118; 4732223; 4733293; 4577709; 4760413; 4721936; 4721762; 4764898; 4755314; 4732694; 3260164; 4746721; 4732725; 9295897; 4791511; 4760972; 3260073; 4763896; 4734377; 4734025; 4732895; 3262648; 3262442; 4732887; 4761664; 4736742; 9113951; 4733186; 4746765; 4747948; 4766122; 4718073; 4747119; 4755848; 1047632; 4716727; 4726034; 4726198; 4741646; 1048519; 4731840; 4577366; 4732063; 4733337; 4720157; 4732719; 4720055; 4763464; 1049311; 4733966; 4761763; 4734995; 4576176; 4732732; 4764217; 4746157; 3260001; 4725895; 1048374; 1047762; 4405504; 4745967; 4733360; 8566492; 4735194; 4735765; 4731199; 4765683; 1049388; 8970725; 4733685; 1049326; 4732730; 6949075; 4740682; 4747520; 4735075; 4735024; 4572664; 4576533; 4745004; 4731838; 4726282; 1049114; 4743508; 4732082; 4575187; 4734978; 1047725; 4462698; 4719273; 4731679; 4745007; 4736122; 4726203; 4716739; 4732242; 4732085; 4734559; 4743216; 4720306; 4734355; 4717992; 4742984; 4735518; 4718311; 4741901; 3263084; 4740708; 1048330; 4761330; 7425709; 3260067; 4741214; 4734343; 4761610; 4747549; 1047371; 4732225; 4572750; 4718314; 4736756; 4763917; 4730318; 3253151; 4721877; 3260018; 4769897; 7575654; 4726867; 4748012; 4744015; 1048168; 4732509; 4764180; 4718018; 6949264; 4719716; 4761003; 4733727; 4576603; 4730573; 4575196; 4713799; 4733611; 1049440; 1047561; 4746228; 3260008; 6949248; 4732233; 4733761; 4730509; 4717983; 4764285; 4408263; 4733623; 4731223; 4734564; 4764760; 4746109; 4731158; 4733813; 4721329; 3261996; 4732220; 4748198; 1047882; 4746414; 4744861; 1048386; 4763456; 4716856; 4734576; 4716173; 4717381; 4740388; 4746934; 4733607; 4734584; 4735004; 4713881; 4720856; 4744943; 4766687; 4719661; 4762897; 4731712; 4406705; 4732146; 5430855; 4719690; 4732093; 4760396; 1048559; 4736588; 5430858; 4734510; 4748429; 4755940; 4733463; 4733399; 4726071; 1048966; 4718911; 4731982; 4733326; 4744456; 4755905; 3260175; 4719183; 4747278; 4576213; 4755237; 4761643; 4576105; 4731355; 9429373; 4746753; 4762660; 4732828; 4718459; 4755879; 1048932; 4731381; 4747272; 6757760; 4733395; 4760364; 4743878; 4735737; 4763144; 4747542; 1048124; 4732136; 4744935; 4733762; 4731724; 4735073; 5737130; 4732137; 4721618; 4765886; 1048421; 1048126; 4734630; 4571452; 4406699; 4755223; 4730291; 4744206; 4746812; 4733751; 4760530; 4733402; 1047297; 4734360; 4765241; 4743555; 4732598; 4730558; 4718785; 4734586; 4733698; 4732680; 4769248; 4578390; 4766068; 4730893; 4755203; 4755900; 4740329; 4763175; 4760202; 3259966; 4747397; 1047603; 5430856; 4732792; 4735900; 4576589; 4717018; 4731797; 4736922; 4717683; 3260165; 4405594; 6757785; 4732682; 4576098; 8960981; 4717336; 4721483; 4720274; 4740700; 4732149; 4725906; 6950550; 4744564; 4733404; 4765853; 4748340; 4747963; 4717440; 4733174; 1049423; 4404707; 4462712; 4737232; 4576180; 4764376; 4729812; 4732868; 4768986; 4720079; 4736672; 4731839; 1048586; 5736869; 4737048; 4717797; 4732227; 6950011; 1048297; 4769105; 4734623; 9219979; 6757749; 4726230; 4726779; 4747031; 4629549; 4732594; 1047571; 4763527; 4769331; 4761521; 4765847; 4746254; 4571441; 4734340; 4747133; 4731187; 6757730; 4738166; 4764805; 4742072; 4736581; 4730560; 4721667; 4731204; 4734560; 4575846; 6949963; 4733816; 1049126; 9018518; 4768909; 3260140; 4743161; 3260137; 4733490; 4761816; 4765669; 4760790; 4733704; 4732200; 4732118; 4748262; 3260126; 4725885; 4760149; 4731754; 4732067; 8845177; 4730515; 6949877; 1047834; 4731222; 4730302; 4719773; 4574541; 4734378; 4720265; 4730556; 8790945; 4732529; 6951313; 4762638; 4762679; 4734541; 4747436; 4762012; 4720146; 4741173; 10410469; 4731674; 4719767; 4718729; 3265893; 4733461; 4576572; 4761387; 4732190; 4718605; 4734055; 4733801; 4732986; 1049266; 4744200; 4733729; 4765961; 4735017; 9123976; 7765446; 4308840; 4732122; 4741649; 4733212; 4733397; 4740303; 4763790; 4733976; 4734550; 4743573; 4745294; 4734509; 4740785; 4733983; 4717610; 4740528; 4730854; 4719447; 4743339; 4733824; 4734073; 4730035; 4731154; 4733822; 4731406; 4765921; 4731156; 1047886; 4747243; 4731188; 9594967; 9556167; 4734629; 4729827; 4732130; 4732773; 4761857; 4733562; 4762929; 4755052; 4765108; 4761854; 4726004; 4716677; 4725902; 4742837; 4736243; 1048403; 4743985; 3260118; 4730571; 4719329; 4574922; 4733320; 4721227; 4731159; 4760013; 6757732; 3262005; 4760878; 4730623; 4740220; 3263952; 4744366; 4747495; 4733812; 6757774; 4720170; 4718156; 4731710; 4720184; 4733684; 4732840; 4736590; 4717669; 4730856; 4731185; 6951196; 4721254; 4746589; 4731980; 4733513; 4740494; 4762959; 4731793; 5430980; 4740915; 4734565; 6758153; 4760465; 4718571; 4744453; 4733618; 4764157; 4731740; 4741992; 4731382; 4761350; 4718334; 4572468; 1140386; 9739631; 9752852; 4732827; 4741070; 4760552; 4731733; 4741867; 4726067; 4730479; 4730490; 4755245; 1048439; 3260022; 4731945; 4719958; 4741827; 4716725; 4731181; 8630694; 1048566; 1048401; 8619422; 4757890; 1048155; 4576489; 4576663; 4745968; 4733806; 3261709; 3260177; 4746834; 6132111; 4744132; 1047608; 4737062; 6950532; 4721226; 8490821; 4745126; 6949965; 4744448; 6757762; 4462497; 9077314; 4761895; 163167141; 4733619; 4720490; 10716595; 6757784; 10671898; 4763843; 4721588; 4719444; 4721692; 4733155; 4746713; 4734581; 4730489; 4732221; 4713832; 4721180; 4753590; 4742019; 4746059; 4763580; 4734998; 4736115; 4765458; 4719766; 4743292; 4755124; 4717650; 4726549; 4764781; 4733323; 4765835; 4763488; 4747319; 4761037; 4578199; 4719961; 4733974; 4746026; 4717443; 4738223; 4716090; 4718285; 4576235; 4744360; 4740479; 4743050; 4763470; 4732128; 4717690; 4760147; 4735675; 4741145; 4718263; 4721538; 4764640; 4731160; 4732907; 4755364; 4760804; 4733188; 4746314; 4716246; 4574484; 4573950; 10986581; 4761822; 9393078; 4735937; 4735025; 8491790; 4748310; 6757756; 4746732; 4746594; 9540246; 4737106; 9501286; 4725814; 9578037; 4741783; 4732985; 9455499; 4745270; 4716048; 4745956; 6757787; 9538403; 9431544; 9403613; 11102695; 4740421; 4769420; 10488916; 6007731; 4755070; 4744812; 4738127; 4576676; 4764290; 4744437; 4745966; 4747887; 4741128; 4763566; 9410418; 4769135; 4743872; 4572648; 4740594; 3260075; 4741344; 4743816; 4716650; 4721166; 4742912; 4755123; 4732890; 4736508; 4738156; 4734575; 4717926; 4719223; 8393186; 4747499; 4735688; 4733466; 4733509; 4730519; 4762813; 4734345; 4717818; 4742075; 4736790; 4762902; 4735239; 6949262; 4743333; 4720448; 4760539; 4730148; 4732979; 6757783; 10896273; 3263199; 6950243; 4763719; 4732133; 4746086; 4759893; 4742972; 4762863; 4744735; 4766799; 4760474; 4742997; 4759908; 4762899; 4729871; 4740576; 4747103; 4720031; 4719980; 4574229; 3261872; 4575660; 4718413; 4762085; 4730031; 4743222; 4717353; 4769260; 4721664; 4713875; 4743844; 4718725; 4719675; 4718443; 4737008; 4761358; 4765989; 4572562; 4721422; 4726317; 4740408; 4760245; 4717404; 4716142; 4720006; 4742014; 4729996; 4713693; 4755336; 4760582; 4743233; 4721880; 4747732; 4713850; 4736688; 4753667; 4721377; 4765871; 4721423; 4759879; 4763920; 4740640; 4741246; 4746641; 4720410; 4746415; 4748270; 4745974; 4761549; 4721260; 4740363; 6948963; 4736182; 4760970; 4726015; 4761323; 4732062; 4719724; 4744837; 4721537; 11236133; 4769176; 4720748; 4747650; 4760765; 4747684; 4748472; 4755862; 4744545; 4745172; 4721099; 4732728; 6950549; 4739890; 4734020; 4717852; 4720499; 4720498; 6949099; 9426831; 4730842; 4731183; 4748157; 4743599; 6951222; 4763543; 4759900; 4744409; 4765406; 4731769; 4734555; 6949074; 10882506; 10798747; 9626982; 9472920; 9384382; 9267128; 9382548; 9578138; 9435119; 4719644; 4761887; 9318902; 4717019; 9363419; 9436059; 4734977; 4732704; 9522873; 6948964; 10735307; 10864447; 3260027; 10776621; 10773221; 10866658; 10824270,1; 54; 216; 1470; 7780,
Alydidae,T31,Q1640226,family,7875,,1; 54; 216; 809,
Alysiinae,T32,Q1949305,subfamily,,1251950; 1252599; 1255442; 1255662; 1256596; 1258820; 1258826; 1267560; 1272102; 3258486; 4406396; 4406718; 4408102; 4408243; 4670844; 8803967,1; 54; 216; 1457; 6910,
Amblycera,T33,Q1936744,suborder,,2783; 2784; 2786; 3259853; 4423007; 7707286; 11374032,1; 54; 216; 7612838,
Ambrosia,T34,Q844270,genus,3110576,,6; 7707728; 220; 414; 3065,
Ammobates,T35,Q14484909,genus,1339382,,1; 54; 216; 1457; 4334,
Ammobatoides,T36,Q14476898,genus,5040752,,1; 54; 216; 1457; 4334,
Ammophila,T37,Q175585,genus,1346141,,1; 54; 216; 1457; 4352,
Ampharetidae,T38,Q3555200,family,7093,,1; 42; 256,
Amphibia,T39,Q10908,class,131,,1; 44,
Amphilochidae,T40,Q3934409,family,8333,,1; 54; 229; 1231,
Amphineura,T41,Q3614669,subphylum,,346; 347; 8365233,1; 52,
Amphipoda,T42,Q193418,order,1231,,1; 54; 229,
Ampulicidae,T43,Q134542,family,4332,,1; 54; 216; 1457,
Ampulicinae,T44,Q21217717,subfamily,,1339023; 1338941,1; 54; 216; 1457; 4332,
Anasca,T45,Q528322,suborder,,2121; 2122; 2125; 2128; 2137; 2761; 5791; 5793; 5795; 5802; 5803; 5812; 5829; 5833; 6016; 6023; 6029; 4854462; 8625222,1; 53; 252; 467,
Ancistrocerus,T46,Q4033984,genus,1311332,,1; 54; 216; 1457; 4490,
Andreaea,T47,Q139017,genus,2673379,,6; 35; 326; 1331; 8735,
Andreaea rupestris,T48,Q292408,species,5283962,,6; 35; 326; 1331; 8735; 2673379,
Andrena,T49,Q517165,genus,1345710,,1; 54; 216; 1457; 7901,
Andrenidae,T50,Q853287,family,7901,,1; 54; 216; 1457,
Andrenosoma,T51,Q14508992,genus,1657713,,1; 54; 216; 811; 7275,
Andrenosoma otanegawana,T52,Q10733766,species,,,1; 54; 216; 811; 7275; 1657713,
Anemadinae,T53,Q19783033,subfamily,,4406588; 4407672; 4408014; 4718920; 4720289; 4729998; 4740373; 4747544; 4760025; 4760032; 4760036; 4760040; 4760041; 4760046; 4760051; 4760057; 4760062; 4760066; 4760070; 4760072; 4760079; 4760092; 4760116; 4760126; 4760127; 4763461; 4765859; 4765902; 5431062,1; 54; 216; 1470; 4738,
