name,id,qid,rank,gbif,children_gbif,ancestors_gbif,duplicate_of
Crabronini,T321,Q1138387,tribe,,1347385; 4298218; 4298219; 4298222; 4298223; 4298224; 4298225; 4298226; 4298227; 4298229; 4298230; 4298234; 4298235; 4298236; 4298238; 4298239; 4298240; 4298241; 4298243; 4298244; 4298245; 4298246; 4298247; 4298248; 4298250; 4298251; 4298252; 4298253; 4298254; 4298255; 4298256; 4298257; 4298258; 4676319,1; 54; 216; 1457; 7906,
Crambinae,T322,Q149407,subfamily,,1880739; 1881521; 1891152; 11374913; 11375212,1; 54; 216; 797; 8841,
Crobilocerus,T323,Q14508040,genus,1661310,,1; 54; 216; 811; 7275,
Crustacea,T324,Q25364,subphylum,,203; 229; 235; 236; 281; 353; 696; 4667388; 9237152; 9554614,1; 54,
Cryptinae,T325,Q4036724,subfamily,,1282495; 1285170; 1289912; 1293701; 1297815; 1299476; 1301259; 1304526; 1304830; 1305567; 1306526; 1306988; 1307081; 1307581; 1308214; 3258822; 4677426,1; 54; 216; 1457; 3512,
Cryptocephalus,T326,Q1755293,genus,1048649,,1; 54; 216; 1470; 7780,
Cryptophagidae,T327,Q927309,family,7784,,1; 54; 216; 1470,
Cryptostemmatidae,T328,Q3708914,family,4309,,1; 54; 216; 809,
Ctenophorinae,T329,Q5191692,subfamily,,1507699; 1507726; 1509505; 1509780,1; 54; 216; 811; 7634,
Ctenostomata,T330,Q5191729,,,3491; 3492; 3493; 3494; 3495; 3496; 3497; 3498; 3499; 3502; 3503; 3504; 3505; 3506; 3507; 6895; 6896; 6898; 6899; 6900; 6901; 6902; 6903; 6904; 6905; 6906; 3267954; 4853953; 4853958; 4853962; 4853971; 4853980; 4853996; 8134711; 9267266; 9429233; 9523007; 9593963,1; 53; 252; 998,
Cucujus cinnaberinus,T331,Q72552,species,4451511,,1; 54; 216; 1470; 7820; 1042920,
Cuculliinae,T1225,Q844544,subfamily,,1796615; 1786848; 1776535; 1775797; 1775298; 1793366; 1777777; 1776976; 1786886; 9541348; 1767750; 1762314; 1780587; 4702460; 4704086; 1775696; 1794423; 1775864; 1775986; 1775740; 1760696; 1760818; 1793201; 1791434; 1763814; 1764670; 1766249; 1796408; 1763800; 1764234; 1764555; 8938374; 1765159; 1774853; 1786311; 1769812; 1769371; 1772522; 1788186; 1788308; 1768287; 1769317; 1763285; 1763280; 1763647; 1775959; 1763796; 1762868; 9210461; 1761364; 1761491; 1761753; 4687415; 5108510; 4687720; 1792764; 1760348; 1783871; 1786428; 1783886; 1774251; 1786601; 4684466; 1779717; 1760363; 1760678; 1777271; 1792844; 1761327; 1760720; 1774090; 1773821; 1776217; 1774908; 9283556; 1766872; 1766545; 1766325; 4705246; 1765810; 1765965; 1765174; 1794099; 1793386; 1793190; 1760176; 1760276; 1768658; 1768905; 1769096; 1769210; 1769500; 1767726; 1767815; 1793275; 1782140; 1798091; 1792635; 1791756; 1791843; 1777169; 1767804; 1775310; 1783838; 1779957; 1785393; 1785826; 1769024; 9107575; 1779600; 1785828; 1786588; 1783102; 1793403; 1786031; 1783739; 1783914; 1784245; 1796597; 1791571; 1772660; 1773730; 9149756; 1776486; 1783314; 1762121; 1780589; 1799866; 1765726; 1781387; 1763659; 1796209; 1798295; 1789150; 1788805; 1766914; 1780036; 1773846; 1772693; 1772758; 1772421; 1797632; 5110374; 1772051; 1793766; 1793976; 8812499; 1785302; 1794313; 1788678; 8993623; 1772253; 1770390; 8416994; 1770169; 1769720; 1769943; 1776205; 1775969; 4687943; 1775825; 1761445; 1768450; 1768673; 1786071; 1762707; 1781398; 1780529; 1780733; 1764719; 1763693; 1762320; 1793310; 1793571; 7236059; 1774555; 1774882; 1793694; 11846105; 1768136; 1789503; 1789210; 1789109,1; 54; 216; 797; 7015,
Culicidae,T332,Q7367,family,3346,,1; 54; 216; 811,
Cumacea,T333,Q72554,,1500,3217; 5304; 5305; 7535; 9674; 9675; 9676; 9677; 4649497,1; 54; 229,
Curculionidae,T334,Q7415384,family,4239,,1; 54; 216; 1470,
Curculioninae,T335,Q1936307,subfamily,,1174876; 1175007; 1175828; 1176540; 1176663; 1177884; 1178387; 1178994; 1179767; 1179910; 1180271; 1185279; 1188378; 1188444; 1188460; 1190547; 1191757; 1197424; 1202139; 1202445; 1202943; 1203014; 1203259; 1209286; 1209345; 1209378; 1211932; 1213147; 1213673; 1215122; 1215559; 1216143; 1216344; 1216346; 1217428; 1219726; 1219763; 1220097; 1220982; 1221337; 1222408; 1222506; 1223473; 1225169; 1225479; 1226638; 1226854; 1228010; 1230167; 1231381; 1235953; 1236453; 1236841; 1237280; 1237285; 1240188; 1241962; 1243992; 1244334; 1244876; 1247442; 1247549; 1247590; 1247959; 1247961; 3261065; 3261079; 4291050; 4291083; 4291359; 4291892; 4406242; 4406248; 4406359; 4407772; 4408198; 4571707; 4575125; 4717787; 4718064; 4718898; 4720089; 4721222; 4721720; 4721852; 4735879; 4741401; 4741645; 4744731; 4745332; 4745334; 4745382; 4745385; 4745404; 4745447; 4745480; 4745485; 4745535; 4745560; 4745595; 4745647; 4745688; 4745693; 4745748; 4745751; 4745776; 4745952; 4746982; 4748321; 4755238; 4760709; 4761482; 4764680; 4766024; 5430968; 5431069; 6132379; 6945344; 7408548; 8587537; 8855898; 8936146; 9222374; 9301307; 9525874; 9590655; 10563399; 10923454; 10965551; 11037830,1; 54; 216; 1470; 4239,
Cybalomiinae,T336,Q1147052,subfamily,,1890015,1; 54; 216; 797; 8841,
Cyclopidae,T337,Q2718843,family,4988,,1; 54; 11545536; 687,
Cyclostomata,T338,Q500266,,,119; 11881065,1; 44,
Cyclostomi,T339,Q500266,,,119; 11881065,1; 44,
Cydnidae,T340,Q616135,family,6989,,1; 54; 216; 809,
Cylisticidae,T341,Q4396040,family,8879,,1; 54; 229; 643,
Cyminae,T1260,Q21217945,subfamily,,8831281; 4779956; 2008482; 2008463; 4777923,1; 54; 216; 809; 4308,
Cymus,T1349,Q10464686,genus,2008463,,1; 54; 216; 809; 4308,
Cynipidae,T342,Q640774,family,4339,,1; 54; 216; 1457,
Cynipinae,T343,Q3008732,subfamily,,1309563; 1309570; 1309573; 1309575; 1309579; 1309583; 1309586; 1309591; 1309611; 1309617; 1309619; 1309629; 1309632; 1309634; 1309638; 1309648; 1309651; 1309659; 1309678; 1309688; 1309690; 1309695; 3258396; 4298502; 4298506; 4405717; 4405938; 4669998; 4679626; 4679637; 4679644; 4679651; 5430717; 7989192; 8103555; 8311875; 8623027; 8766053; 8806866; 8883050; 9184885; 9205554; 9532133; 9618566; 10167658; 10262803; 10796389; 11141879; 11787243; 11948511; 12058996,1; 54; 216; 1457; 4339,
Cyphon,T344,Q14932304,genus,5007531,,1; 54; 216; 1470; 7849,
Cypriniformes,T345,Q177879,order,1153,,1; 44,
Cyrtacanthacridinae,T346,Q899837,subfamily,,1699525; 1702037; 1707218,1; 54; 216; 1458; 9394,
Cyrtopeltis,T1261,Q1148888,genus,2009692,,1; 54; 216; 809; 4319,
Cyrtorhinus,T1262,Q10465097,genus,2010208,,1; 54; 216; 809; 4319,
Dactylorhiza majalis,T1296,Q1367838,species,2810155,,6; 7707728; 196; 1169; 7689,
Damalis,T347,Q14508631,genus,1458365,,1; 54; 216; 811; 7275,
Dasypoda,T348,Q1953397,genus,1345853,,1; 54; 216; 1457; 4345,
Dasypogoninae,T1263,Q1945893,subfamily,,1662839; 1661350; 1664521; 1664588; 1662995; 1665306; 1655053; 1660296; 1665200; 4793142; 1655327; 1661574; 1661488; 1661505; 1664765; 1660938; 1660323; 1664625; 1654979; 4794042; 1657856; 1665017; 1662468; 1662289; 1662868; 1655865; 1656624; 1662226; 1565202; 1663554; 1656906; 1665021; 1657503; 1661128; 1660298; 1664743; 1662476; 1655123; 1657426; 1664770; 1655110; 1655370; 1662185; 1664502; 1664657; 1656648; 1664783; 1655430; 1660163; 1660144; 1660117; 1664892; 1660968; 4788835; 1662345; 1664607; 1662304; 1665233; 1664157; 1655836; 1664113; 1664162; 1662712; 1662695; 1656770; 1664192; 1664466,1; 54; 216; 811; 7275,
Dasysyrphus,T349,Q1759082,genus,1542043,,1; 54; 216; 811; 6920,
Decapoda,T350,Q4610,order,637,,1; 54; 229,
Delphacidae,T351,Q2558803,family,8498,,1; 54; 216; 809,
Delphacinae,T352,Q20645661,subfamily,,2054003; 2054354; 2054362; 2054917; 2055844; 2055929; 2056088; 2056276; 2056307; 2056615; 2056874; 3265431; 4407133; 4407253; 4407970; 4489255; 4575353; 4576431; 4576629; 4770633; 4770661; 4770975; 4771064; 4771077; 4771092; 4771491; 4771746; 4772135; 4772209; 4772360; 4772682; 4772699; 4772772; 4772888; 4772903; 4773231; 4773716; 4774743; 4774949; 4774958; 4775073; 4775225; 4776153; 4776166; 4777053; 4777160; 4777175; 4777273; 4777298; 4777371; 4777372; 4777374; 4777379; 4777385; 4777386; 4777388; 4777395; 4777396; 4777413; 4777415; 4777420; 4777421; 4777423; 4777427; 4777429; 4777433; 4777435; 4777438; 4777443; 4777448; 4777450; 4777452; 4777454; 4777460; 4777466; 4777468; 4777470; 4777493; 4777926; 4777935; 4778237; 4778259; 4779168; 4779532; 4779535; 4779547; 4779589; 4779901; 4779924; 4779944; 4779981; 4780049; 4780270; 4780402; 4780410; 4780413; 4780491; 4780633; 4781214; 4781285; 4781569; 4781621; 4783479; 4783507; 4783532; 4783808; 4784270; 4784339; 4784911; 5982459; 5982497; 5982517; 5982552; 5982555; 5982564; 5982567; 5982606; 5982638; 5982641; 5982650; 5982660; 5982668; 5982684; 5982700; 5982718; 5982727; 5982731; 5982735; 5982737; 5982745; 5982758; 5982771; 5982778; 5982786; 5982818; 5982856; 5982926; 5982938; 5982948; 5982962; 5982969; 5982993; 5983022; 5983039; 5983043; 5983055; 5983058; 5983066; 5983071; 7404088; 7415581; 7454646; 7502044; 7618761; 7714092; 7767817; 7830076; 7855418; 7904605; 8104339; 8177780; 8196467; 8293675; 8350076; 8475828; 8667033; 9089728; 9271366; 9386771; 9406044; 9515138; 9563985; 9593521; 9778154; 9980411; 10144474; 10300211; 10513629; 10556473; 10680315; 10703408; 10770677; 10868515,1; 54; 216; 809; 8498,
Delta,T353,Q2082751,genus,1330315,,1; 54; 216; 1457; 4240,
Deltocephalinae,T354,Q1941796,subfamily,,2025583; 2025911; 2026120; 2026184; 2026449; 2027921; 2029376; 2031885; 2032341; 2033121; 2034588; 2034891; 2036050; 2036477; 2036673; 2037924; 2039592; 2042948; 2043037; 2043709; 2044276; 2044404; 2044732; 2045098; 2045222; 2046027; 2046148; 2047102; 2047126; 2047556; 2048690; 2048996; 3265385; 4404852; 4482888; 4483194; 4483200; 4572758; 4771006; 4772295; 4772838; 4773046; 4773077; 4774994; 4775327; 4775475; 4775507; 4775529; 4775553; 4775605; 4775614; 4775628; 4776022; 4776053; 4776128; 4777004; 4777639; 4778104; 4781444; 4783060; 7539701; 7586419; 7613965; 8152045; 8469710; 8557603; 8570203; 8629644; 8699926; 8707650; 8810156; 9031063; 9041561; 9139418; 9151935; 9288308; 9301420; 9359786; 9369061; 9417892; 9421569; 9443067; 9460430; 9498291; 9515761; 9531223; 9561998; 9563350; 9570027; 9581003; 9584018; 9590777; 9607312; 9612911; 9630856; 9759717; 9948394; 9991015; 10040595; 10343066; 10370059; 10526926; 10673449; 10713911; 10772359; 10904666; 10907526; 11020860; 11049167; 11061350; 11090756; 11120223; 11121049; 11130140; 11173561; 11183659; 11205340; 11215888; 11452248; 11537198; 11642314; 11713081; 11740906; 11777038; 11845148; 12015386; 12027300; 12043790,1; 54; 216; 809; 9647,
Demospongiae,T1226,Q248530,class,199,,1; 105,
Dermaptera,T355,Q13676,order,1224,,1; 54; 216,
Dermestidae,T356,Q220932,family,9714,,1; 54; 216; 1470,
Derodontidae,T357,Q3023957,family,7822,,1; 54; 216; 1470,
Diamesinae,T358,Q5270679,subfamily,,1447076; 9378242,1; 54; 216; 811; 3343,
Diapriinae,T359,Q21219879,subfamily,,4671793; 4671798; 4671806; 4671844; 4671916; 4671996; 4672021; 4672027; 4672055; 4672059,1; 54; 216; 1457; 2790,
Diaspididae,T360,Q373290,family,4521,,1; 54; 216; 809,
Didea,T1391,Q1760865,genus,1542022,,1; 54; 216; 811; 6920,
Dideomima,T1392,Q10755431,genus,1542993,,1; 54; 216; 811; 6920,
Dinetinae,T361,Q21447503,subfamily,,3258417,1; 54; 216; 1457; 7906,
Dioctria,T362,Q4037381,genus,1656336,,1; 54; 216; 811; 7275,
Diopsoidea,T363,Q2327794,superfamily,,5573; 6922,1; 54; 216; 811,
Dioxys,T364,Q14466450,genus,1334322,,1; 54; 216; 1457; 7911,
Diplopoda,T365,Q167367,class,361,,1; 54,
Diplotaxis harra-complex,T1374,,complex,,5376405; 5376389; 5376410; 7709481,6; 7707728; 220; 7225535; 3112; 3051461,
Diplura,T366,Q221563,order,240,,1; 54; 11374670,
Diprionidae,T367,Q1017364,family,7907,,1; 54; 216; 1457,
Diptera,T368,Q25312,order,811,,1; 54; 216,
Discoelius,T369,Q4037422,genus,1330599,,1; 54; 216; 1457; 4240,
Dissoptera,T1393,Q2746814,genus,1535484,,1; 54; 216; 811; 6920,
Ditrichum,T370,Q1230315,genus,2675742,,6; 35; 327; 1335; 8743,
Dolichomitus,T371,Q3033906,genus,1273960,,1; 54; 216; 1457; 3512,
Dolichopodidae,T372,Q1582901,family,7305,,1; 54; 216; 811,
Donaciinae,T373,Q1305665,subfamily,,1049288; 1049383; 1049445; 1049506; 1049515; 4720168; 4762771; 4990461,1; 54; 216; 1470; 7780,
Doros,T1328,Q4037542,genus,1544508,,1; 54; 216; 811; 6920,
Dorylaimida,T374,Q1939335,order,446,,1; 5967481,
Drepanidae,T375,Q1475980,family,7294,,1; 54; 216; 797,
Drepanoides,T376,Q14427081,genus,2453390,,1; 44; 11592253; 6172,
Drosophilidae,T1368,Q1054318,family,5547,,1; 54; 216; 811,
Dryinidae,T377,Q202880,family,4340,,1; 54; 216; 1457,
Drymus,T1264,Q10477181,genus,2008136,,1; 54; 216; 809; 4326,
Dryopidae,T1227,Q141002,family,4732,,1; 54; 216; 1470,
Dufourea,T378,Q1529233,genus,1351817,,1; 54; 216; 1457; 7908,
Dysodiidae,T1297,,family,4290027,7877,1; 54; 216; 809,
Dytiscidae,T379,Q327149,family,7824,,1; 54; 216; 1470,
Dytiscinae,T380,Q1798935,subfamily,,1038058; 4742632,1; 54; 216; 1470; 7824,
Echinodermata,T381,Q44631,phylum,50,,1,
Echinostomatata,T382,Q3046989,,,2525; 2526; 2527; 2528; 3213; 3214; 6443; 6445; 6447; 6448; 4282245; 8000622; 8246854; 10887014,1; 108; 345; 434,
Echiura,T383,Q64119,phylum,7062236,,1,
Echiuroidea,T384,Q2745541,order,8349555,,1; 42; 256,
Elaphropeza,T385,Q14607959,genus,1458147,,1; 54; 216; 811; 9706,
Elasmidae,T386,Q1936347,family,1383236,,1; 54; 216; 1457; 5505,
Elasmucha,T387,Q10480988,genus,2079257,,1; 54; 216; 809; 4303,
Elateridae,T388,Q28457,family,7825,,1; 54; 216; 1470,
Elminthidae,T1228,,family,,1033468; 1033499; 1033504; 1033509; 1033526; 1033536; 1033543; 1033553; 1033596; 1033599; 1033602; 1033604; 1033606; 1033625; 1033627; 1033630; 1033635; 1033643; 1033646; 1033650; 1033654; 1033657; 1033661; 1033666; 1033672; 1033678; 3253903; 3262231; 3263738; 4405225; 4406357; 4406393; 4573394; 4573630; 4575150; 4575222; 4576968; 4713688; 4713831; 4716600; 4716778; 4717941; 4717950; 4718057; 4718276; 4718532; 4718838; 4719002; 4719030; 4719031; 4719032; 4719033; 4719034; 4719035; 4719036; 4719037; 4719038; 4719039; 4719095; 4719100; 4719103; 4719104; 4719105; 4719106; 4719107; 4719109; 4719112; 4719113; 4719135; 4719136; 4719156; 4719162; 4719384; 4719740; 4719802; 4720130; 4721550; 4726029; 4726175; 4726657; 4726881; 4735749; 4736079; 4736168; 4736608; 4736775; 4736967; 4737027; 4737199; 4738228; 4740433; 4740539; 4741197; 4741879; 4742056; 4742128; 4742825; 4742884; 4743097; 4743138; 4743764; 4744120; 4744822; 4745959; 4746257; 4746313; 4747712; 4747751; 4748048; 4748116; 4748284; 4753609; 4755082; 4755302; 4759878; 4759913; 4760006; 4760150; 4760412; 4761536; 4761756; 4761877; 4762807; 4762913; 4763063; 4763295; 4764790; 4765075; 4765089; 4765682; 4765700; 4765774; 4765801; 4765857; 4766109; 4768889; 4768988; 4769328; 5431236; 6967640; 6967735; 6968266; 6968525; 7508061; 7793245; 7915058; 7922067; 8239067; 8440478; 8908468; 9236107; 9683888; 9785308; 9809439; 10237674; 10874426; 11418641; 11670985; 11801244; 12238870,1; 54; 216; 1470,
Embioptera,T389,Q467392,order,584,,1; 54; 216,
Embolemidae,T390,Q1939177,family,6045,,1; 54; 216; 1457,
Empididae,T391,Q1326176,family,9483,,1; 54; 216; 811,
Endromidae,T392,Q865624,family,3563,,1; 54; 216; 797,
Engistus,T1350,Q50696002,genus,4405063,,1; 54; 216; 809; 4311,
Enicocephalidae,T1265,Q1948656,family,7880,,1; 54; 216; 809,
Enigmocoris,T393,,genus,,,1; 54; 216; 809; 9650,
Entiminae,T394,Q1932939,subfamily,,1174357; 1174376; 1174707; 1175447; 1175761; 1175906; 1176144; 1176389; 1176589; 1176802; 1177015; 1177232; 1177264; 1178540; 1178542; 1178597; 1178880; 1179196; 1179385; 1179571; 1179857; 1179916; 1180163; 1180286; 1181144; 1181170; 1181195; 1181528; 1181616; 1184158; 1184496; 1184825; 1186008; 1188070; 1188649; 1188879; 1188980; 1189601; 1190520; 1190790; 1193098; 1193109; 1196481; 1196507; 1197632; 1200998; 1201689; 1201743; 1201988; 1202161; 1202486; 1202972; 1203597; 1204455; 1206526; 1206681; 1207104; 1208386; 1209446; 1210496; 1210570; 1210577; 1211270; 1211930; 1214506; 1214630; 1214760; 1215858; 1216463; 1216539; 1217448; 1218188; 1218801; 1218807; 1218882; 1219058; 1219420; 1219653; 1219987; 1220089; 1220563; 1220621; 1221137; 1222331; 1222894; 1224967; 1225621; 1226636; 1227891; 1228309; 1228687; 1229450; 1230447; 1231310; 1232376; 1234789; 1235193; 1235662; 1236636; 1238564; 1240769; 1241199; 1241302; 1242256; 1243041; 1243710; 1243716; 1243869; 1243999; 1244189; 1244603; 1245212; 1245671; 1245759; 1247457; 3261017; 3261048; 3261062; 3263386; 4291052; 4291682; 4291898; 4292063; 4292125; 4292218; 4292403; 4404387; 4404531; 4405335; 4405425; 4406102; 4406966; 4407158; 4407231; 4407388; 4408160; 4466134; 4466142; 4466162; 4466385; 4466397; 4466400; 4466427; 4466444; 4468047; 4571895; 4713836; 4716730; 4717935; 4718198; 4718572; 4718773; 4718912; 4719344; 4719499; 4719676; 4720073; 4721768; 4726133; 4726315; 4730013; 4730130; 4735182; 4735251; 4735559; 4735680; 4736614; 4736623; 4736732; 4736802; 4738084; 4738089; 4740222; 4740235; 4740275; 4740697; 4740822; 4740901; 4740905; 4740925; 4741294; 4741895; 4742030; 4742031; 4742071; 4742095; 4742116; 4742791; 4742832; 4743511; 4743615; 4743628; 4744237; 4744530; 4744768; 4744780; 4744803; 4744976; 4745226; 4745337; 4745344; 4745527; 4745557; 4745599; 4745665; 4745670; 4745721; 4745754; 4745837; 4745864; 4745892; 4745895; 4746025; 4746188; 4747003; 4747467; 4747858; 4747990; 4748042; 4759922; 4760295; 4760402; 4760792; 4760979; 4761541; 4762143; 4764208; 4764703; 4764709; 4764735; 4764787; 4764845; 4764860; 4765159; 4765236; 4765439; 4765786; 4765843; 4765896; 4765968; 4766018; 4766707; 4768915; 4769136; 4769250; 5430977; 5431038; 5431176; 6758326; 6945128; 6945516; 6945814; 6946190; 6946318; 6946323; 6946324; 7385955; 7395780; 7395951; 7405514; 7415468; 7456895; 7483175; 7509739; 7529899; 7539207; 7618596; 7693664; 7699977; 7706190; 7712037; 7774306; 7810151; 7862724; 8051192; 8250907; 8282847; 8316897; 8364413; 8572654; 9226617; 9581103; 9737787; 10261810; 11116020; 11118971; 11135813; 11155731; 11158580; 11207885; 11376160; 12172838; 12181616; 12196608; 12242283; 12262134,1; 54; 216; 1470; 4239,
Entomosericinae,T395,Q21223873,subfamily,,4298308,1; 54; 216; 1457; 7906,
Entoprocta,T396,Q208580,phylum,8173593,,1,
Epeoloides,T397,Q1366895,genus,1341849,,1; 54; 216; 1457; 4334,
Epeolus,T398,Q4038134,genus,1341852,,1; 54; 216; 1457; 4334,
Ephemeroidea,T1229,Q3055705,subfamily,1765,4298; 7197023; 4296; 4299,1; 54; 216; 1225,
Ephemeroptera,T399,Q174273,order,1225,,1; 54; 216,
Ephydridae,T400,Q2701377,family,5549,,1; 54; 216; 811,
Epilachninae,T401,Q3726902,subfamily,,4735513; 8817326; 9065760; 9144169,1; 54; 216; 1470; 7782,
Epilachnini,T402,Q4038147,tribe,,1043619; 4577868; 4740443; 9144169,1; 54; 216; 1470; 7782,
Epilobium,T403,Q157637,genus,3189067,,6; 7707728; 220; 690; 2430,
Epipaschiinae,T404,Q3055773,subfamily,,1870501; 1872042; 1874450; 1875532; 1875639; 1876216; 1876599; 1877203; 1877419; 4684345; 4689300; 4705973; 4709394,1; 54; 216; 797; 5336,
Epistrophe,T405,Q1937845,genus,5071050,,1; 54; 216; 811; 6920,
Equisetopsida,T406,Q134677,class,246,954,6; 7707728,
Erebidae,T407,Q2068481,family,4532185,,1; 54; 216; 797,
Eremiaspheciinae,T408,Q21224676,subfamily,,4298306,1; 54; 216; 1457; 7906,
Eremonotus,T409,Q14510792,genus,1657492,,1; 54; 216; 811; 7275,
Erinaceomorpha,T1230,Q6241223,order,829,,1; 44; 359,
Erinnidae,T410,Q18290739,family,6911,,1; 52; 137; 9241244; 8260482,
Eriocraniidae,T411,Q775573,family,6946,,1; 54; 216; 797,
Eriopterinae,T412,Q33138750,subfamily,,1518325; 1521530; 1520904; 1513338; 1521802; 1518768; 1512919; 1512361; 1489035; 1512290; 1517731; 1517961; 1511373; 1508782; 1512078; 1517717; 1516103; 1512797; 1512073; 1517743; 4790913; 1521589; 1513287; 1510752; 1516816; 1517292; 1511382; 1520279; 1515996; 1520610; 1521426; 1522025; 1512083; 1511364; 1520630; 1512331; 1520618; 1512070; 1518868; 1520331; 1518021; 1517294; 1512801; 1520645; 1517319; 1521957; 1513283; 1512712; 1512495; 5067633; 1520561; 1516796; 1520537; 1522123; 1521286; 1520456; 1512081; 1512924; 1518746; 1516814,1; 54; 216; 811; 5580,
Eriosomatinae,T413,Q846666,subfamily,4290208,,1; 54; 216; 809,
Eriozona,T1394,Q1768034,genus,1543325,,1; 54; 216; 811; 6920,
Eristalinae,T414,Q1939249,subfamily,,1483491; 1532919; 1533007; 1533134; 1533539; 1533883; 1534367; 1534472; 1534962; 1535012; 1535116; 1535263; 1535274; 1535408; 1535557; 1535675; 1536264; 1536424; 1536580; 1536586; 1536707; 1536777; 1536895; 1537086; 1537455; 1537579; 1537620; 1537665; 1538395; 1538399; 1538645; 1538780; 1539301; 1541353; 1541505; 1541732; 1541950; 1542009; 1542036; 1542672; 1542953; 1543364; 1543375; 1543421; 1543422; 1544135; 1544143; 1544496; 1544500; 4294512; 4572677; 4786162; 4786293; 4789861; 6007034; 7975182,1; 54; 216; 811; 6920,
Eristalinus,T1395,Q1768018,genus,1542672,,1; 54; 216; 811; 6920,
Eristalis,T415,Q1921685,genus,1491190,,1; 54; 216; 811; 6920,
Eristalis abusiva,T1396,Q1767503,species,1541164,,1; 54; 216; 811; 6920; 1491190,
Eristalis arbustorum,T1397,Q1746470,species,1541146,,1; 54; 216; 811; 6920; 1491190,
Eristalis jugorum,T1398,Q2748816,species,1541245,,1; 54; 216; 811; 6920; 1491190,
Eristalis rupium,T1399,Q2747813,species,1541339,,1; 54; 216; 811; 6920; 1491190,
Errantia,T416,Q6759542,subclass,,1079,1; 42; 256,
Euaesthetinae,T417,Q1316709,subfamily,,3262406; 4404427; 4405785; 4440672; 4440678; 4714413; 4714499; 4714521; 4714534; 4714662; 4714801; 4714958; 4715411; 4715998; 4719025; 4719339; 4726326; 4726522; 4740458; 4741299; 4747788; 4748526; 4769294; 6757669; 7008649; 7008654,1; 54; 216; 1470; 7854,
Eucera,T418,Q3734126,genus,1340870,,1; 54; 216; 1457; 4334,
Eucharitidae,T419,Q541544,family,9441,,1; 54; 216; 1457,
Eucnemidae,T420,Q502017,family,9644,,1; 54; 216; 1470,
Eucoilidae,T421,Q21029948,family,4673983,,1; 54; 216; 1457,
Eucosmidae,T422,Q3427265,family,1568045,,1; 54; 216; 811; 5588,
Eukaryota,T423,Q19088,domain,,1; 4; 5; 6; 7,,
Eulophidae,T424,Q675905,family,5505,,1; 54; 216; 1457,
Euluperus,T425,Q2566010,genus,4571452,,1; 54; 216; 1470; 7780,
Eumenes,T426,Q1524207,genus,1311630,,1; 54; 216; 1457; 4490,
Eumenidae,T427,Q15650168,family,4240,,1; 54; 216; 1457,
Eumeninae,T428,Q1756486,subfamily,,1311332; 1327531; 1327535; 1327537; 1327622; 1327628; 1327638; 1327729; 1327735; 1327739; 1327796; 1327799; 1327841; 1327845; 1327931; 1327935; 1327941; 1327960; 1327962; 1327967; 1327974; 1327976; 1327979; 1327993; 1328056; 1328066; 1328068; 1328170; 1328188; 1328241; 1328254; 1328277; 1328432; 1328437; 1328451; 1328460; 1328463; 1328467; 1328471; 1328490; 1328495; 1328526; 1328529; 1328534; 1328550; 1328567; 1328569; 1328602; 1328604; 1328817; 1328822; 1328831; 1328959; 1328964; 1328984; 1329030; 1329032; 1329049; 1329141; 1329142; 1329147; 1329188; 1329192; 1329277; 1329312; 1329315; 1329346; 1329384; 1329895; 1329904; 1329989; 1329992; 1330008; 1330043; 1330061; 1330078; 1330080; 1330083; 1330085; 1330087; 1330097; 1330110; 1330138; 1330149; 1330210; 1330230; 1330234; 1330241; 1330245; 1330293; 1330295; 1330435; 1330439; 1330442; 1330518; 1330526; 1330569; 1330583; 1330621; 1330659; 1330680; 1330772; 1330775; 1330776; 1330780; 1330799; 1331279; 1331301; 1331321; 1331324; 1331373; 1331462; 1331464; 1331470; 1331483; 1331518; 1331850; 1331853; 1331873; 1331902; 1331914; 1331936; 1332358; 1332363; 1332369; 1332373; 1332383; 1332394; 1332452; 1332476; 1332502; 1332551; 1332553; 1332628; 1332649; 1332668; 1332670; 1332900; 1332904; 1332952; 1332976; 1332988; 1332997; 1333009; 1333012; 1333290; 1333294; 1333318; 1333327; 1333330; 1333652; 1333661; 1333799; 1333814; 1333833; 1333837; 1333840; 1333873; 1334023; 1334040; 1334042; 1334047; 1334049; 1334051; 1334053; 1334064; 1334083; 1334089; 1334102; 1334106; 1334127; 1334134; 1334152; 1334160; 3258656; 4670419; 4678976; 5036455; 5037530; 6247189; 6247194; 6247216; 7235960; 9563918; 9590176; 10502292; 11377659,1; 54; 216; 1457; 4240,
Eumerus,T429,Q1758103,genus,1534472,,1; 54; 216; 811; 6920,
Eumicrodynerus,T430,Q14433404,genus,1329188,,1; 54; 216; 1457; 4240,
Euodynerus,T431,Q4038272,genus,5037530,,1; 54; 216; 1457; 4240,
Eupeodes,T432,Q1767534,genus,1540675,,1; 54; 216; 811; 6920,
Euphydryas,T433,Q2707760,genus,1895130,,1; 54; 216; 797; 7017,
Euprosopoides,T434,Q110497357,subgenus,,1349684; 1349360; 1349360; 1349360; 1349360; 1349360; 1349360,1; 54; 216; 1457; 7905; 1349360,
Eurydema,T435,Q3023271,genus,8781759,,1; 54; 216; 809; 9650,
Eurygaster,T436,Q2165233,genus,2079334,,1; 54; 216; 809; 4327,
Eurytomidae,T437,Q1948642,family,5507,,1; 54; 216; 1457,
