scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B59:1:1,Abra alba,,Abra,,alba,,species,,B59:1,accepted,,,,,,,,,,,Abra,,,Abra alba,,8LF6,5189061,8LF6,5189061
B59:1:2,Abra prismatica,,Abra,,prismatica,,species,,B59:1,accepted,,,,,,,,,,,Abra,,,Abra prismatica,,8LGM,5189053,8LGM,5189053
B59:1:3,Abra tenuis,,Abra,,tenuis,,species,,B59:1,accepted,,,,,,,,,,,Abra,,,Abra tenuis,,8LH4,5189054,8LH4,5189054
B59:1:4,Acanthocardia echinata,,Acanthocardia,,echinata,,species,,B59:1,accepted,,,,,,,,,,,Acanthocardia,,,Acanthocardia echinata,,64D63,2286523,64D63,2286523
B59:1:5,Acanthocardia tuberculata,,Acanthocardia,,tuberculata,,species,,B59:1,accepted,,,,,,,,,,,Acanthocardia,,,Acanthocardia tuberculata,,64D65,2286550,64D65,2286550
B59:1:6,Aequipecten opercularis,,Aequipecten,,opercularis,,species,,B59:1,accepted,,,,,,,,,,,Aequipecten,,,Aequipecten opercularis,,64YTF,2285838,64YTF,2285838
B59:1:7,Aporrhais pespelecani,,Aporrhais,,pespelecani,,species,,B59:1,accepted,,,,,,,,,,,Aporrhais,,,Aporrhais pespelecani,,,4361146,,4361146
B59:1:8,Asbjornsenia pygmaea,,Asbjornsenia,,pygmaea,,species,,B59:1,accepted,,,,,,,,,,,Asbjornsenia,,,Asbjornsenia pygmaea,,H4YC,8847968,H4YC,8847968
B59:1:9,Barnea candida,,Barnea,,candida,,species,,B59:1,accepted,,,,,,,,,,,Barnea,,,Barnea candida,,5WDT8,2288763,5WDT8,2288763
B59:1:10,Buccinum undatum,,Buccinum,,undatum,,species,,B59:1,accepted,,,,,,,,,,,Buccinum,,,Buccinum undatum,,,2305073,,2305073
B59:1:11,Cerastoderma edule,,Cerastoderma,,edule,,species,,B59:1,accepted,,,,,,,,,,,Cerastoderma,,,Cerastoderma edule,,SKNF,2286583,SKNF,2286583
B59:1:12,Cerastoderma glaucum,,Cerastoderma,,glaucum,,species,,B59:1,accepted,,,,,,,,,,,Cerastoderma,,,Cerastoderma glaucum,,SKNH,2286585,SKNH,2286585
