scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B340:1:6,Cerodontha,,,,,,subgenus,,B340:1,accepted,,,B340:1:1,Cerodontha,,,,,,,Cerodontha,Cerodontha,Cerodontha,87DX2,
B340:1:2,Butomomyza,,,,,,subgenus,,B340:1,accepted,,,B340:1:1,Cerodontha,,,,,,,Cerodontha,Butomomyza,Cerodontha,89S2B,
B340:1:3,Dizygomyza,,,,,,subgenus,,B340:1,accepted,,,B340:1:1,Cerodontha,,,,,,,Cerodontha,Dizygomyza,Cerodontha,8PH9G,
B340:1:4,Icteromyza,,,,,,subgenus,,B340:1,accepted,,,B340:1:1,Cerodontha,,,,,,,Cerodontha,Icteromyza,Cerodontha,89SH9,
B340:1:5,Phytagromyza,,,,,,subgenus,,B340:1,accepted,,,B340:1:1,Cerodontha,,,,,,,Cerodontha,Phytagromyza,Cerodontha,89R4S,
B340:1:6,Cerodontha,,,,,,subgenus,,B340:1,accepted,,,B340:1:1,Cerodontha,,,,,,,Cerodontha,Cerodontha,Cerodontha,87DX2,
B340:1:7,Poemyza,,,,,,subgenus,,B340:1,accepted,,,B340:1:1,Cerodontha,,,,,,,Cerodontha,Poemyza,Cerodontha,8PHBX,
