scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B1515:1:1,Braunia imberbis,,Braunia,,imberbis,,species,,B1515:1,accepted,,,,,,,,,,,Braunia,,,Braunia imberbis,,9L5N8,9445850,9MQGH,8246609
B1515:1:2,Hedwigia ciliata,,Hedwigia,,ciliata,,species,,B1515:1,accepted,,,,,,,,,,,Hedwigia,,,Hedwigia ciliata,,9K8GH,12239754,9K8GH,12239754
B1515:1:3,Hedwigia emodica,,Hedwigia,,emodica,,species,,B1515:1,accepted,,,,,,,,,,,Hedwigia,,,Hedwigia emodica,,CJ44B,8694070,CJ44B,8694070
B1515:1:4,Hedwigia stellata,,Hedwigia,,stellata,,species,,B1515:1,accepted,,,,,,,,,,,Hedwigia,,,Hedwigia stellata,,3JZKJ,5282911,3JZKJ,5282911
B1515:1:5,Hedwigia striata,,Hedwigia,,striata,,species,,B1515:1,accepted,,,,,,,,,,,Hedwigia,,,Hedwigia striata,,9LK5S,10900025,9LK5S,10900025
