scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B338:1:1,Epilobium ciliatum,,Epilobium,,ciliatum,,species,,B338:1,accepted,,,,,,,,,,,Epilobium,,,6G4VY,9188840,6G4VY,9188840
B338:1:2,Epilobium lanceolatum,,Epilobium,,lanceolatum,,species,,B338:1,accepted,,,,,,,,,,,Epilobium,,,6G4Y7,6427899,6G4Y7,6427899
B338:1:3,Epilobium montanum,,Epilobium,,montanum,,species,,B338:1,accepted,,,,,,,,,,,Epilobium,,,6FSKF,3664083,6FSKF,3664083
B338:1:4,Epilobium obscurum,,Epilobium,,obscurum,,species,,B338:1,accepted,,,,,,,,,,,Epilobium,,,6G4JG,3189152,6G4JG,3189152
B338:1:5,Epilobium palustre,,Epilobium,,palustre,,species,,B338:1,accepted,,,,,,,,,,,Epilobium,,,6G4LF,3189080,6G4LF,3189080
B338:1:6,Epilobium parviflorum,,Epilobium,,parviflorum,,species,,B338:1,accepted,,,,,,,,,,,Epilobium,,,6FSKY,3189157,6FSKY,3189157
B338:1:7,Epilobium roseum,,Epilobium,,roseum,,species,,B338:1,accepted,,,,,,,,,,,Epilobium,,,6G4LR,3666800,6G4LR,3666800
B338:1:8,Epilobium tetragonum,,Epilobium,,tetragonum,,species,,B338:1,accepted,,,,,,,,,,,Epilobium,,,6G4MQ,7322563,6G4MQ,7322563
