scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B246:5:1,Urophora solstitialis (Linnaeus),(Linnaeus),Urophora,,solstitialis,,species,,B246:5,accepted,,,,,,,,,,,Urophora,,,Urophora solstitialis (Linnaeus),,7DY3T,5088030,7DY3T,5088030
B246:5:2,Tephritis hyoscyami (Linnaeus),(Linnaeus),Tephritis,,hyoscyami,,species,,B246:5,accepted,,,,,,,,,,,Tephritis,,,Tephritis hyoscyami (Linnaeus),,55C2H,1623231,55C2H,1623231
B246:5:3,Terellia serratulae (Linnaeus),(Linnaeus),Terellia,,serratulae,,species,,B246:5,accepted,,,,,,,,,,,Terellia,,,Terellia serratulae (Linnaeus),,55F8C,1627983,55F8C,1627983
B246:5:4,Terellia winthemi (Meigen),(Meigen),Terellia,,winthemi,,species,,B246:5,accepted,,,,,,,,,,,Terellia,,,Terellia winthemi (Meigen),,55F8S,1627967,55F8S,1627967
