scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B1623:1:1,"Carpocoris Kolenati, 1846","Kolenati, 1846",,,,,genus,,B1623:1,accepted,,,,,,,,,,,Carpocoris,,,"Carpocoris Kolenati, 1846",,4405367,,4405367
B1623:1:2,"Carpocoris melanocerus (Mulsant & Rey, 1852)","(Mulsant & Rey, 1852)",Carpocoris,,melanocerus,,species,,B1623:1,accepted,,,B1623:1:1,"Carpocoris Kolenati, 1846",,,,,,,Carpocoris,,Carpocoris,"Carpocoris melanocerus (Mulsant & Rey, 1852)",,4485806,,4485806
B1623:1:3,"Carpocoris pudicus (Poda, 1761)","(Poda, 1761)",Carpocoris,,pudicus,,species,,B1623:1,accepted,,,B1623:1:1,"Carpocoris Kolenati, 1846",,,,,,,Carpocoris,,Carpocoris,"Carpocoris pudicus (Poda, 1761)",,11357937,,4485798
B1623:1:4,"Carpocoris purpureipennis (De Geer, 1773)","(De Geer, 1773)",Carpocoris,,purpureipennis,,species,,B1623:1,accepted,,,B1623:1:1,"Carpocoris Kolenati, 1846",,,,,,,Carpocoris,,Carpocoris,"Carpocoris purpureipennis (De Geer, 1773)",,4485798,,4485798
B1623:1:5,"Carpocoris mediterraneus Tamanini, 1958","Tamanini, 1958",Carpocoris,,mediterraneus,,species,,B1623:1,accepted,,,B1623:1:1,"Carpocoris Kolenati, 1846",,,,,,,Carpocoris,,Carpocoris,"Carpocoris mediterraneus Tamanini, 1958",,4485802,,4485802
B1623:1:6,"Carpocoris mediterraneus subsp. mediterraneus Tamanini, 1958","Tamanini, 1958",Carpocoris,,mediterraneus,mediterraneus,subspecies,,B1623:1,accepted,,,B1623:1:5,"Carpocoris mediterraneus Tamanini, 1958",,,,,,,Carpocoris,,Carpocoris | Carpocoris mediterraneus,"Carpocoris mediterraneus mediterraneus Tamanini, 1958",,9548997,,9548997
B1623:1:7,"Carpocoris mediterraneus subsp. atlanticus Tamanini, 1958","Tamanini, 1958",Carpocoris,,mediterraneus,atlanticus,subspecies,,B1623:1,accepted,,,B1623:1:5,"Carpocoris mediterraneus Tamanini, 1958",,,,,,,Carpocoris,,Carpocoris | Carpocoris mediterraneus,"Carpocoris mediterraneus atlanticus Tamanini, 1958",,9241916,,9241916
B1623:1:8,"Carpocoris fuscispinus (Boheman, 1851)","(Boheman, 1851)",Carpocoris,,fuscispinus,,species,,B1623:1,accepted,,,B1623:1:1,"Carpocoris Kolenati, 1846",,,,,,,Carpocoris,,Carpocoris,"Carpocoris fuscispinus (Boheman, 1851)",,4485800,,4485800
