scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B2020:3:1,Micropterigidae,,,,,,family,,B2020:3,accepted,,,,,,,,,Micropterigidae,,,,,MICROPTERIGIDAE,,BJ7F8,9408,BJ7F8,9408
B2020:3:2,Micropterix Hübner,Hübner,,,,,genus,,B2020:3,accepted,,,B2020:3:1,Micropterigidae,,,,,Micropterigidae,,Micropterix,,Micropterigidae,Micropterix Hübner,,92FQR,1939616,92FQR,1939616
B2020:3:3,"Micropterix tunbergella (Fabricius, 1787)","(Fabricius, 1787)",Micropterix,,tunbergella,,species,,B2020:3,accepted,,,B2020:3:2,Micropterix Hübner,,,,,Micropterigidae,,Micropterix,,Micropterigidae | Micropterix,"tunbergella (Fabricius, 1787)",,4352C,1939658,4352C,1939658
B2020:3:4,"Micropterix mansuetella Zeller, 1844","Zeller, 1844",Micropterix,,mansuetella,,species,,B2020:3,accepted,,,B2020:3:2,Micropterix Hübner,,,,,Micropterigidae,,Micropterix,,Micropterigidae | Micropterix,"mansuetella Zeller, 1844",,434ZT,1939680,434ZT,1939680
B2020:3:5,"Micropterix aureatella (Scopoli, 1763)","(Scopoli, 1763)",Micropterix,,aureatella,,species,,B2020:3,accepted,,,B2020:3:2,Micropterix Hübner,,,,,Micropterigidae,,Micropterix,,Micropterigidae | Micropterix,"aureatella (Scopoli, 1763)",,434YJ,1939688,434YJ,1939688
B2020:3:6,"Micropterix aruncella (Scopoli, 1763)","(Scopoli, 1763)",Micropterix,,aruncella,,species,,B2020:3,accepted,,,B2020:3:2,Micropterix Hübner,,,,,Micropterigidae,,Micropterix,,Micropterigidae | Micropterix,"aruncella (Scopoli, 1763)",,434YH,7646066,434YH,7646066
B2020:3:7,"Micropterix calthella (Linnaeus, 1761)","(Linnaeus, 1761)",Micropterix,,calthella,,species,,B2020:3,accepted,,,B2020:3:2,Micropterix Hübner,,,,,Micropterigidae,,Micropterix,,Micropterigidae | Micropterix,"calthella (Linnaeus, 1761)",,6RHTR,1939677,6RHTR,1939677
B2020:3:8,Eriocraniidae,,,,,,family,,B2020:3,accepted,,,,,,,,,Eriocraniidae,,,,,ERIOCRANIIDAE,,C9PKZ,6946,C9PKZ,6946
B2020:3:9,Dyseriocrania Spuler,Spuler,,,,,genus,,B2020:3,accepted,,,B2020:3:8,Eriocraniidae,,,,,Eriocraniidae,,Dyseriocrania,,Eriocraniidae,Dyseriocrania Spuler,,927MN,1731859,927MN,1731859
B2020:3:10,Eriocrania Zeller,Zeller,,,,,genus,,B2020:3,synonym,B2020:3:9,Dyseriocrania Spuler,,,,,,,Eriocraniidae,,Eriocrania,,Eriocraniidae,Eriocrania Zeller,,928G6,1731817,928G6,1731817
B2020:3:11,"Dyseriocrania subpurpurella (Haworth, 1828)","(Haworth, 1828)",Dyseriocrania,,subpurpurella,,species,,B2020:3,accepted,,,B2020:3:9,Dyseriocrania Spuler,,,,,Eriocraniidae,,Dyseriocrania,,Eriocraniidae | Dyseriocrania,"subpurpurella (Haworth, 1828)",,6DRBV,1731860,6DRBV,1731860
B2020:3:12,Heringocrania Kuznetzov,Kuznetzov,,,,,genus,,B2020:3,accepted,,,B2020:3:8,Eriocraniidae,,,,,Eriocraniidae,,Heringocrania,,Eriocraniidae,Heringocrania Kuznetzov,,92BFM,1731857,92BFM,1731857
B2020:3:13,Eriocrania Zeller,Zeller,,,,,genus,,B2020:3,synonym,B2020:3:12,Heringocrania Kuznetzov,,,,,,,Eriocraniidae,,Eriocrania,,Eriocraniidae,Eriocrania Zeller,,928G6,1731817,928G6,1731817
B2020:3:14,"Heringocrania unimaculella (Zetterstedt, 1839)","(Zetterstedt, 1839)",Heringocrania,,unimaculella,,species,,B2020:3,accepted,,,B2020:3:12,Heringocrania Kuznetzov,,,,,Eriocraniidae,,Heringocrania,,Eriocraniidae | Heringocrania,"unimaculella (Zetterstedt, 1839)",,3KZ43,1731858,3KZ43,1731858
B2020:3:15,Paracrania Zagulajev,Zagulajev,,,,,genus,,B2020:3,accepted,,,B2020:3:8,Eriocraniidae,,,,,Eriocraniidae,,Paracrania,,Eriocraniidae,Paracrania Zagulajev,,CBSJL,4406279,CBSJL,4406279
B2020:3:16,Eriocrania Zeller,Zeller,,,,,genus,,B2020:3,synonym,B2020:3:15,Paracrania Zagulajev,,,,,,,Eriocraniidae,,Eriocrania,,Eriocraniidae,Eriocrania Zeller,,928G6,1731817,928G6,1731817
B2020:3:17,"Paracrania chrysolepidella (Zeller, 1851)","(Zeller, 1851)",Paracrania,,chrysolepidella,,species,,B2020:3,accepted,,,B2020:3:15,Paracrania Zagulajev,,,,,Eriocraniidae,,Paracrania,,Eriocraniidae | Paracrania,"chrysolepidella (Zeller, 1851)",,CBSJM,4522964,CBSJM,4522964
B2020:3:18,Eriocrania Zeller,Zeller,,,,,genus,,B2020:3,accepted,,,B2020:3:8,Eriocraniidae,,,,,Eriocraniidae,,Eriocrania,,Eriocraniidae,Eriocrania Zeller,,928G6,1731817,928G6,1731817
B2020:3:19,"Eriocrania sparrmannella (Bosc, 1791)","(Bosc, 1791)",Eriocrania,,sparrmannella,,species,,B2020:3,accepted,,,B2020:3:18,Eriocrania Zeller,,,,,Eriocraniidae,,Eriocrania,,Eriocraniidae | Eriocrania,"sparrmannella (Bosc, 1791)",,3B4DP,1731837,3B4DP,1731837
B2020:3:20,"Eriocrania salopiella (Stainton, 1854)","(Stainton, 1854)",Eriocrania,,salopiella,,species,,B2020:3,accepted,,,B2020:3:18,Eriocrania Zeller,,,,,Eriocraniidae,,Eriocrania,,Eriocraniidae | Eriocrania,"salopiella (Stainton, 1854)",,3B4DK,1731834,3B4DK,1731834
B2020:3:21,"Eriocrania cicatricella (Zetterstedt, 1839)","(Zetterstedt, 1839)",Eriocrania,,cicatricella,,species,,B2020:3,accepted,,,B2020:3:18,Eriocrania Zeller,,,,,Eriocraniidae,,Eriocrania,,Eriocraniidae | Eriocrania,"cicatricella (Zetterstedt, 1839)",,93ZH3,1731822,93ZH3,1731837
B2020:3:22,"Eriocrania sangii (Wood, 1891)","(Wood, 1891)",Eriocrania,,sangii,,species,,B2020:3,accepted,,,B2020:3:18,Eriocrania Zeller,,,,,Eriocraniidae,,Eriocrania,,Eriocraniidae | Eriocrania,"sangii (Wood, 1891)",,3B4DL,1731820,3B4DL,1731820
B2020:3:23,"Eriocrania semipurpurella (Stephens, 1835)","(Stephens, 1835)",Eriocrania,,semipurpurella,,species,,B2020:3,accepted,,,B2020:3:18,Eriocrania Zeller,,,,,Eriocraniidae,,Eriocrania,,Eriocraniidae | Eriocrania,"semipurpurella (Stephens, 1835)",,3B4DM,1731826,3B4DM,1731826
B2020:3:24,Nepticulidae,,,,,,family,,B2020:3,accepted,,,,,,,,,Nepticulidae,,,,,NEPTICULIDAE,,DB5,7014,DB5,7014
B2020:3:25,Enteucha Meyrick,Meyrick,,,,,genus,,B2020:3,accepted,,,B2020:3:24,Nepticulidae,,,,,Nepticulidae,,Enteucha,,Nepticulidae,Enteucha Meyrick,,62S7B,1735875,62S7B,1735875
B2020:3:26,"Enteucha acetosae (Stainton, 1854)","(Stainton, 1854)",Enteucha,,acetosae,,species,,B2020:3,accepted,,,B2020:3:25,Enteucha Meyrick,,,,,Nepticulidae,,Enteucha,,Nepticulidae | Enteucha,"acetosae (Stainton, 1854)",,39YLB,4526976,39YLB,4526976
B2020:3:27,Stigmella Schrank,Schrank,,,,,genus,,B2020:3,accepted,,,B2020:3:24,Nepticulidae,,,,,Nepticulidae,,Stigmella,,Nepticulidae,Stigmella Schrank,,CT858,1735652,CT858,1735652
