scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B1323:1:1,Glossosomatidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Glossosomatidae,,,,,623KK,7964,623KK,7964
B1323:1:2,Hydroptilidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Hydroptilidae,,,,,B8Y,7967,B8Y,7967
B1323:1:3,Rhyacophilidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Rhyacophilidae,,,,,FR8,4402,FR8,4402
B1323:1:4,Ecnomidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Ecnomidae,,,,,9KY,7963,9KY,7963
B1323:1:5,Arctopsychidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Arctopsychidae,,,,,,4482254,,7966
B1323:1:6,Hydropsychidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Hydropsychidae,,,,,B8X,7966,B8X,7966
B1323:1:7,Polycentropodidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Polycentropodidae,,,,,627HY,4400,627HY,4400
B1323:1:8,Psychomyiidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Psychomyiidae,,,,,FBT,4401,FBT,4401
B1323:1:9,Philopotamidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Philopotamidae,,,,,625XC,7973,625XC,7973
B1323:1:10,Molannidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Molannidae,,,,,CV9,7970,CV9,7970
B1323:1:11,Leptoceridae,,,,,,family,,B1323:1,accepted,,,,,,,,,Leptoceridae,,,,,BX9,4395,BX9,4395
B1323:1:12,Odontoceridae,,,,,,family,,B1323:1,accepted,,,,,,,,,Odontoceridae,,,,,DHW,4397,DHW,4397
B1323:1:13,Goeridae,,,,,,family,,B1323:1,accepted,,,,,,,,,Goeridae,,,,,623LN,9655,623LN,9655
B1323:1:14,Apataniidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Apataniidae,,,,,6JH,7956,6JH,7956
B1323:1:15,Limnephilidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Limnephilidae,,,,,624XF,4396,624XF,4396
B1323:1:16,Brachycentridae,,,,,,family,,B1323:1,accepted,,,,,,,,,Brachycentridae,,,,,7CK,4390,7CK,4390
B1323:1:17,Lepidostomatidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Lepidostomatidae,,,,,BWR,7968,BWR,7968
B1323:1:18,Phryganeidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Phryganeidae,,,,,625ZS,7975,625ZS,7975
B1323:1:19,Beraeidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Beraeidae,,,,,76F,7958,76F,7958
B1323:1:20,Sericostomatidae,,,,,,family,,B1323:1,accepted,,,,,,,,,Sericostomatidae,,,,,G8F,4404,G8F,4404
