scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B465:1:1,Formica,,,,,,genus,,B465:1,accepted,,,,,,,,,,,Formica,,,Formica,4KS4,12339359,4KS4,12339359
B465:1:2,"Coptoformica Mueller, 1923","Mueller, 1923",,,,,subgenus,,B465:1,accepted,,,B465:1:1,Formica,,,,,,,Formica,Coptoformica,Formica,"Coptoformica Mueller, 1923",,,,
B465:1:3,"Formica exsecta Nylander, 1846","Nylander, 1846",Formica,Coptoformica,exsecta,,species,,B465:1,accepted,,,B465:1:2,"Coptoformica Mueller, 1923",,,,,,,Formica,Coptoformica,Formica | Coptoformica,"Formica exsecta Nylander, 1846",6JGVM,1315050,6JGVM,1315050
B465:1:4,"Formica mesasiatica Dlussky, 1964","Dlussky, 1964",Formica,Coptoformica,mesasiatica,,species,,B465:1,accepted,,,B465:1:2,"Coptoformica Mueller, 1923",,,,,,,Formica,Coptoformica,Formica | Coptoformica,"Formica mesasiatica Dlussky, 1964",,,,
B465:1:5,"Formica fukaii Wheeler, 1914","Wheeler, 1914",Formica,Coptoformica,fukaii,,species,,B465:1,accepted,,,B465:1:2,"Coptoformica Mueller, 1923",,,,,,,Formica,Coptoformica,Formica | Coptoformica,"Formica fukaii Wheeler, 1914",6JH82,1314879,6JH82,1314879
B465:1:6,"Formica manchu Wheeler, 1929","Wheeler, 1929",Formica,Coptoformica,manchu,,species,,B465:1,accepted,,,B465:1:2,"Coptoformica Mueller, 1923",,,,,,,Formica,Coptoformica,Formica | Coptoformica,"Formica manchu Wheeler, 1929",,8992229,,8992229
B465:1:7,"Formica bruni Kutter, 1967","Kutter, 1967",Formica,Coptoformica,bruni,,species,,B465:1,accepted,,,B465:1:2,"Coptoformica Mueller, 1923",,,,,,,Formica,Coptoformica,Formica | Coptoformica,"Formica bruni Kutter, 1967",6JH6D,1314926,6JH6D,1314926
B465:1:8,"Formica pressilabris Nylander, 1846","Nylander, 1846",Formica,Coptoformica,pressilabris,,species,,B465:1,accepted,,,B465:1:2,"Coptoformica Mueller, 1923",,,,,,,Formica,Coptoformica,Formica | Coptoformica,"Formica pressilabris Nylander, 1846",6JGKN,1315124,6JGKN,1315124
B465:1:9,"Formica foreli Emery, 1909","Emery, 1909",Formica,Coptoformica,foreli,,species,,B465:1,accepted,,,B465:1:2,"Coptoformica Mueller, 1923",,,,,,,Formica,Coptoformica,Formica | Coptoformica,"Formica foreli Emery, 1909",,4504702,,9301984
B465:1:10,"Formica pisarskii Dlussky, 1964","Dlussky, 1964",Formica,Coptoformica,pisarskii,,species,,B465:1,accepted,,,B465:1:2,"Coptoformica Mueller, 1923",,,,,,,Formica,Coptoformica,Formica | Coptoformica,"Formica pisarskii Dlussky, 1964",6JGKV,1314903,6JGKV,1314903
B465:1:11,"Formica forsslundi Lohmander, 1949","Lohmander, 1949",Formica,Coptoformica,forsslundi,,species,,B465:1,accepted,,,B465:1:2,"Coptoformica Mueller, 1923",,,,,,,Formica,Coptoformica,Formica | Coptoformica,"Formica forsslundi Lohmander, 1949",6JH7R,1314968,6JH7R,1314968
B465:1:12,"Formica suecica Adlerz, 1902","Adlerz, 1902",Formica,Coptoformica,suecica,,species,,B465:1,accepted,,,B465:1:2,"Coptoformica Mueller, 1923",,,,,,,Formica,Coptoformica,Formica | Coptoformica,"Formica suecica Adlerz, 1902",6JGMM,1314938,6JGMM,1314938
