scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B2950:3:1,Heterocapillus E. Wgn.,E. Wgn.,,,,,genus,,B2950:3,accepted,,,,,,,,,,,Heterocapillus,,,Heterocapillus E. WGN.,,63748,4408249,63748,4408249
B2950:3:2,Heterocapillus tigripes Mls.,Mls.,Heterocapillus,,tigripes,,species,,B2950:3,accepted,,,B2950:3:1,Heterocapillus E. Wgn.,,,,,,,Heterocapillus,,Heterocapillus,tigripes MLS.,,3L7YW,4488328,3L7YW,4488328
B2950:3:3,Heterocapillus niger,,Heterocapillus,,niger,,species,nov. spec.,B2950:3,accepted,,,B2950:3:1,Heterocapillus E. Wgn.,,,,,,,Heterocapillus,,Heterocapillus,niger nov. spec.,,3L7YQ,4488318,3L7YQ,4488318
B2950:3:4,Heterocapillus perpusillus E. Wgn.,E. Wgn.,Heterocapillus,,perpusillus,,species,,B2950:3,accepted,,,B2950:3:1,Heterocapillus E. Wgn.,,,,,,,Heterocapillus,,Heterocapillus,perpusillus E. WGN.,,3L7YS,4488319,3L7YS,4488319
B2950:3:5,Heterocapillus putoni Reut.,Reut.,Heterocapillus,,putoni,,species,,B2950:3,accepted,,,B2950:3:1,Heterocapillus E. Wgn.,,,,,,,Heterocapillus,,Heterocapillus,putoni REUT.,,6M2YK,7536644,3L7YX,4488323
