scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B2115:1:1,Nepidae Stål,Stål,,,,,family,,B2115:1,accepted,,,,,,,,,Nepidae,,,,,Nepidae Stål,,DB4,7892,DB4,7892
B2115:1:2,Telmatotrephes Stål 1856,Stål 1856,,,,,genus,,B2115:1,accepted,,,B2115:1:1,Nepidae Stål,,,,,Nepidae,,Telmatotrephes,,Nepidae,Telmatotrephes Stål 1856,,7TJP,4772233,7TJP,4772233
B2115:1:3,Curicta Stål 1862,Stål 1862,,,,,genus,,B2115:1,accepted,,,B2115:1:1,Nepidae Stål,,,,,Nepidae,,Curicta,,Nepidae,Curicta Stål 1862,,3XGD,2007587,3XGD,2007587
B2115:1:4,Nepa L.,L.,,,,,genus,,B2115:1,accepted,,,B2115:1:1,Nepidae Stål,,,,,Nepidae,,Nepa,,Nepidae,Nepa L.,,634F,2007591,634F,2007591
B2115:1:5,Borborophilus Stål 1865,Stål 1865,,,,,genus,,B2115:1,accepted,,,B2115:1:1,Nepidae Stål,,,,,Nepidae,,Borborophilus,,Nepidae,Borborophilus Stål 1865,,3BHV,4783646,3BHV,4783646
B2115:1:6,Laccotrephes Stal 1865,Stal 1865,,,,,genus,,B2115:1,accepted,,,B2115:1:1,Nepidae Stål,,,,,Nepidae,,Laccotrephes,,Nepidae,Laccotrephes Stal 1865,,59S9,4778117,59S9,4778117
B2115:1:7,Ranatra Fabr.,Fabr.,,,,,genus,,B2115:1,accepted,,,B2115:1:1,Nepidae Stål,,,,,Nepidae,,Ranatra,,Nepidae,Ranatra Fabr.,,772G,2007594,772G,2007594
B2115:1:8,Cercotmetus A. & Serv.,A. & Serv.,,,,,genus,,B2115:1,accepted,,,B2115:1:1,Nepidae Stål,,,,,Nepidae,,Cercotmetus,,Nepidae,Cercotmetus A. & Serv.,,3L2Z,4778123,3L2Z,4778123
