scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B1710:1:1,"Rhaphigaster Laporte, 1833","Laporte, 1833",,,,,genus,,B1710:1,accepted,,,,,,,,,,,Rhaphigaster,,,"Rhaphigaster Laporte, 1833",,2079011,,2079011
B1710:1:2,"Rhaphigaster brevispina Horváth, 1889","Horváth, 1889",Rhaphigaster,,brevispina,,species,,B1710:1,accepted,,,B1710:1:1,"Rhaphigaster Laporte, 1833",,,,,,,Rhaphigaster,,Rhaphigaster,"brevispina Horváth, 1889",,,,
B1710:1:3,"Rhaphigaster nebulosa (Poda, 1761)","(Poda, 1761)",Rhaphigaster,,nebulosa,,species,,B1710:1,accepted,,,B1710:1:1,"Rhaphigaster Laporte, 1833",,,,,,,Rhaphigaster,,Rhaphigaster,"nebulosa (Poda, 1761)",,5758736,,5758736
B1710:1:4,"Rhaphigaster haraldi Lindberg, 1932","Lindberg, 1932",Rhaphigaster,,haraldi,,species,,B1710:1,accepted,,,B1710:1:1,"Rhaphigaster Laporte, 1833",,,,,,,Rhaphigaster,,Rhaphigaster,"haraldi Lindberg, 1932",,11460182,,11460182
