scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B3013:1:1,Phytocoris nitidicollis Reut.,Reut.,Phytocoris,,nitidicollis,,species,,B3013:1,accepted,,,,,,,,,,,Phytocoris,,,Phytocoris nitidicollis Reut.,,4HL3G,8274269,4HL3G,8274269
B3013:1:2,Phytocoris dimidiatus Kbm.,Kbm.,Phytocoris,,dimidiatus,,species,,B3013:1,accepted,,,,,,,,,,,Phytocoris,,,Phytocoris dimidiatus Kbm.,,4HKQJ,2011695,4HKQJ,2011695
B3013:1:3,Phytocoris scitulus Reut.,Reut.,Phytocoris,,scitulus,,species,,B3013:1,accepted,,,,,,,,,,,Phytocoris,,,Phytocoris scitulus Reut.,,4HL9T,4487411,4HL9T,4487411
B3013:1:4,Phytocoris parrotiae Putsh.,Putsh.,Phytocoris,,parrotiae,,species,,B3013:1,accepted,,,,,,,,,,,Phytocoris,,,Phytocoris parrotiae Putsh.,,4HL4W,8279628,4HL4W,8279628
B3013:1:5,Phytocoris oleae Lnv.,Lnv.,Phytocoris,,oleae,,species,,B3013:1,accepted,,,,,,,,,,,Phytocoris,,,Phytocoris oleae Lnv.,,4HL45,7994536,4HL45,7994536
