scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B245:1:1,Calyptrata,,,,,,subsection,,B245:1,accepted,,,,,,,,,,,,,,,,,
B245:1:2,Tachinidae,,,,,,family,,B245:1,accepted,,,B245:1:1,Calyptrata,,,,,Tachinidae,,,,Calyptrata,9J9HR,6918,9L8CH,6918
B245:1:3,Calliphoridae,,,,,,family,,B245:1,accepted,,,B245:1:1,Calyptrata,,,,,Calliphoridae,,,,Calyptrata,7KK,3335,7KK,3335
B245:1:4,Cordyluridae,,,,,,family,,B245:1,accepted,,,B245:1:1,Calyptrata,,,,,Cordyluridae,,,,Calyptrata,,3264118,,1555553
B245:1:5,Anthomyiidae,,,,,,family,,B245:1,accepted,,,B245:1:1,Calyptrata,,,,,Anthomyiidae,,,,Calyptrata,6H7,3330,6H7,3330
B245:1:6,Muscidae,,,,,,family,,B245:1,accepted,,,B245:1:1,Calyptrata,,,,,Muscidae,,,,Calyptrata,CZP,5564,CZP,5564
