scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B179:1:54,Gnathoncus punctator Reichardt,Reichardt,Gnathoncus,,punctator,,species,nec Rtt.,B179:1,synonym,B179:1:52,Gnathoncus schmidti Reitter,,,,,,,Histeridae,,Gnathoncus,,Histeroidea | Histeridae | Gnathoncus,3GLS3,5995178
B179:1:55,Baeckmanniolus Reichardt,Reichardt,,,,,genus,,B179:1,accepted,,,B179:1:5,Histeridae,,,,,Histeridae,,Baeckmanniolus,,Histeroidea | Histeridae,8P38R,4769447
B179:1:56,Baeckmanniolus maritimus (Stephens),(Stephens),Baeckmanniolus,,maritimus,,species,,B179:1,accepted,,,B179:1:55,Baeckmanniolus Reichardt,,,,,Histeridae,,Baeckmanniolus,,Histeroidea | Histeridae | Baeckmanniolus,,11353179
B179:1:57,Pachylopus maritimus (Steph.),(Steph.),Pachylopus,,maritimus,,species,,B179:1,synonym,B179:1:56,Baeckmanniolus maritimus (Stephens),,,,,,,Histeridae,,Baeckmanniolus,,Histeroidea | Histeridae | Baeckmanniolus,,10308130
B179:1:58,Hypocaccus Thomson,Thomson,,,,,genus,,B179:1,accepted,,,B179:1:5,Histeridae,,,,,Histeridae,,Hypocaccus,,Histeroidea | Histeridae,52M9,1044724
B179:1:59,Hypocaccus rugiceps (Duftschmidt),(Duftschmidt),Hypocaccus,,rugiceps,,species,,B179:1,accepted,,,B179:1:58,Hypocaccus Thomson,,,,,Histeridae,,Hypocaccus,,Histeroidea | Histeridae | Hypocaccus,7VHSY,4433114
B179:1:60,Hypocaccus metallicus (Herbst),(Herbst),Hypocaccus,,metallicus,,species,,B179:1,accepted,,,B179:1:58,Hypocaccus Thomson,,,,,Histeridae,,Hypocaccus,,Histeroidea | Histeridae | Hypocaccus,7VHSM,4433110
B179:1:61,Hypocaccus rugifrons (Paykull),(Paykull),Hypocaccus,,rugifrons,,species,,B179:1,accepted,,,B179:1:58,Hypocaccus Thomson,,,,,Histeridae,,Hypocaccus,,Histeroidea | Histeridae | Hypocaccus,7VHSZ,4433120
B179:1:62,Saprinus Erichson,Erichson,,,,,genus,,B179:1,accepted,,,B179:1:5,Histeridae,,,,,Histeridae,,Saprinus,,Histeroidea | Histeridae,8NYVR,1044805
B179:1:63,Saprinus virescens (Paykull),(Paykull),Saprinus,,virescens,,species,,B179:1,accepted,,,B179:1:62,Saprinus Erichson,,,,,Histeridae,,Saprinus,,Histeroidea | Histeridae | Saprinus,7WS8C,4432981
