scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B467:1:1,"Myrmica Latreille, 1804","Latreille, 1804",,,,,genus,,B467:1,accepted,,,,,,,,,,,Myrmica,,,5WP9,1318775,5WP9,1318775
B467:1:2,"Myrmica rubra (Linné, 1758)","(Linné, 1758)",Myrmica,,rubra,,species,,B467:1,accepted,,,B467:1:1,"Myrmica Latreille, 1804",,,,,,,Myrmica,,Myrmica,45CRZ,1318874,45CRZ,1318874
B467:1:3,"Formica rubra Linné, 1758","Linné, 1758",Formica,,rubra,,species,,B467:1,synonym,B467:1:2,"Myrmica rubra (Linné, 1758)",,,,,,,,,Myrmica,,Myrmica,,4504395,,1318874
B467:1:4,"Myrmica ruginodis Nylander, 1846","Nylander, 1846",Myrmica,,ruginodis,,species,,B467:1,accepted,,,B467:1:1,"Myrmica Latreille, 1804",,,,,,,Myrmica,,Myrmica,45CS3,1318848,45CS3,1318848
B467:1:5,"Myrmica rubra var. mutata Sadil, 1952","Sadil, 1952",Myrmica,,rubra,mutata,variety,,B467:1,synonym,B467:1:4,"Myrmica ruginodis Nylander, 1846",,,,,,,,,Myrmica,,Myrmica,,12067647,,1318848
B467:1:6,"Myrmica sulcinodis Nylander, 1846","Nylander, 1846",Myrmica,,sulcinodis,,species,,B467:1,accepted,,,B467:1:1,"Myrmica Latreille, 1804",,,,,,,Myrmica,,Myrmica,45CSP,1318917,45CSP,1318917
B467:1:7,"Myrmica myrmecophila Wasmann, 1910","Wasmann, 1910",Myrmica,,myrmecophila,,species,,B467:1,synonym,B467:1:6,"Myrmica sulcinodis Nylander, 1846",,,,,,,,,Myrmica,,Myrmica,,11937287,,1318917
B467:1:8,"Myrmica gallienii Bondroit, 1920","Bondroit, 1920",Myrmica,,gallienii,,species,,B467:1,accepted,,,B467:1:1,"Myrmica Latreille, 1804",,,,,,,Myrmica,,Myrmica,45CQ8,1318893,45CQ8,1318893
B467:1:9,"Myrmica rugulosa subsp. limanica Arnoldi, 1934","Arnoldi, 1934",Myrmica,,rugulosa,limanica,subspecies,,B467:1,synonym,B467:1:8,"Myrmica gallienii Bondroit, 1920",,,,,,,,,Myrmica,,Myrmica,,12037302,,1318893
B467:1:10,"Myrmica jacobsoni Kutter, 1963","Kutter, 1963",Myrmica,,jacobsoni,,species,,B467:1,synonym,B467:1:8,"Myrmica gallienii Bondroit, 1920",,,,,,,,,Myrmica,,Myrmica,,12117970,,1318893
B467:1:11,"Myrmica bergi Ruzsky, 1902","Ruzsky, 1902",Myrmica,,bergi,,species,,B467:1,accepted,,,B467:1:1,"Myrmica Latreille, 1804",,,,,,,Myrmica,,Myrmica,6RSWS,1318796,6RSWS,1318796
B467:1:12,"Myrmica bergi subsp. kamyshiensis Arnoldi, 1934","Arnoldi, 1934",Myrmica,,bergi,kamyshiensis,subspecies,,B467:1,synonym,B467:1:11,"Myrmica bergi Ruzsky, 1902",,,,,,,,,Myrmica,,Myrmica,,,,
B467:1:13,"Myrmica rugulosa Nylander, 1849","Nylander, 1849",Myrmica,,rugulosa,,species,,B467:1,accepted,,,B467:1:1,"Myrmica Latreille, 1804",,,,,,,Myrmica,,Myrmica,45CS6,1318789,45CS6,1318789
B467:1:14,"Myrmica hellenica Forel, 1913","Forel, 1913",Myrmica,,hellenica,,species,,B467:1,accepted,,,B467:1:1,"Myrmica Latreille, 1804",,,,,,,Myrmica,,Myrmica,6S4WS,1318857,6S4WS,1318857
B467:1:15,"Myrmica scabrinodis var. hellenica Forel, 1913","Forel, 1913",Myrmica,,scabrinodis,hellenica,variety,,B467:1,synonym,B467:1:14,"Myrmica hellenica Forel, 1913",,,,,,,,,Myrmica,,Myrmica,,,,
B467:1:16,"Myrmica specioides Bondroit, 1918","Bondroit, 1918",Myrmica,,specioides,,species,,B467:1,accepted,,,B467:1:1,"Myrmica Latreille, 1804",,,,,,,Myrmica,,Myrmica,,5871110,,5871110
B467:1:17,"Myrmica scabrinodis var. ahngeri Karawajew, 1926","Karawajew, 1926",Myrmica,,scabrinodis,ahngeri,variety,,B467:1,synonym,B467:1:16,"Myrmica specioides Bondroit, 1918",,,,,,,,,Myrmica,,Myrmica,,,,
B467:1:18,"Myrmica puerillis Stärcke, 1942","Stärcke, 1942",Myrmica,,puerillis,,species,,B467:1,synonym,B467:1:16,"Myrmica specioides Bondroit, 1918",,,,,,,,,Myrmica,,Myrmica,,7721041,,5871110
B467:1:19,"Myrmica balcanica Sadil, 1952","Sadil, 1952",Myrmica,,balcanica,,species,,B467:1,synonym,B467:1:16,"Myrmica specioides Bondroit, 1918",,,,,,,,,Myrmica,,Myrmica,,7647778,,5871110
B467:1:20,"Myrmica turcica Santschi, 1931","Santschi, 1931",Myrmica,,turcica,,species,,B467:1,accepted,,,B467:1:1,"Myrmica Latreille, 1804",,,,,,,Myrmica,,Myrmica,45CSZ,1318946,45CSZ,1318946
B467:1:21,"Myrmica scabrinodis var. turcica Santschi, 1931","Santschi, 1931",Myrmica,,scabrinodis,turcica,variety,,B467:1,synonym,B467:1:20,"Myrmica turcica Santschi, 1931",,,,,,,,,Myrmica,,Myrmica,,12014880,,5871110
B467:1:22,"Myrmica georgica Seifert, 1987","Seifert, 1987",Myrmica,,georgica,,species,,B467:1,synonym,B467:1:20,"Myrmica turcica Santschi, 1931",,,,,,,,,Myrmica,,Myrmica,,10226901,,10226901
B467:1:23,"Myrmica caucasica Arnoldi, 1934","Arnoldi, 1934",Myrmica,,caucasica,,species,,B467:1,accepted,,,B467:1:1,"Myrmica Latreille, 1804",,,,,,,Myrmica,,Myrmica,,,,
B467:1:24,"Myrmica rugulosa subsp. caucasica Arnoldi, 1934","Arnoldi, 1934",Myrmica,,rugulosa,caucasica,subspecies,,B467:1,synonym,B467:1:23,"Myrmica caucasica Arnoldi, 1934",,,,,,,,,Myrmica,,Myrmica,,,,
B467:1:25,"Myrmica sancta Karawajew, 1926","Karawajew, 1926",Myrmica,,sancta,,species,,B467:1,accepted,,,B467:1:1,"Myrmica Latreille, 1804",,,,,,,Myrmica,,Myrmica,,,,
B467:1:26,"Myrmica scabrinodis var. sancta Karawajew, 1926","Karawajew, 1926",Myrmica,,scabrinodis,sancta,variety,,B467:1,synonym,B467:1:25,"Myrmica sancta Karawajew, 1926",,,,,,,,,Myrmica,,Myrmica,,12140999,,5871110
B467:1:27,"Myrmica bakurianica Arnoldi, 1970","Arnoldi, 1970",Myrmica,,bakurianica,,species,,B467:1,accepted,,,B467:1:1,"Myrmica Latreille, 1804",,,,,,,Myrmica,,Myrmica,45CP8,1318841,45CP8,1318841
B467:1:28,"Myrmica pilosiscapus subsp. bakurianica Arnoldi, 1970","Arnoldi, 1970",Myrmica,,pilosiscapus,bakurianica,subspecies,,B467:1,synonym,B467:1:27,"Myrmica bakurianica Arnoldi, 1970",,,,,,,,,Myrmica,,Myrmica,,,,
