scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B163:24:1,"Drepanosiphum C. L. Koch, 1855","C. L. Koch, 1855",,,,,genus,,B163:24,accepted,,,,,,,,,,,Drepanosiphum,,,8NR3H,2078302
B163:24:2,Drepanosiphum aceris Koch,Koch,Drepanosiphum,,aceris,,species,,B163:24,accepted,,,B163:24:1,"Drepanosiphum C. L. Koch, 1855",,,,,,,Drepanosiphum,,Drepanosiphum,37MZF,2078313
B163:24:3,Drepanosiphum platanoidis (Schrank),(Schrank),Drepanosiphum,,platanoidis,,species,,B163:24,accepted,,,B163:24:1,"Drepanosiphum C. L. Koch, 1855",,,,,,,Drepanosiphum,,Drepanosiphum,37MZT,2078312
B163:24:4,Drepanosiphum acerinum (Walker),(Walker),Drepanosiphum,,acerinum,,species,,B163:24,accepted,,,B163:24:1,"Drepanosiphum C. L. Koch, 1855",,,,,,,Drepanosiphum,,Drepanosiphum,37MZD,2078315
B163:24:5,Drepanosiphum dixoni Hille,Hille,Drepanosiphum,,dixoni,,species,Ris Lambers,B163:24,accepted,,,B163:24:1,"Drepanosiphum C. L. Koch, 1855",,,,,,,Drepanosiphum,,Drepanosiphum,37MZK,2078308
