scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B2557:1:1,Agnocoris,,,,,,genus,,B2557:1,accepted,,,,,,,,,,,Agnocoris,,,Agnocoris,,629CM,2009317,629CM,2009317
B2557:1:2,Agnocoris rubicunda (Fallén),(Fallén),Agnocoris,,rubicunda,,species,,B2557:1,accepted,,,B2557:1:1,Agnocoris,,,,,,,Agnocoris,,Agnocoris,rubicunda (Fallén),,6657M,2009321,6657M,2009321
B2557:1:3,Agnocoris rossi Moore,Moore,Agnocoris,,rossi,,species,,B2557:1,accepted,,,B2557:1:1,Agnocoris,,,,,,,Agnocoris,,Agnocoris,rossi Moore,,664VM,2009320,664VM,2009320
B2557:1:4,Agnocoris utahensis Moore,Moore,Agnocoris,,utahensis,,species,,B2557:1,accepted,,,B2557:1:1,Agnocoris,,,,,,,Agnocoris,,Agnocoris,utahensis Moore,,65SVJ,2009319,65SVJ,2009319
B2557:1:5,Agnocoris reclairei,,Agnocoris,,reclairei,,species,,B2557:1,accepted,,,B2557:1:1,Agnocoris,,,,,,,Agnocoris,,Agnocoris,reclairei,,65T7M,4487514,65T7M,4487514
B2557:1:6,Agnocoris pulverulenta (Uhler),(Uhler),Agnocoris,,pulverulenta,,species,,B2557:1,accepted,,,B2557:1:1,Agnocoris,,,,,,,Agnocoris,,Agnocoris,pulverulenta (Uhler),,65SVM,2009318,65SVM,2009318
