scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B45:1:1,Atylotus,,,,,,genus,,B45:1,accepted,,,,,,,,,,,Atylotus,,,35HB,1494184
B45:1:2,Atylotus fulvus,,Atylotus,,fulvus,,species,,B45:1,accepted,,,B45:1:1,Atylotus,,,,,,,Atylotus,,Atylotus,JNNH,1494296
B45:1:3,Atylotus latistriatus,,Atylotus,,latistriatus,,species,,B45:1,accepted,,,B45:1:1,Atylotus,,,,,,,Atylotus,,Atylotus,JNP6,1494219
B45:1:4,Atylotus loewianus,,Atylotus,,loewianus,,species,,B45:1,accepted,,,B45:1:1,Atylotus,,,,,,,Atylotus,,Atylotus,5VY2C,1494247
B45:1:5,Atylotus plebeius,,Atylotus,,plebeius,,species,,B45:1,accepted,,,B45:1:1,Atylotus,,,,,,,Atylotus,,Atylotus,JNPZ,1494289
B45:1:6,Atylotus rusticus,,Atylotus,,rusticus,,species,,B45:1,accepted,,,B45:1:1,Atylotus,,,,,,,Atylotus,,Atylotus,67Y2C,1494276
B45:1:7,Atylotus sublunaticornis,,Atylotus,,sublunaticornis,,species,,B45:1,accepted,,,B45:1:1,Atylotus,,,,,,,Atylotus,,Atylotus,JNQJ,1494198
B45:1:8,Chrysops,,,,,,genus,,B45:1,accepted,,,,,,,,,,,Chrysops,,,3PLD,1497045
B45:1:9,Chrysops caecutiens,,Chrysops,,caecutiens,,species,,B45:1,accepted,,,B45:1:8,Chrysops,,,,,,,Chrysops,,Chrysops,8BHFW,1497483
B45:1:10,Chrysops coecutiens,,Chrysops,,coecutiens,,species,,B45:1,synonym,B45:1:9,Chrysops caecutiens,,,,,,,,,Chrysops,,Chrysops,,6098327
B45:1:11,Chrysops divaricatus,,Chrysops,,divaricatus,,species,,B45:1,accepted,,,B45:1:8,Chrysops,,,,,,,Chrysops,,Chrysops,8BHGP,1497153
B45:1:12,Chrysops relictus,,Chrysops,,relictus,,species,,B45:1,accepted,,,B45:1:8,Chrysops,,,,,,,Chrysops,,Chrysops,8BHJS,1497357
B45:1:13,Chrysops rufipes,,Chrysops,,rufipes,,species,,B45:1,accepted,,,B45:1:8,Chrysops,,,,,,,Chrysops,,Chrysops,8BHJV,1497460
B45:1:14,Chrysops sepulcralis,,Chrysops,,sepulcralis,,species,,B45:1,accepted,,,B45:1:8,Chrysops,,,,,,,Chrysops,,Chrysops,8BHK2,1497452
B45:1:15,Chrysops maurus,,Chrysops,,maurus,,species,,B45:1,synonym,B45:1:14,Chrysops sepulcralis,,,,,,,,,Chrysops,,Chrysops,889TP,1497453
B45:1:16,Chrysops viduatus,,Chrysops,,viduatus,,species,,B45:1,accepted,,,B45:1:8,Chrysops,,,,,,,Chrysops,,Chrysops,8BHKP,1497139
B45:1:17,Chrysops quadratus,,Chrysops,,quadratus,,species,,B45:1,synonym,B45:1:16,Chrysops viduatus,,,,,,,,,Chrysops,,Chrysops,889VN,1497143
B45:1:18,Chrysops pictus,,Chrysops,,pictus,,species,,B45:1,synonym,B45:1:16,Chrysops viduatus,,,,,,,,,Chrysops,,Chrysops,889VD,1497146
B45:1:19,Dasyrhamphis,,,,,,genus,,B45:1,accepted,,,,,,,,,,,Dasyrhamphis,,,424J,1496404
B45:1:20,Dasyrhamphis ater,,Dasyrhamphis,,ater,,species,,B45:1,accepted,,,B45:1:19,Dasyrhamphis,,,,,,,Dasyrhamphis,,Dasyrhamphis,349WV,1496415
B45:1:21,Haematopota,,,,,,genus,,B45:1,accepted,,,,,,,,,,,Haematopota,,,4SGQ,1495261
B45:1:22,Haematopota bigoti,,Haematopota,,bigoti,,species,,B45:1,accepted,,,B45:1:21,Haematopota,,,,,,,Haematopota,,Haematopota,3J8DX,1495634
B45:1:23,Haematopota crassicornis,,Haematopota,,crassicornis,,species,,B45:1,accepted,,,B45:1:21,Haematopota,,,,,,,Haematopota,,Haematopota,3J8FY,1495771
B45:1:24,Haematopota grandis,,Haematopota,,grandis,,species,,B45:1,accepted,,,B45:1:21,Haematopota,,,,,,,Haematopota,,Haematopota,6L8S2,1495615
B45:1:25,Haematopota italica,,Haematopota,,italica,,species,,B45:1,accepted,,,B45:1:21,Haematopota,,,,,,,Haematopota,,Haematopota,3J8LJ,1495317
B45:1:26,Haematopota pluvialis,,Haematopota,,pluvialis,,species,,B45:1,accepted,,,B45:1:21,Haematopota,,,,,,,Haematopota,,Haematopota,3J8S8,1495562
B45:1:27,Haematopota scutellata,,Haematopota,,scutellata,,species,,B45:1,accepted,,,B45:1:21,Haematopota,,,,,,,Haematopota,,Haematopota,3J8TZ,1495915
B45:1:28,Haematopota subcylindrica,,Haematopota,,subcylindrica,,species,,B45:1,accepted,,,B45:1:21,Haematopota,,,,,,,Haematopota,,Haematopota,6KWCN,1495328
B45:1:29,Heptatoma,,,,,,genus,,B45:1,accepted,,,,,,,,,,,Heptatoma,,,4VPW,1494979
B45:1:30,Heptatoma pellucens,,Heptatoma,,pellucens,,species,,B45:1,accepted,,,B45:1:29,Heptatoma,,,,,,,Heptatoma,,Heptatoma,3KX6B,5063319
B45:1:31,Hybomitra,,,,,,genus,,B45:1,accepted,,,,,,,,,,,Hybomitra,,,8MRCJ,1500153
B45:1:32,Hybomitra arpadi,,Hybomitra,,arpadi,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,3MY8Z,1500283
B45:1:33,Hybomitra auripila,,Hybomitra,,auripila,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,6MHZD,1500523
B45:1:34,Hybomitra aterrima subsp. auripila,,Hybomitra,,aterrima,auripila,subspecies,,B45:1,synonym,B45:1:33,Hybomitra auripila,,,,,,,,,Hybomitra,,Hybomitra,6MHZD,1500523
B45:1:35,Hybomitra bimaculata,,Hybomitra,,bimaculata,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,3MY9G,1500480
B45:1:36,Hybomitra bisignata,,Hybomitra,,bisignata,,species,,B45:1,synonym,B45:1:35,Hybomitra bimaculata,,,,,,,,,Hybomitra,,Hybomitra,,6098330
B45:1:52,Hybomitra solstitialis,,Hybomitra,,solstitialis,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,6MHQT,1500247
B45:1:38,Hybomitra confiformis,,Hybomitra,,confiformis,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,6MHYZ,1500231
B45:1:39,Hybomitra nitidifrons,,Hybomitra,,nitidifrons,,species,,B45:1,synonym,B45:1:38,Hybomitra confiformis,,,,,,,,,Hybomitra,,Hybomitra,3MYD5,1500221
B45:1:40,Hybomitra distinguenda,,Hybomitra,,distinguenda,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,6MHYQ,1500362
B45:1:41,Hybomitra expollicata,,Hybomitra,,expollicata,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,6MHYR,1500580
B45:1:42,Hybomitra kaurii,,Hybomitra,,kaurii,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,3MYBM,1500344
B45:1:43,Hybomitra lundbecki,,Hybomitra,,lundbecki,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,3MYC5,1500202
B45:1:44,Hybomitra lurida,,Hybomitra,,lurida,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,3MYC6,1500256
B45:1:45,Hybomitra micans,,Hybomitra,,micans,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,3MYCL,1500594
B45:1:46,Hybomitra montana,,Hybomitra,,montana,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,3MYCS,1500532
B45:1:47,Hybomitra morgani,,Hybomitra,,morgani,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,3MYCT,1500494
B45:1:48,Hybomitra montana subsp. morgani,,Hybomitra,,montana,morgani,subspecies,,B45:1,synonym,B45:1:47,Hybomitra morgani,,,,,,,,,Hybomitra,,Hybomitra,3MYCT,1500494
B45:1:50,Hybomitra muehlfeldi,,Hybomitra,,muehlfeldi,,species,,B45:1,synonym,B45:1:49,Hybomitra muehlfeldi,,,,,,,,,Hybomitra,,Hybomitra,3MYCV,1500456
B45:1:50,Hybomitra muehlfeldi,,Hybomitra,,muehlfeldi,,species,,B45:1,synonym,B45:1:49,Hybomitra muehlfeldi,,,,,,,,,Hybomitra,,Hybomitra,3MYCV,1500456
B45:1:51,Hybomitra pilosa,,Hybomitra,,pilosa,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,3MYDT,1500592
B45:1:52,Hybomitra solstitialis,,Hybomitra,,solstitialis,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,6MHQT,1500247
B45:1:53,Hybomitra ciureai,,Hybomitra,,ciureai,,species,,B45:1,synonym,B45:1:52,Hybomitra solstitialis,,,,,,,,,Hybomitra,,Hybomitra,6MHYX,1500237
B45:1:54,Hybomitra schineri,,Hybomitra,,schineri,,species,,B45:1,synonym,B45:1:52,Hybomitra solstitialis,,,,,,,,,Hybomitra,,Hybomitra,6MHPK,1500238
B45:1:55,Hybomitra tarandina,,Hybomitra,,tarandina,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,3MYFK,1500218
B45:1:56,Hybomitra tropica,,Hybomitra,,tropica,,species,,B45:1,accepted,,,B45:1:31,Hybomitra,,,,,,,Hybomitra,,Hybomitra,6MHR8,1500185
B45:1:57,Pangonius,,,,,,genus,,B45:1,accepted,,,,,,,,,,,Pangonius,,,87JP3,1494793
B45:1:58,Pangonius micans,,Pangonius,,micans,,species,,B45:1,accepted,,,B45:1:57,Pangonius,,,,,,,Pangonius,,Pangonius,8D627,1494815
B45:1:59,Philipomyia,,,,,,genus,,B45:1,accepted,,,,,,,,,,,Philipomyia,,,6NDY,1496791
B45:1:60,Philipomyia aprica,,Philipomyia,,aprica,,species,,B45:1,accepted,,,B45:1:59,Philipomyia,,,,,,,Philipomyia,,Philipomyia,8D9RQ,4516172
B45:1:61,Silvius,,,,,,genus,,B45:1,accepted,,,,,,,,,,,Silvius,,,87KM4,1500840
B45:1:62,Silvius alpinus,,Silvius,,alpinus,,species,,B45:1,accepted,,,B45:1:61,Silvius,,,,,,,Silvius,,Silvius,8DWYJ,1500842
B45:1:63,Tabanus,,,,,,genus,,B45:1,accepted,,,,,,,,,,,Tabanus,,,8NZQT,1444264
B45:1:64,Tabanus autumnalis,,Tabanus,,autumnalis,,species,,B45:1,accepted,,,B45:1:63,Tabanus,,,,,,,Tabanus,,Tabanus,547H8,1499769
B45:1:65,Tabanus bovinus,,Tabanus,,bovinus,,species,,B45:1,accepted,,,B45:1:63,Tabanus,,,,,,,Tabanus,,Tabanus,547KT,1499136
B45:1:66,Tabanus bromius,,Tabanus,,bromius,,species,,B45:1,accepted,,,B45:1:63,Tabanus,,,,,,,Tabanus,,Tabanus,547LF,11219325
B45:1:67,Tabanus cordiger,,Tabanus,,cordiger,,species,,B45:1,accepted,,,B45:1:63,Tabanus,,,,,,,Tabanus,,Tabanus,8F9LS,11227208
B45:1:68,Tabanus eggeri,,Tabanus,,eggeri,,species,,B45:1,accepted,,,B45:1:63,Tabanus,,,,,,,Tabanus,,Tabanus,547V8,1499018
B45:1:69,Tabanus glaucopis,,Tabanus,,glaucopis,,species,,B45:1,accepted,,,B45:1:63,Tabanus,,,,,,,Tabanus,,Tabanus,5483F,1498801
B45:1:70,Tabanus maculicornis,,Tabanus,,maculicornis,,species,,B45:1,accepted,,,B45:1:63,Tabanus,,,,,,,Tabanus,,Tabanus,7BD6R,1499802
