scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B229:8:1,Culicinae,,,,,,subfamily,,B229:8,accepted,,,,,,,,,,Culicinae,,,,CULICINAE,,87CGC,,87CGC,
B229:8:2,Anophelini,,,,,,tribe,,B229:8,accepted,,,B229:8:1,Culicinae,,,,,,Culicinae,,,Culicinae,ANOPHELINI,,,,,
B229:8:3,Anopheles,,,,,,genus,,B229:8,accepted,,,B229:8:2,Anophelini,,,,,,Culicinae,Anopheles,,Culicinae | Anophelini,Anopheles,,BXWM4,1650098,BXWM4,1650098
B229:8:4,Anopheles,,Anopheles,,,,subgenus,,B229:8,accepted,,,B229:8:3,Anopheles,,,,,,Culicinae,Anopheles,Anopheles,Culicinae | Anophelini | Anopheles,Anopheles,,BXWM4,,BXWM4,
B229:8:5,Anopheles algeriensis Theobald,Theobald,Anopheles,Anopheles,algeriensis,,species,,B229:8,accepted,,,B229:8:4,Anopheles,,,,,,Culicinae,Anopheles,Anopheles,Culicinae | Anophelini | Anopheles | Anopheles,algeriensis Theobald,,89YZT,1650824,89YZT,1650824
B229:8:6,Anopheles claviger Meigen,Meigen,Anopheles,Anopheles,claviger,,species,,B229:8,accepted,,,B229:8:4,Anopheles,,,,,,Culicinae,Anopheles,Anopheles,Culicinae | Anophelini | Anopheles | Anopheles,claviger Meigen,,89Z2Z,1650857,89Z2Z,1650857
B229:8:7,Anopheles plumbeus Stephens,Stephens,Anopheles,Anopheles,plumbeus,,species,,B229:8,accepted,,,B229:8:4,Anopheles,,,,,,Culicinae,Anopheles,Anopheles,Culicinae | Anophelini | Anopheles | Anopheles,plumbeus Stephens,,89Z64,1650313,89Z64,1650313
B229:8:8,Anopheles maculipennis,,Anopheles,Anopheles,,,complex,,B229:8,accepted,,,B229:8:4,Anopheles,,,,,,Culicinae,Anopheles,Anopheles,Culicinae | Anophelini | Anopheles | Anopheles,maculipennis,,89Z4W,,89Z4W,
B229:8:53,Anopheles messeae Falleroni,Falleroni,Anopheles,Anopheles,messeae,,species,,B229:8,accepted,,,B229:8:8,Anopheles maculipennis,,,,,,Culicinae,Anopheles,Anopheles,Culicinae | Anophelini | Anopheles | Anopheles | Anopheles maculipennis,messeae Falleroni,"{""identifiable"":false}",87S32,1650482,87S32,1650482
B229:8:54,Anopheles maculipennis var. messeae,,Anopheles,Anopheles,maculipennis,messeae,variety,,B229:8,synonym,B229:8:53,Anopheles messeae Falleroni,,,,,,,,Culicinae,Anopheles,Anopheles,Culicinae | Anophelini | Anopheles | Anopheles | Anopheles maculipennis,maculipennis var. messeae,,,,,
B229:8:55,Anopheles labranchiae,,Anopheles,Anopheles,labranchiae,,species,,B229:8,accepted,,,B229:8:8,Anopheles maculipennis,,,,,,Culicinae,Anopheles,Anopheles,Culicinae | Anophelini | Anopheles | Anopheles | Anopheles maculipennis,labranchiae,"{""identifiable"":false}",87RZC,1650739,87RZC,1650739
