scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B2921:1:1,Opisthotaenia,,,,,,genus,,B2921:1,accepted,,,,,,,,,,,Opisthotaenia,,,Opisthotaenia,,696S,4488451,696S,4488451
B2921:1:2,"Opisthotaenia fulvipes Reuter, 1901","Reuter, 1901",Opisthotaenia,,fulvipes,,species,,B2921:1,accepted,,,B2921:1:1,Opisthotaenia,,,,,,,Opisthotaenia,,Opisthotaenia,"fulvipes REUTER, 1901",,74QWS,4488454,74QWS,4488454
B2921:1:3,Opisthotaenia glauca,,Opisthotaenia,,glauca,,species,n. sp.,B2921:1,accepted,,,B2921:1:1,Opisthotaenia,,,,,,,Opisthotaenia,,Opisthotaenia,glauca n. sp.,,74QX4,8325483,74QX4,8325483
B2921:1:4,"Opisthotaenia striata (E. Wagn., 1965)","(E. Wagn., 1965)",Opisthotaenia,,striata,,species,comb. nov.,B2921:1,accepted,,,B2921:1:1,Opisthotaenia,,,,,,,Opisthotaenia,,Opisthotaenia,"striata (E. WAGN., 1965) comb. nov.",,74R8S,4488452,74R8S,4488452
B2921:1:5,"Atractotomus striatus E. Wagn., 1965","E. Wagn., 1965",Atractotomus,,striatus,,species,,B2921:1,synonym,B2921:1:4,"Opisthotaenia striata (E. Wagn., 1965)",,,,,,,,,Opisthotaenia,,Opisthotaenia,"Atractotomus striatus E. WAGN., 1965",,67WC4,8048520,74R8S,4488452
B2921:1:6,"Ribesophylus striatus (E. Wagn., 1966) E. Wagn.,","(E. Wagn., 1966) E. Wagn.,",Ribesophylus,,striatus,,species,1966,B2921:1,synonym,B2921:1:4,"Opisthotaenia striata (E. Wagn., 1965)",,,,,,,,,Opisthotaenia,,Opisthotaenia,"Ribesophylus striatus (E. WAGN., 1966) E. WAGN., 1966",,78VDH,7960845,74R8S,4488452
