scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B1512:1:1,Callianassa subterranea,,Callianassa,,subterranea,,species,,B1512:1,accepted,,,,,,,,,,,Callianassa,,,Callianassa subterranea,,5178380,,5178380
B1512:1:2,Calocarides coronatus,,Calocarides,,coronatus,,species,,B1512:1,accepted,,,,,,,,,,,Calocarides,,,Calocarides coronatus,,2221920,,2221920
B1512:1:3,Calocaris macandreae,,Calocaris,,macandreae,,species,,B1512:1,accepted,,,,,,,,,,,Calocaris,,,Calocaris macandreae,,2221879,,2221879
