scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B6:1:1,"Sphecodes albilabris (Fabricius, 1793)","(Fabricius, 1793)",Sphecodes,,albilabris,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXXR,1351582,6YXXR,1351582
B6:1:2,"Sphecodes alternatus Smith, 1853","Smith, 1853",Sphecodes,,alternatus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9Y3,1351548,6Z9Y3,1351548
B6:1:3,"Sphecodes crassanus Warncke, 1992","Warncke, 1992",Sphecodes,,crassanus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXZV,1351435,6YXZV,1351435
B6:1:4,"Sphecodes crassus Thomson, 1870","Thomson, 1870",Sphecodes,,crassus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9ZY,1351387,6Z9ZY,1351387
B6:1:5,"Sphecodes cristatus Hagens, 1882","Hagens, 1882",Sphecodes,,cristatus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXLY,1351338,6YXLY,1351338
B6:1:6,"Sphecodes croaticus Meyer, 1922","Meyer, 1922",Sphecodes,,croaticus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9LY,1351326,6Z9LY,1351326
B6:1:7,"Sphecodes dusmeti Blüthgen, 1924","Blüthgen, 1924",Sphecodes,,dusmeti,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9M9,1351495,6Z9M9,1351495
B6:1:8,"Sphecodes ephippius (Linnaeus, 1767)","(Linnaeus, 1767)",Sphecodes,,ephippius,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9MB,1351470,6Z9MB,1351470
B6:1:9,"Sphecodes ferruginatus Hagens, 1882","Hagens, 1882",Sphecodes,,ferruginatus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXMD,1351360,6YXMD,1351360
B6:1:10,"Sphecodes geoffrellus (Kirby, 1802)","(Kirby, 1802)",Sphecodes,,geoffrellus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9MM,5042560,6Z9MM,5042560
B6:1:11,"Sphecodes gibbus (Linnaeus, 1758)","(Linnaeus, 1758)",Sphecodes,,gibbus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXMR,1351491,6YXMR,1351491
B6:1:12,"Sphecodes hyalinatus Hagens, 1882","Hagens, 1882",Sphecodes,,hyalinatus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXN7,1351574,6YXN7,1351574
B6:1:13,"Sphecodes intermedius Blüthgen, 1923","Blüthgen, 1923",Sphecodes,,intermedius,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9N8,1351463,6Z9N8,1351463
B6:1:14,"Sphecodes longulus Hagens, 1882","Hagens, 1882",Sphecodes,,longulus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9LD,1351335,6Z9LD,1351335
B6:1:15,"Sphecodes majalis Pérez, 1903","Pérez, 1903",Sphecodes,,majalis,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9LH,1351577,6Z9LH,1351577
B6:1:16,"Sphecodes marginatus Hagens, 1882","Hagens, 1882",Sphecodes,,marginatus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXLL,1351467,6YXLL,1351467
B6:1:17,"Sphecodes miniatus Hagens, 1882","Hagens, 1882",Sphecodes,,miniatus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9M3,1351330,6Z9M3,1351330
B6:1:18,"Sphecodes monilicornis (Kirby, 1802)","(Kirby, 1802)",Sphecodes,,monilicornis,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9LP,1351304,6Z9LP,1351304
B6:1:19,"Sphecodes niger Hagens, 1874","Hagens, 1874",Sphecodes,,niger,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXM4,1351513,6YXM4,1351513
B6:1:20,"Sphecodes nomioidis Pesenko, 1979","Pesenko, 1979",Sphecodes,,nomioidis,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9NZ,5042435,6Z9NZ,5042435
B6:1:21,"Sphecodes olivieri Lepeletier, 1825","Lepeletier, 1825",Sphecodes,,olivieri,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXP6,1351287,6YXP6,1351287
B6:1:22,"Sphecodes pellucidus Smith, 1845","Smith, 1845",Sphecodes,,pellucidus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9P8,1351446,6Z9P8,1351446
B6:1:23,"Sphecodes pinguiculus Pérez, 1903","Pérez, 1903",Sphecodes,,pinguiculus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9MY,1351310,6Z9MY,1351310
B6:1:24,"Sphecodes pseudofasciatus Blüthgen, 1925","Blüthgen, 1925",Sphecodes,,pseudofasciatus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXNG,1351518,6YXNG,1351518
B6:1:25,"Sphecodes puncticeps Thomson, 1870","Thomson, 1870",Sphecodes,,puncticeps,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9NH,1351481,6Z9NH,1351481
B6:1:26,"Sphecodes reticulatus Thomson, 1870","Thomson, 1870",Sphecodes,,reticulatus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9NP,1351332,6Z9NP,1351332
B6:1:27,"Sphecodes rubicundus Hagens, 1875","Hagens, 1875",Sphecodes,,rubicundus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXNS,1351576,6YXNS,1351576
B6:1:28,"Sphecodes ruficrus (Erichson, 1835)","(Erichson, 1835)",Sphecodes,,ruficrus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9NT,1351540,6Z9NT,1351540
B6:1:29,"Sphecodes rufiventris (Panzer, 1798)","(Panzer, 1798)",Sphecodes,,rufiventris,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXNR,1351503,6YXNR,1351503
B6:1:30,"Sphecodes scabricollis Wesmael, 1835","Wesmael, 1835",Sphecodes,,scabricollis,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9NV,1351392,6Z9NV,1351392
B6:1:31,"Sphecodes schenckii Hagens, 1882","Hagens, 1882",Sphecodes,,schenckii,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXQB,5042448,6YXQB,5042448
B6:1:32,"Sphecodes spinulosus Hagens, 1875","Hagens, 1875",Sphecodes,,spinulosus,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6Z9QJ,1351462,6Z9QJ,1351462
B6:1:33,"Sphecodes zangherii Noskiewicz, 1931","Noskiewicz, 1931",Sphecodes,,zangherii,,species,,B6:1,accepted,,,,,,,,,,,Sphecodes,,,6YXQQ,1351334,6YXQQ,1351334
