scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B487:4:1,Formicidae,,,,,,family,,B487:4,accepted,,,,,,,,,Formicidae,,,,,Formicidae,CLRKP,4342,CLRKP,4342
B487:4:2,Formica,,,,,,genus,,B487:4,accepted,,,B487:4:1,Formicidae,,,,,Formicidae,,Formica,,Formicidae,Formica,4KS4,12339359,4KS4,12339359
B487:4:3,Formica sanguinea,,Formica,,sanguinea,,species,,B487:4,accepted,,,B487:4:2,Formica,,,,,Formicidae,,Formica,,Formicidae | Formica,sanguinea,6JGLJ,1315006,6JGLJ,1315006
B487:4:4,Formica exsecta,,Formica,,exsecta,,species,,B487:4,accepted,,,B487:4:2,Formica,,,,,Formicidae,,Formica,,Formicidae | Formica,exsecta,6JGVM,1315050,6JGVM,1315050
B487:4:5,Formica rufa,,Formica,,rufa,,species,,B487:4,accepted,,,B487:4:2,Formica,,,,,Formicidae,,Formica,,Formicidae | Formica,rufa,6JGM9,1315132,6JGM9,1315132
B487:4:6,Formica aquilonia,,Formica,,aquilonia,,species,,B487:4,accepted,,,B487:4:2,Formica,,,,,Formicidae,,Formica,,Formicidae | Formica,aquilonia,6JH6X,1314841,6JH6X,1314841
B487:4:7,Formica lugubris,,Formica,,lugubris,,species,,B487:4,accepted,,,B487:4:2,Formica,,,,,Formicidae,,Formica,,Formicidae | Formica,lugubris,6JGHS,1314847,6JGHS,1314847
B487:4:8,Formica fusca,,Formica,,fusca,,species,,B487:4,accepted,,,B487:4:2,Formica,,,,,Formicidae,,Formica,,Formicidae | Formica,fusca,6JH7P,1314881,6JH7P,1314881
B487:4:9,Formica lemani,,Formica,,lemani,,species,,B487:4,accepted,,,B487:4:2,Formica,,,,,Formicidae,,Formica,,Formicidae | Formica,lemani,6JGFX,1314960,6JGFX,1314960
B487:4:10,Lasius,,,,,,genus,,B487:4,accepted,,,B487:4:1,Formicidae,,,,,Formicidae,,Lasius,,Formicidae,Lasius,5B7S,1325751,5B7S,1325751
B487:4:11,Lasius fuliginosus,,Lasius,,fuliginosus,,species,,B487:4,accepted,,,B487:4:10,Lasius,,,,,Formicidae,,Lasius,,Formicidae | Lasius,fuliginosus,3SGWX,5035850,3SGWX,5035850
B487:4:12,Lasius flavus,,Lasius,,flavus,,species,,B487:4,accepted,,,B487:4:10,Lasius,,,,,Formicidae,,Lasius,,Formicidae | Lasius,flavus,3SGWW,5035857,3SGWW,5035857
B487:4:13,Lasius niger,,Lasius,,niger,,species,,B487:4,accepted,,,B487:4:10,Lasius,,,,,Formicidae,,Lasius,,Formicidae | Lasius,niger,3SGXX,5035785,3SGXX,5035785
B487:4:14,Tapinoma,,,,,,genus,,B487:4,accepted,,,B487:4:1,Formicidae,,,,,Formicidae,,Tapinoma,,Formicidae,Tapinoma,7SPC,1316784,7SPC,1316784
B487:4:15,Tapinoma erraticum,,Tapinoma,,erraticum,,species,,B487:4,accepted,,,B487:4:14,Tapinoma,,,,,Formicidae,,Tapinoma,,Formicidae | Tapinoma,erraticum,7BJPJ,1316800,7BJPJ,1316800
B487:4:16,Formicoxenus,,,,,,genus,,B487:4,accepted,,,B487:4:1,Formicidae,,,,,Formicidae,,Formicoxenus,,Formicidae,Formicoxenus,4KSR,1317460,4KSR,1317460
B487:4:17,Formicoxenus nitidulus,,Formicoxenus,,nitidulus,,species,,B487:4,accepted,,,B487:4:16,Formicoxenus,,,,,Formicidae,,Formicoxenus,,Formicidae | Formicoxenus,nitidulus,6JHKL,1317464,6JHKL,1317464
B487:4:18,Tetramorium,,,,,,genus,,B487:4,accepted,,,B487:4:1,Formicidae,,,,,Formicidae,,Tetramorium,,Formicidae,Tetramorium,63V54,1323128,63V54,1323128
B487:4:19,Tetramorium caespitum,,Tetramorium,,caespitum,,species,,B487:4,accepted,,,B487:4:18,Tetramorium,,,,,Formicidae,,Tetramorium,,Formicidae | Tetramorium,caespitum,55PJV,1323381,55PJV,1323381
B487:4:20,Myrmica,,,,,,genus,,B487:4,accepted,,,B487:4:1,Formicidae,,,,,Formicidae,,Myrmica,,Formicidae,Myrmica,5WP9,1318775,5WP9,1318775
B487:4:21,Leptothorax,,,,,,genus,,B487:4,accepted,,,B487:4:1,Formicidae,,,,,Formicidae,,Leptothorax,,Formicidae,Leptothorax,5DFZ,1323767,5DFZ,1323767
