scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B1735:1:1,"Chloromyia formosa (Scopoli, 1763)","(Scopoli, 1763)",Chloromyia,,formosa,,species,,B1735:1,accepted,,,,,,,,,,,Chloromyia,,,"Chloromyia formosa (Scopoli, 1763)",5Y9X9,1576923,5Y9X9,1576923
B1735:1:2,"Chorisops caroli Troiano, 1995","Troiano, 1995",Chorisops,,caroli,,species,,B1735:1,accepted,,,,,,,,,,,Chorisops,,,"Chorisops caroli Troiano, 1995",5YDFT,1578204,5YDFT,1578204
B1735:1:3,"Chorisops masoni Troiano & Toscano, 1995","Troiano & Toscano, 1995",Chorisops,,masoni,,species,,B1735:1,accepted,,,,,,,,,,,Chorisops,,,"Chorisops masoni Troiano & Toscano, 1995",5YDFP,1578213,5YDFP,1578213
B1735:1:4,"Chorisops tibialis (Meigen, 1820)","(Meigen, 1820)",Chorisops,,tibialis,,species,,B1735:1,accepted,,,,,,,,,,,Chorisops,,,"Chorisops tibialis (Meigen, 1820)",5YDGX,1578205,5YDGX,1578205
B1735:1:5,"Chorisops tunisiae (Becker, 1915)","(Becker, 1915)",Chorisops,,tunisiae,,species,,B1735:1,accepted,,,,,,,,,,,Chorisops,,,"Chorisops tunisiae (Becker, 1915)",5YDH9,1578214,5YDH9,1578214
B1735:1:6,"Hermetia illucens (Linnaeus, 1758)","(Linnaeus, 1758)",Hermetia,,illucens,,species,,B1735:1,accepted,,,,,,,,,,,Hermetia,,,"Hermetia illucens (Linnaeus, 1758)",3KZZM,1577153,3KZZM,1577153
B1735:1:7,"Lasiopa pseudovillosa Rozkošný, 1983","Rozkošný, 1983",Lasiopa,,pseudovillosa,,species,,B1735:1,accepted,,,,,,,,,,,Lasiopa,,,"Lasiopa pseudovillosa Rozkošný, 1983",6P3FJ,1580524,6P3FJ,1580524
B1735:1:8,"Microchrysa polita (Linnaeus, 1758)","(Linnaeus, 1758)",Microchrysa,,polita,,species,,B1735:1,accepted,,,,,,,,,,,Microchrysa,,,"Microchrysa polita (Linnaeus, 1758)",42TDG,1578600,42TDG,1578600
B1735:1:9,"Nemotelus anchora Loew, 1846","Loew, 1846",Nemotelus,,anchora,,species,,B1735:1,accepted,,,,,,,,,,,Nemotelus,,,"Nemotelus anchora Loew, 1846",88RBZ,1578822,88RBZ,1578822
B1735:1:10,"Nemotelus lasiops Loew, 1846","Loew, 1846",Nemotelus,,lasiops,,species,,B1735:1,accepted,,,,,,,,,,,Nemotelus,,,"Nemotelus lasiops Loew, 1846",88RF2,1578719,88RF2,1578719
B1735:1:11,"Nemotelus nigrifrons Loew, 1846","Loew, 1846",Nemotelus,,nigrifrons,,species,,B1735:1,accepted,,,,,,,,,,,Nemotelus,,,"Nemotelus nigrifrons Loew, 1846",88RFM,1578761,88RFM,1578761
B1735:1:12,"Nemotelus niloticus Olivier, 1811","Olivier, 1811",Nemotelus,,niloticus,,species,,B1735:1,accepted,,,,,,,,,,,Nemotelus,,,"Nemotelus niloticus Olivier, 1811",92TZH,1578794,92TZH,1578794
B1735:1:13,"Nemotelus notatus Zetterstedt, 1842","Zetterstedt, 1842",Nemotelus,,notatus,,species,,B1735:1,accepted,,,,,,,,,,,Nemotelus,,,"Nemotelus notatus Zetterstedt, 1842",89JRZ,1578742,89JRZ,1578742
B1735:1:14,"Nemotelus brachystomus Loew, 1846","Loew, 1846",Nemotelus,,brachystomus,,species,syn. nov.,B1735:1,synonym,B1735:1:13,"Nemotelus notatus Zetterstedt, 1842",,,,,,,,,Nemotelus,,,"Nemotelus brachystomus Loew, 1846 syn. nov.",89JNZ,12156948,469DB,1578742
B1735:1:15,"Nemotelus leuchorynchus Costa, 1884","Costa, 1884",Nemotelus,,leuchorynchus,,species,syn. nov.,B1735:1,synonym,B1735:1:13,"Nemotelus notatus Zetterstedt, 1842",,,,,,,,,Nemotelus,,,"Nemotelus leuchorynchus Costa, 1884 syn. nov.",,,,
B1735:1:16,"Nemotelus pantherinus (Linnaeus, 1758)","(Linnaeus, 1758)",Nemotelus,,pantherinus,,species,,B1735:1,accepted,,,,,,,,,,,Nemotelus,,,"Nemotelus pantherinus (Linnaeus, 1758)",8V6JP,1578878,8V6JP,1578878
B1735:1:17,"Nemotelus pullus Loew, 1871","Loew, 1871",Nemotelus,,pullus,,species,,B1735:1,accepted,,,,,,,,,,,Nemotelus,,,"Nemotelus pullus Loew, 1871",88RG5,1578689,88RG5,1578689
B1735:1:18,"Nemotelus uliginosus (Linnaeus, 1767)","(Linnaeus, 1767)",Nemotelus,,uliginosus,,species,,B1735:1,accepted,,,,,,,,,,,Nemotelus,,,"Nemotelus uliginosus (Linnaeus, 1767)",88RGS,1578777,88RGS,1578777
B1735:1:19,"Odontomyia angulata (Panzer, 1798)","(Panzer, 1798)",Odontomyia,,angulata,,species,,B1735:1,accepted,,,,,,,,,,,Odontomyia,,,"Odontomyia angulata (Panzer, 1798)",48QHR,1581104,48QHR,1581104
B1735:1:20,"Odontomyia annulata (Meigen, 1822)","(Meigen, 1822)",Odontomyia,,annulata,,species,,B1735:1,accepted,,,,,,,,,,,Odontomyia,,,"Odontomyia annulata (Meigen, 1822)",92V9K,1581081,92V9K,1581081
B1735:1:21,"Odontomyia discolor Loew, 1846","Loew, 1846",Odontomyia,,discolor,,species,,B1735:1,accepted,,,,,,,,,,,Odontomyia,,,"Odontomyia discolor Loew, 1846",48QL8,1580942,48QL8,1580942
B1735:1:22,"Odontomyia ornata (Meigen, 1822)","(Meigen, 1822)",Odontomyia,,ornata,,species,,B1735:1,accepted,,,,,,,,,,,Odontomyia,,,"Odontomyia ornata (Meigen, 1822)",6SH6V,8085145,6SH6V,8085145
B1735:1:23,"Oplodontha viridula (Fabricius, 1775)","(Fabricius, 1775)",Oplodontha,,viridula,,species,,B1735:1,accepted,,,,,,,,,,,Oplodontha,,,"Oplodontha viridula (Fabricius, 1775)",753RM,1577359,753RM,1577359
B1735:1:24,"Oxycera nigricornis Olivier, 1811","Olivier, 1811",Oxycera,,nigricornis,,species,,B1735:1,accepted,,,,,,,,,,,Oxycera,,,"Oxycera nigricornis Olivier, 1811",4BDFX,1578078,4BDFX,1578078
B1735:1:25,"Oxycera rara (Scopoli, 1763)","(Scopoli, 1763)",Oxycera,,rara,,species,,B1735:1,accepted,,,,,,,,,,,Oxycera,,,"Oxycera rara (Scopoli, 1763)",4BDGK,1578093,4BDGK,1578093
B1735:1:26,"Oxycera trilineata (Linnaeus, 1767)","(Linnaeus, 1767)",Oxycera,,trilineata,,species,,B1735:1,accepted,,,,,,,,,,,Oxycera,,,"Oxycera trilineata (Linnaeus, 1767)",8TMWP,1578061,8TMWP,1578061
B1735:1:27,"Pachygaster leachii Curtis, 1824","Curtis, 1824",Pachygaster,,leachii,,species,,B1735:1,accepted,,,,,,,,,,,Pachygaster,,,"Pachygaster leachii Curtis, 1824",853VK,1579202,853VK,1579202
B1735:1:28,"Pachygaster leachii subsp. leachii Curtis, 1824","Curtis, 1824",Pachygaster,,leachii,leachii,subspecies,,B1735:1,accepted,,,B1735:1:27,"Pachygaster leachii Curtis, 1824",,,,,,,Pachygaster,,Pachygaster leachii,"Pachygaster leachii leachii Curtis, 1824",,,,
B1735:1:29,Sargus bipunctatus,,Sargus,,bipunctatus,,species,"(Scopoli, 1763)SARDINIA",B1735:1,accepted,,,,,,,,,,,Sargus,,,"Sargus bipunctatus (Scopoli, 1763)SARDINIA",79MQB,8306271,79MQB,8306271
B1735:1:30,"Sargus iridatus (Scopoli, 1763)","(Scopoli, 1763)",Sargus,,iridatus,,species,,B1735:1,accepted,,,,,,,,,,,Sargus,,,"Sargus iridatus (Scopoli, 1763)",79NSQ,5078347,79NSQ,5078347
B1735:1:31,"Stratiomys chamaeleon (Linnaeus, 1758)","(Linnaeus, 1758)",Stratiomys,,chamaeleon,,species,,B1735:1,accepted,,,,,,,,,,,Stratiomys,,,"Stratiomys chamaeleon (Linnaeus, 1758)",6ZXSG,1577596,6ZXSG,1577596
B1735:1:32,"Stratiomys longicornis (Scopoli, 1763)","(Scopoli, 1763)",Stratiomys,,longicornis,,species,,B1735:1,accepted,,,,,,,,,,,Stratiomys,,,"Stratiomys longicornis (Scopoli, 1763)",52WH4,1577660,52WH4,1577660
B1735:1:33,"Zabrachia tenella (Jaennicke, 1866)","(Jaennicke, 1866)",Zabrachia,,tenella,,species,,B1735:1,accepted,,,,,,,,,,,Zabrachia,,,"Zabrachia tenella (Jaennicke, 1866)",7GB6H,1579738,7GB6H,1579738
