scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B1:1:1,Nomada accentifera Pérez,Pérez,Nomada,,accentifera,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MVP,1343901
B1:1:2,Nomada agrestis Fabricius,Fabricius,Nomada,,agrestis,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MVY,1343822
B1:1:3,Nomada alboguttata Herrich-Schäffer,Herrich-Schäffer,Nomada,,alboguttata,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MW3,1343792
B1:1:4,"Nomada alpigena Schwarz, Gusenleitner & Mazzucco","Schwarz, Gusenleitner & Mazzucco",Nomada,,alpigena,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MW8,1343718
B1:1:5,Nomada argentata Herrich-Schäffer,Herrich-Schäffer,Nomada,,argentata,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MWR,1343598
B1:1:6,Nomada argentea (Schwarz),(Schwarz),Nomada,,argentea,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MWS,1343566
B1:1:7,Nomada ariasi Dusmet y Alonso,Dusmet y Alonso,Nomada,,ariasi,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MWT,1343551
B1:1:8,Nomada armata Herrich-Schäffer,Herrich-Schäffer,Nomada,,armata,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MWV,1343523
B1:1:9,Nomada arrogans Schmiedeknecht,Schmiedeknecht,Nomada,,arrogans,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MWX,1343505
B1:1:10,Nomada atroscutellaris Strand,Strand,Nomada,,atroscutellaris,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,6RYXS,1343400
B1:1:11,Nomada babiyi Schwarz & Standfuss,Schwarz & Standfuss,Nomada,,babiyi,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MXP,1343295
B1:1:12,Nomada baccata Smith,Smith,Nomada,,baccata,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MXQ,1343279
B1:1:13,Nomada barcelonensis Cockerell,Cockerell,Nomada,,barcelonensis,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MXW,1343988
B1:1:14,Nomada basalis Herrich-Schäffer,Herrich-Schäffer,Nomada,,basalis,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MXX,1343956
B1:1:15,Nomada beaumonti Schwarz,Schwarz,Nomada,,beaumonti,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MXY,1343940
B1:1:16,Nomada bifasciata Olivier,Olivier,Nomada,,bifasciata,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MY9,1343892
B1:1:17,Nomada bispinosa Mocsáry,Mocsáry,Nomada,,bispinosa,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MYG,1343829
B1:1:18,Nomada blepharipes Schmiedeknecht,Schmiedeknecht,Nomada,,blepharipes,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MYH,1343814
B1:1:19,Nomada bluethgeni Stoeckhert,Stoeckhert,Nomada,,bluethgeni,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MYJ,1343798
B1:1:20,Nomada bolivari Dusmet y Alonso,Dusmet y Alonso,Nomada,,bolivari,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MYL,1343773
B1:1:21,Nomada bouceki Kocourek,Kocourek,Nomada,,bouceki,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MYN,1343741
B1:1:22,Nomada braunsiana Schmiedeknecht,Schmiedeknecht,Nomada,,braunsiana,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MYP,1343728
B1:1:23,Nomada cadiza Schwarz & Gusenleitner,Schwarz & Gusenleitner,Nomada,,cadiza,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,,10678939
B1:1:24,Nomada calimorpha Schmiedeknecht,Schmiedeknecht,Nomada,,calimorpha,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MYV,1343661
B1:1:25,Nomada carnifex Mocsáry,Mocsáry,Nomada,,carnifex,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MZ3,1343623
B1:1:26,Nomada caspia Morawitz,Morawitz,Nomada,,caspia,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MZ5,1343573
B1:1:27,Nomada castellana Dusmet y Alonso,Dusmet y Alonso,Nomada,,castellana,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MZ6,1343557
B1:1:28,Nomada cherkesiana Mavromoustakis,Mavromoustakis,Nomada,,cherkesiana,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,6RYXR,1343482
B1:1:29,Nomada collarae Schwarz,Schwarz,Nomada,,collarae,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MZL,1343436
B1:1:30,Nomada concolor Schmiedeknecht,Schmiedeknecht,Nomada,,concolor,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,6RZ9R,1343378
B1:1:31,Nomada confinis Schmiedeknecht,Schmiedeknecht,Nomada,,confinis,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MZV,1343364
B1:1:32,Nomada conjungens Herrich-Schäffer,Herrich-Schäffer,Nomada,,conjungens,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MZX,1343331
B1:1:33,Nomada connectens Pérez,Pérez,Nomada,,connectens,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47MZY,1343318
B1:1:34,Nomada corcyraea Schmiedeknecht,Schmiedeknecht,Nomada,,corcyraea,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N24,1343275
B1:1:35,Nomada coronata Pérez,Pérez,Nomada,,coronata,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N28,1343231
B1:1:36,Nomada coxalis Morawitz,Morawitz,Nomada,,coxalis,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N2C,1343963
B1:1:37,Nomada cretensis Schulz,Schulz,Nomada,,cretensis,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,,10734734
B1:1:38,Nomada cristata Pérez,Pérez,Nomada,,cristata,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N2F,1343950
B1:1:39,Nomada cruenta Schmiedeknecht,Schmiedeknecht,Nomada,,cruenta,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N2K,1343933
B1:1:40,Nomada cypria Mavromoustakis,Mavromoustakis,Nomada,,cypria,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,64QG,1343230
B1:1:41,Nomada cypricola Mavromoustakis,Mavromoustakis,Nomada,,cypricola,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N2S,1343884
B1:1:42,Nomada diacantha Schwarz,Schwarz,Nomada,,diacantha,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N35,1343852
B1:1:43,Nomada dira Schmiedeknecht,Schmiedeknecht,Nomada,,dira,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N38,1343837
B1:1:44,Nomada discedens Pérez,Pérez,Nomada,,discedens,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N39,1343793
B1:1:45,Nomada discrepans Schmiedeknecht,Schmiedeknecht,Nomada,,discrepans,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N3B,1343766
B1:1:46,Nomada distinguenda Morawitz,Morawitz,Nomada,,distinguenda,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,6RYY2,1343736
B1:1:47,Nomada dolosa Mocsáry,Mocsáry,Nomada,,dolosa,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N3H,1343703
B1:1:48,Nomada duplex Smith,Smith,Nomada,,duplex,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N3N,1343671
B1:1:49,Nomada emarginata Morawitz,Morawitz,Nomada,,emarginata,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N3Z,1343584
B1:1:50,Nomada eos Schmiedeknecht,Schmiedeknecht,Nomada,,eos,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N42,1343567
B1:1:51,Nomada errans Lepeletier,Lepeletier,Nomada,,errans,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N44,1343552
B1:1:52,Nomada erythrocephala Morawitz,Morawitz,Nomada,,erythrocephala,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N47,1343524
B1:1:53,Nomada fabriciana (Linnaeus),(Linnaeus),Nomada,,fabriciana,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N4F,1343441
B1:1:54,Nomada facilis Schwarz,Schwarz,Nomada,,facilis,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N4G,1343416
B1:1:55,Nomada fallax Pérez,Pérez,Nomada,,fallax,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N4H,1343401
B1:1:56,Nomada femoralis Morawitz,Morawitz,Nomada,,femoralis,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N4M,1343357
B1:1:57,Nomada fenestrata Lepeletier,Lepeletier,Nomada,,fenestrata,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N4N,1343338
B1:1:58,Nomada ferruginata (Linnaeus),(Linnaeus),Nomada,,ferruginata,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N4R,1343309
B1:1:59,Nomada flava Panzer,Panzer,Nomada,,flava,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N4W,1343896
B1:1:60,Nomada flavigenis Schwarz & Standfuss,Schwarz & Standfuss,Nomada,,flavigenis,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N52,1343266
B1:1:61,Nomada flavilabris Morawitz,Morawitz,Nomada,,flavilabris,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N53,1343239
B1:1:62,Nomada flavinervis Brullé,Brullé,Nomada,,flavinervis,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N54,1344019
B1:1:63,Nomada flavoguttata (Kirby),(Kirby),Nomada,,flavoguttata,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N55,1344004
B1:1:64,Nomada flavopicta (Kirby),(Kirby),Nomada,,flavopicta,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N56,1343989
B1:1:65,Nomada fucata Panzer,Panzer,Nomada,,fucata,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N5G,1343957
B1:1:66,Nomada fulvicornis Fabricius,Fabricius,Nomada,,fulvicornis,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N5J,1343909
B1:1:67,Nomada furva Panzer,Panzer,Nomada,,furva,,species,,B1:1,accepted,,,,,,,,,,,Nomada,,,47N5K,1343893
