scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B917:1:1,Chelostoma campanularum,,Chelostoma,,campanularum,,species,,B917:1,accepted,,,,,,,,,,,Chelostoma,,,Chelostoma campanularum,TWP2,1334499,TWP2,1334499
B917:1:2,Chelostoma distinctum,,Chelostoma,,distinctum,,species,,B917:1,accepted,,,,,,,,,,,Chelostoma,,,Chelostoma distinctum,TWPB,1334501,TWPB,1334501
B917:1:3,Chelostoma florisomne,,Chelostoma,,florisomne,,species,,B917:1,accepted,,,,,,,,,,,Chelostoma,,,Chelostoma florisomne,TWPF,1334527,TWPF,1334527
B917:1:4,Chelostoma rapunculi,,Chelostoma,,rapunculi,,species,,B917:1,accepted,,,,,,,,,,,Chelostoma,,,Chelostoma rapunculi,TWQC,1334493,TWQC,1334493
