scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B2096:2:1,Metrocoris Mayr,Mayr,,,,,genus,,B2096:2,accepted,,,,,,,,,,,Metrocoris,,,Metrocoris Mayr,,5R2Y,4773687,5R2Y,4773687
B2096:2:2,Halobatodes White,White,,,,,genus,,B2096:2,synonym,B2096:2:1,Metrocoris Mayr,,,,,,,,,Halobatodes,,,Halobatodes White,,635R3,4779570,5R2Y,4773687
B2096:2:3,Metrocoris lituratus (Stål),(Stål),Metrocoris,,lituratus,,species,,B2096:2,accepted,,,B2096:2:1,Metrocoris Mayr,,,,,,,Metrocoris,,Metrocoris,lituratus (Stål),,42JN9,8486920,42JN9,8486920
B2096:2:4,Metrocoris histrio (White),(White),Metrocoris,,histrio,,species,,B2096:2,accepted,,,B2096:2:1,Metrocoris Mayr,,,,,,,Metrocoris,,Metrocoris,histrio (White),,42JN2,9679651,42JN2,9679651
B2096:2:5,Metrocoris compar (White),(White),Metrocoris,,compar,,species,,B2096:2,accepted,,,B2096:2:1,Metrocoris Mayr,,,,,,,Metrocoris,,Metrocoris,compar (White),,42JMF,7395588,42JMF,7395588
B2096:2:6,Metrocoris brevis Mayr,Mayr,Metrocoris,,brevis,,species,,B2096:2,accepted,,,B2096:2:1,Metrocoris Mayr,,,,,,,Metrocoris,,Metrocoris,brevis Mayr,,42JM8,9668661,42JP6,9802520
B2096:2:7,Metrocoris stali Dohrn,Dohrn,Metrocoris,,stali,,species,,B2096:2,synonym,B2096:2:6,Metrocoris brevis Mayr,,,,,,,,,Metrocoris,,Metrocoris,ståli Dohrn,,42JP6,9802520,42JP6,9802520
