scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B1707:1:1,"Gerris Fabricius, 1794","Fabricius, 1794",,,,,genus,,B1707:1,accepted,,,,,,,,,,,Gerris,,,"Gerris Fabricius, 1794",,8NNWR,2008636,8NNWR,2008636
B1707:1:2,"Aquarius Schellenberg, 1800","Schellenberg, 1800",Gerris,,,,subgenus,,B1707:1,accepted,,,B1707:1:1,"Gerris Fabricius, 1794",,,,,,,Gerris,Aquarius,Gerris,"Aquarius Schellenberg, 1800",,ZH4,,ZH4,
B1707:1:3,"Gerris najas (De Geer, 1773)","(De Geer, 1773)",Gerris,Aquarius,najas,,species,,B1707:1,accepted,,,B1707:1:2,"Aquarius Schellenberg, 1800",,,,,,,Gerris,Aquarius,Gerris | Aquarius,"najas (De Geer, 1773)",,,11352941,,5866107
B1707:1:4,"Gerris paludum (Fabricius, 1794)","(Fabricius, 1794)",Gerris,Aquarius,paludum,,species,,B1707:1,accepted,,,B1707:1:2,"Aquarius Schellenberg, 1800",,,,,,,Gerris,Aquarius,Gerris | Aquarius,"paludum (Fabricius, 1794)",,,5758651,,5866108
B1707:1:5,"Gerriselloides Hungerford & Matsuda, 1958","Hungerford & Matsuda, 1958",Gerris,,,,subgenus,,B1707:1,accepted,,,B1707:1:1,"Gerris Fabricius, 1794",,,,,,,Gerris,Gerriselloides,Gerris,"Gerriselloides Hungerford & Matsuda, 1958",,8NPVC,,8NPVC,
B1707:1:6,"Gerris lateralis (Schummel, 1832)","(Schummel, 1832)",Gerris,Gerriselloides,lateralis,,species,,B1707:1,accepted,,,B1707:1:5,"Gerriselloides Hungerford & Matsuda, 1958",,,,,,,Gerris,Gerriselloides,Gerris | Gerriselloides,"lateralis (Schummel, 1832)",,7V55B,5758665,7V55B,5758665
B1707:1:7,"Gerris Fabricius, 1794","Fabricius, 1794",Gerris,,,,subgenus,,B1707:1,accepted,,,B1707:1:1,"Gerris Fabricius, 1794",,,,,,,Gerris,Gerris,Gerris,"Gerris Fabricius, 1794",,8NNWR,,8NNWR,
B1707:1:8,"Gerris gibbifer Schummel, 1832","Schummel, 1832",Gerris,Gerris,gibbifer,,species,,B1707:1,accepted,,,B1707:1:7,"Gerris Fabricius, 1794",,,,,,,Gerris,Gerris,Gerris | Gerris,"gibbifer Schummel, 1832",,7V54H,5758659,7V54H,5758659
B1707:1:9,"Gerris lacustris (Linné, 1758)","(Linné, 1758)",Gerris,Gerris,lacustris,,species,,B1707:1,accepted,,,B1707:1:7,"Gerris Fabricius, 1794",,,,,,,Gerris,Gerris,Gerris | Gerris,"lacustris (Linné, 1758)",,7V54Q,5154105,7V54Q,5154105
B1707:1:10,"Gerris costae Herrich-Schaeffer, 1853","Herrich-Schaeffer, 1853",Gerris,Gerris,costae,,species,,B1707:1,accepted,,,B1707:1:7,"Gerris Fabricius, 1794",,,,,,,Gerris,Gerris,Gerris | Gerris,"costae Herrich-Schaeffer, 1853",,7V54D,7695217,7V54D,7695217
B1707:1:11,"Gerris thoracicus Schummel, 1832","Schummel, 1832",Gerris,Gerris,thoracicus,,species,,B1707:1,accepted,,,B1707:1:7,"Gerris Fabricius, 1794",,,,,,,Gerris,Gerris,Gerris | Gerris,"thoracicus Schummel, 1832",,7V554,5758661,7V554,5758661
B1707:1:12,"Gerris argentatus Schummel, 1832","Schummel, 1832",Gerris,Gerris,argentatus,,species,,B1707:1,accepted,,,B1707:1:7,"Gerris Fabricius, 1794",,,,,,,Gerris,Gerris,Gerris | Gerris,"argentatus Schummel, 1832",,7V545,5758660,7V545,5758660
B1707:1:13,"Gerris odontogaster (Zetterstedt, 1828)","(Zetterstedt, 1828)",Gerris,Gerris,odontogaster,,species,,B1707:1,accepted,,,B1707:1:7,"Gerris Fabricius, 1794",,,,,,,Gerris,Gerris,Gerris | Gerris,"odontogaster (Zetterstedt, 1828)",,7V54X,5758658,7V54X,5758658
B1707:1:14,"Limnoporus Stål, 1868","Stål, 1868",,,,,genus,,B1707:1,accepted,,,,,,,,,,,Limnoporus,,,"Limnoporus Stål, 1868",,62YMD,2020446,62YMD,2020446
B1707:1:15,"Limnoporus rufoscutellatus (Latreille, 1807)","(Latreille, 1807)",Limnoporus,,rufoscutellatus,,species,,B1707:1,accepted,,,B1707:1:14,"Limnoporus Stål, 1868",,,,,,,Limnoporus,,Limnoporus,"rufoscutellatus (Latreille, 1807)",,6QCKK,2020450,6QCKK,2020450
