scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B938:1:1,Panorpa alpina,,Panorpa,,alpina,,species,,B938:1,accepted,,,,,,,,,,,Panorpa,,,4CGCF,5742537
B938:1:2,Panorpa cognata,,Panorpa,,cognata,,species,,B938:1,accepted,,,,,,,,,,,Panorpa,,,6TMBS,5742524
B938:1:3,Panorpa communis,,Panorpa,,communis,,species,,B938:1,accepted,,,,,,,,,,,Panorpa,,,6TMC4,5742495
B938:1:4,Panorpa germanica,,Panorpa,,germanica,,species,,B938:1,accepted,,,,,,,,,,,Panorpa,,,4CGFC,5742496
B938:1:5,Panorpa vulgaris,,Panorpa,,vulgaris,,species,,B938:1,accepted,,,,,,,,,,,Panorpa,,,4CGLR,5742531
