scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B83:1:1,Hybotidae,,,,,,family,,B83:1,accepted,,,,,,,,,Hybotidae,,,,,Hybotidae,BXWKV,9706,BXWKV,9706
B83:1:2,Tachydromiinae,,,,,,subfamily,,B83:1,accepted,,,B83:1:1,Hybotidae,,,,,Hybotidae,Tachydromiinae,,,Hybotidae,Tachydromiinae,B7X9R,,B7X9R,
B83:1:3,Symballophthalmus,,,,,,genus,,B83:1,accepted,,,B83:1:2,Tachydromiinae,,,,,Hybotidae,Tachydromiinae,Symballophthalmus,,Hybotidae | Tachydromiinae,"Symballopthalmus Becker, 1889",BYR6V,1459456,BYR6V,1459456
B83:1:4,"Platypalpus Macquart, 1827","Macquart, 1827",,,,,genus,,B83:1,accepted,,,B83:1:2,Tachydromiinae,,,,,Hybotidae,Tachydromiinae,Platypalpus,,Hybotidae | Tachydromiinae,"Platypalpus Macquart, 1827",BY3W7,1457232,BY3W7,1457232
B83:1:5,"Dysaletria Loew, 1864","Loew, 1864",,,,,genus,,B83:1,accepted,,,B83:1:2,Tachydromiinae,,,,,Hybotidae,Tachydromiinae,Dysaletria,,Hybotidae | Tachydromiinae,"Dysaletria Loew, 1864",BYC5F,1458268,BYC5F,1458268
B83:1:6,"Tachypeza Meigen, 1830","Meigen, 1830",,,,,genus,,B83:1,accepted,,,B83:1:2,Tachydromiinae,,,,,Hybotidae,Tachydromiinae,Tachypeza,,Hybotidae | Tachydromiinae,"Tachypeza Meigen, 1830",BYRB6,1457158,BYRB6,1457158
B83:1:7,"Tachydromia Meigen, 1803","Meigen, 1803",,,,,genus,,B83:1,accepted,,,B83:1:2,Tachydromiinae,,,,,Hybotidae,Tachydromiinae,Tachydromia,,Hybotidae | Tachydromiinae,"Tachydromia Meigen, 1803",BY4MJ,1459283,BY4MJ,1459283
B83:1:8,"Chersodromia Walker, 1849","Walker, 1849",,,,,genus,,B83:1,accepted,,,B83:1:2,Tachydromiinae,,,,,Hybotidae,Tachydromiinae,Chersodromia,,Hybotidae | Tachydromiinae,"Chersodromia Walker, 1849",BXZ7D,1459035,BXZ7D,1459035
B83:1:9,"Stilpon Loew, 1859","Loew, 1859",,,,,genus,,B83:1,accepted,,,B83:1:2,Tachydromiinae,,,,,Hybotidae,Tachydromiinae,Stilpon,,Hybotidae | Tachydromiinae,"Stilpon Loew, 1859",BYQXY,1459185,BYQXY,1459185
B83:1:10,"Crossopalpus Bigot, 1857","Bigot, 1857",,,,,genus,,B83:1,accepted,,,B83:1:2,Tachydromiinae,,,,,Hybotidae,Tachydromiinae,Crossopalpus,,Hybotidae | Tachydromiinae,"Crossopalpus Bigot, 1857",BYB7Q,1458061,BYB7Q,1458061
B83:1:11,"Elaphropeza Macquart, 1827","Macquart, 1827",,,,,genus,,B83:1,accepted,,,B83:1:2,Tachydromiinae,,,,,Hybotidae,Tachydromiinae,Elaphropeza,,Hybotidae | Tachydromiinae,"Elaphropeza Macquart, 1827",BXZRW,1458147,BXZRW,1458147
B83:1:12,"Drapetis Meigen, 1822","Meigen, 1822",,,,,genus,,B83:1,accepted,,,B83:1:2,Tachydromiinae,,,,,Hybotidae,Tachydromiinae,Drapetis,,Hybotidae | Tachydromiinae,"Drapetis Meigen, 1822",BYC2Z,1456907,BYC2Z,1456907
B83:1:13,Hybotinae,,,,,,subfamily,,B83:1,accepted,,,B83:1:1,Hybotidae,,,,,Hybotidae,Hybotinae,,,Hybotidae,Hybotinae,BXX3T,,BXX3T,
B83:1:14,Syneches,,,,,,genus,,B83:1,accepted,,,B83:1:13,Hybotinae,,,,,Hybotidae,Hybotinae,Syneches,,Hybotidae | Hybotinae,Syneches,BYR7T,12127588,BYR7T,12127588
B83:1:15,"Syneches muscarius (Fabricius, 1794)","(Fabricius, 1794)",Syneches,,muscarius,,species,,B83:1,accepted,,,B83:1:14,Syneches,,,,,Hybotidae,Hybotinae,Syneches,,Hybotidae | Hybotinae | Syneches,"Syneches muscarius (Fabricius, 1794)",53VQX,1458370,53VQX,1458370
B83:1:16,Syndyas,,,,,,genus,,B83:1,accepted,,,B83:1:13,Hybotinae,,,,,Hybotidae,Hybotinae,Syndyas,,Hybotidae | Hybotinae,Syndyas,BYR7R,1458966,BYR7R,1458966
B83:1:17,"Syndyas nigripes (Zetterstedt, 1842)","(Zetterstedt, 1842)",Syndyas,,nigripes,,species,,B83:1,accepted,,,B83:1:16,Syndyas,,,,,Hybotidae,Hybotinae,Syndyas,,Hybotidae | Hybotinae | Syndyas,"Syndyas nigripes (Zetterstedt, 1842)",53VLF,1458985,53VLF,1458985
B83:1:18,Hybos,,,,,,genus,,B83:1,accepted,,,B83:1:13,Hybotinae,,,,,Hybotidae,Hybotinae,Hybos,,Hybotidae | Hybotinae,Hybos,BY2DN,1458681,BY2DN,1458681
B83:1:19,"Hybos femoratus (Müller, 1776)","(Müller, 1776)",Hybos,,femoratus,,species,,B83:1,accepted,,,B83:1:18,Hybos,,,,,Hybotidae,Hybotinae,Hybos,,Hybotidae | Hybotinae | Hybos,"Hybos femoratus (Müller, 1776)",3MYLR,1458763,3MYLR,1458763
B83:1:20,"Hybos culiciformis (Fabricius, 1775)","(Fabricius, 1775)",Hybos,,culiciformis,,species,,B83:1,accepted,,,B83:1:18,Hybos,,,,,Hybotidae,Hybotinae,Hybos,,Hybotidae | Hybotinae | Hybos,"Hybos culiciformis (Fabricius, 1775)",3MYLG,1458776,3MYLG,1458776
B83:1:21,"Hybos grossipes (Linnaeus, 1767)","(Linnaeus, 1767)",Hybos,,grossipes,,species,,B83:1,accepted,,,B83:1:18,Hybos,,,,,Hybotidae,Hybotinae,Hybos,,Hybotidae | Hybotinae | Hybos,"Hybos grossipes (Linnaeus, 1767)",3MYM4,1458751,3MYM4,1458751
B83:1:22,Ocydromiinae,,,,,,subfamily,s.l.,B83:1,accepted,,,B83:1:1,Hybotidae,,,,,Hybotidae,Ocydromiinae,,,Hybotidae,Ocydromiinae s.l.,87CKP,,87CKP,
