scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B797:1:1,Chilopoda,,,,,,class,,B797:1,accepted,,,,,,,Chilopoda,,,,,,,93,360
B797:1:2,Geophilomorpha,,,,,,order,,B797:1,accepted,,,B797:1:1,Chilopoda,,,Chilopoda,Geophilomorpha,,,,,Chilopoda,39F,1251
B797:1:3,Dignathodontidae,,,,,,family,,B797:1,accepted,,,B797:1:2,Geophilomorpha,,,Chilopoda,Geophilomorpha,Dignathodontidae,,,,Chilopoda | Geophilomorpha,99R,4081
B797:1:4,Henia,,,,,,genus,,B797:1,accepted,,,B797:1:3,Dignathodontidae,,,Chilopoda,Geophilomorpha,Dignathodontidae,,Henia,,Chilopoda | Geophilomorpha | Dignathodontidae,4VJC,2233030
B797:1:5,"Henia vesuviana (Newport, 1845)","(Newport, 1845)",Henia,,vesuviana,,species,,B797:1,accepted,,,B797:1:4,Henia,,,Chilopoda,Geophilomorpha,Dignathodontidae,,Henia,,Chilopoda | Geophilomorpha | Dignathodontidae | Henia,6LQ5D,2233051
B797:1:6,Geophilidae,,,,,,family,,B797:1,accepted,,,B797:1:2,Geophilomorpha,,,Chilopoda,Geophilomorpha,Geophilidae,,,,Chilopoda | Geophilomorpha,623VL,4080
B797:1:7,Brachygeophilus,,,,,,genus,,B797:1,accepted,,,B797:1:6,Geophilidae,,,Chilopoda,Geophilomorpha,Geophilidae,,Brachygeophilus,,Chilopoda | Geophilomorpha | Geophilidae,3CCS,2233474
B797:1:8,"Brachygeophilus truncorum (Bergsöe & Meinert, 1886)","(Bergsöe & Meinert, 1886)",Brachygeophilus,,truncorum,,species,,B797:1,accepted,,,B797:1:7,Brachygeophilus,,,Chilopoda,Geophilomorpha,Geophilidae,,Brachygeophilus,,Chilopoda | Geophilomorpha | Geophilidae | Brachygeophilus,,8650005
B797:1:9,Clinopodes,,,,,,genus,,B797:1,accepted,,,B797:1:6,Geophilidae,,,Chilopoda,Geophilomorpha,Geophilidae,,Clinopodes,,Chilopoda | Geophilomorpha | Geophilidae,3R2B,2233132
B797:1:10,"Clinopodes linearis (C.L. Koch, 1835)","(C.L. Koch, 1835)",Clinopodes,,linearis,,species,,B797:1,accepted,,,B797:1:9,Clinopodes,,,Chilopoda,Geophilomorpha,Geophilidae,,Clinopodes,,Chilopoda | Geophilomorpha | Geophilidae | Clinopodes,,8188462
B797:1:11,Geophilus,,,,,,genus,,B797:1,accepted,,,B797:1:6,Geophilidae,,,Chilopoda,Geophilomorpha,Geophilidae,,Geophilus,,Chilopoda | Geophilomorpha | Geophilidae,4MZ6,2233014
B797:1:12,"Geophilus carpophagus Leach, 1814","Leach, 1814",Geophilus,,carpophagus,,species,,B797:1,accepted,,,B797:1:11,Geophilus,,,Chilopoda,Geophilomorpha,Geophilidae,,Geophilus,,Chilopoda | Geophilomorpha | Geophilidae | Geophilus,3FQZY,2233622
B797:1:13,"Geophilus electricus (Linnaeus, 1758)","(Linnaeus, 1758)",Geophilus,,electricus,,species,,B797:1,accepted,,,B797:1:11,Geophilus,,,Chilopoda,Geophilomorpha,Geophilidae,,Geophilus,,Chilopoda | Geophilomorpha | Geophilidae | Geophilus,3FR2S,2233674
B797:1:14,"Geophilus insculptus Attems, 1895","Attems, 1895",Geophilus,,insculptus,,species,,B797:1,accepted,,,B797:1:11,Geophilus,,,Chilopoda,Geophilomorpha,Geophilidae,,Geophilus,,Chilopoda | Geophilomorpha | Geophilidae | Geophilus,3FR3Y,2233761
B797:1:15,"Geophilus proximus C.L. Koch, 1847","C.L. Koch, 1847",Geophilus,,proximus,,species,,B797:1,accepted,,,B797:1:11,Geophilus,,,Chilopoda,Geophilomorpha,Geophilidae,,Geophilus,,Chilopoda | Geophilomorpha | Geophilidae | Geophilus,3FR62,2233712
B797:1:16,Necrophlaeophagus,,,,,,genus,,B797:1,accepted,,,B797:1:6,Geophilidae,,,Chilopoda,Geophilomorpha,Geophilidae,,Necrophlaeophagus,,Chilopoda | Geophilomorpha | Geophilidae,,
B797:1:17,"Necrophlaeophagus flavus (De Geer, 1778)","(De Geer, 1778)",Necrophlaeophagus,,flavus,,species,,B797:1,accepted,,,B797:1:16,Necrophlaeophagus,,,Chilopoda,Geophilomorpha,Geophilidae,,Necrophlaeophagus,,Chilopoda | Geophilomorpha | Geophilidae | Necrophlaeophagus,,6098850
B797:1:18,Pachymerium,,,,,,genus,,B797:1,accepted,,,B797:1:6,Geophilidae,,,Chilopoda,Geophilomorpha,Geophilidae,,Pachymerium,,Chilopoda | Geophilomorpha | Geophilidae,6BVK,2233538
B797:1:19,"Pachymerium ferrugineum (C.L. Koch, 1835)","(C.L. Koch, 1835)",Pachymerium,,ferrugineum,,species,,B797:1,accepted,,,B797:1:18,Pachymerium,,,Chilopoda,Geophilomorpha,Geophilidae,,Pachymerium,,Chilopoda | Geophilomorpha | Geophilidae | Pachymerium,4BSVF,2233552
B797:1:20,Himantariidae,,,,,,family,,B797:1,accepted,,,B797:1:2,Geophilomorpha,,,Chilopoda,Geophilomorpha,Himantariidae,,,,Chilopoda | Geophilomorpha,B2Y,8265
B797:1:21,Haplophilus,,,,,,genus,,B797:1,accepted,,,B797:1:20,Himantariidae,,,Chilopoda,Geophilomorpha,Himantariidae,,Haplophilus,,Chilopoda | Geophilomorpha | Himantariidae,,3253917
B797:1:22,"Haplophilus subterraneus (Shaw, 1789)","(Shaw, 1789)",Haplophilus,,subterraneus,,species,,B797:1,accepted,,,B797:1:21,Haplophilus,,,Chilopoda,Geophilomorpha,Himantariidae,,Haplophilus,,Chilopoda | Geophilomorpha | Himantariidae | Haplophilus,,4309206
B797:1:23,Linotaeniidae,,,,,,family,,B797:1,accepted,,,B797:1:2,Geophilomorpha,,,Chilopoda,Geophilomorpha,Linotaeniidae,,,,Chilopoda | Geophilomorpha,C3Z,8263
B797:1:24,Strigamia,,,,,,genus,,B797:1,accepted,,,B797:1:23,Linotaeniidae,,,Chilopoda,Geophilomorpha,Linotaeniidae,,Strigamia,,Chilopoda | Geophilomorpha | Linotaeniidae,63TNW,2232931
B797:1:25,"Strigamia acuminata (Leach, 1814)","(Leach, 1814)",Strigamia,,acuminata,,species,,B797:1,accepted,,,B797:1:24,Strigamia,,,Chilopoda,Geophilomorpha,Linotaeniidae,,Strigamia,,Chilopoda | Geophilomorpha | Linotaeniidae | Strigamia,52ZM6,2232952
B797:1:26,"Strigamia crassipes (C.L. Koch, 1835)","(C.L. Koch, 1835)",Strigamia,,crassipes,,species,,B797:1,accepted,,,B797:1:24,Strigamia,,,Chilopoda,Geophilomorpha,Linotaeniidae,,Strigamia,,Chilopoda | Geophilomorpha | Linotaeniidae | Strigamia,52ZMG,2232992
B797:1:27,"Strigamia maritima (Leach, 1817)","(Leach, 1817)",Strigamia,,maritima,,species,,B797:1,accepted,,,B797:1:24,Strigamia,,,Chilopoda,Geophilomorpha,Linotaeniidae,,Strigamia,,Chilopoda | Geophilomorpha | Linotaeniidae | Strigamia,52ZMX,2232987
B797:1:28,Mecistocephalidae,,,,,,family,,B797:1,accepted,,,B797:1:2,Geophilomorpha,,,Chilopoda,Geophilomorpha,Mecistocephalidae,,,,Chilopoda | Geophilomorpha,CG7,8267
B797:1:29,Mecistocephalus,,,,,,genus,,B797:1,accepted,,,B797:1:28,Mecistocephalidae,,,Chilopoda,Geophilomorpha,Mecistocephalidae,,Mecistocephalus,,Chilopoda | Geophilomorpha | Mecistocephalidae,5MCL,2233098
B797:1:30,"Mecistocephalus maxillaris (Gervais, 1837)","(Gervais, 1837)",Mecistocephalus,,maxillaris,,species,,B797:1,accepted,,,B797:1:29,Mecistocephalus,,,Chilopoda,Geophilomorpha,Mecistocephalidae,,Mecistocephalus,,Chilopoda | Geophilomorpha | Mecistocephalidae | Mecistocephalus,3YKCW,2234044
B797:1:31,Schendylidae,,,,,,family,,B797:1,accepted,,,B797:1:2,Geophilomorpha,,,Chilopoda,Geophilomorpha,Schendylidae,,,,Chilopoda | Geophilomorpha,G2B,4077
B797:1:32,Brachyschendyla,,,,,,genus,,B797:1,accepted,,,B797:1:31,Schendylidae,,,Chilopoda,Geophilomorpha,Schendylidae,,Brachyschendyla,,Chilopoda | Geophilomorpha | Schendylidae,,4309195
B797:1:33,"Brachyschendyla dentata (Brölemann & Ribaut, 1913)","(Brölemann & Ribaut, 1913)",Brachyschendyla,,dentata,,species,,B797:1,accepted,,,B797:1:32,Brachyschendyla,,,Chilopoda,Geophilomorpha,Schendylidae,,Brachyschendyla,,Chilopoda | Geophilomorpha | Schendylidae | Brachyschendyla,,4421063
B797:1:34,Hydroschendyla,,,,,,genus,,B797:1,accepted,,,B797:1:31,Schendylidae,,,Chilopoda,Geophilomorpha,Schendylidae,,Hydroschendyla,,Chilopoda | Geophilomorpha | Schendylidae,4ZVT,2234388
B797:1:35,"Hydroschendyla submarina (Grube, 1869)","(Grube, 1869)",Hydroschendyla,,submarina,,species,,B797:1,accepted,,,B797:1:34,Hydroschendyla,,,Chilopoda,Geophilomorpha,Schendylidae,,Hydroschendyla,,Chilopoda | Geophilomorpha | Schendylidae | Hydroschendyla,3N9VL,2234389
B797:1:36,Schendyla,,,,,,genus,,B797:1,accepted,,,B797:1:31,Schendylidae,,,Chilopoda,Geophilomorpha,Schendylidae,,Schendyla,,Chilopoda | Geophilomorpha | Schendylidae,7DDD,2233877
B797:1:37,"Schendyla nemorensis (C.L. Koch, 1837)","(C.L. Koch, 1837)",Schendyla,,nemorensis,,species,,B797:1,accepted,,,B797:1:36,Schendyla,,,Chilopoda,Geophilomorpha,Schendylidae,,Schendyla,,Chilopoda | Geophilomorpha | Schendylidae | Schendyla,4V7NP,2234420
B797:1:38,Scolopendromorpha,,,,,,order,,B797:1,accepted,,,B797:1:1,Chilopoda,,,Chilopoda,Scolopendromorpha,,,,,Chilopoda,42K,1252
B797:1:39,Cryptops,,,,,,genus,,B797:1,accepted,,,B797:1:38,Scolopendromorpha,,,Chilopoda,Scolopendromorpha,,,Cryptops,,Chilopoda | Scolopendromorpha,3WRS,1246289
