scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B347:1:1,Euura,,,,,,genus,,B347:1,accepted,,,,,,,,,,,Euura,,,,9013381
B347:1:2,Euura amerinae-group,,Euura,,,,group,,B347:1,accepted,,,B347:1:1,Euura,,,,,,,Euura,,Euura,,
B347:1:3,Euura amerinae-subgroup,,Euura,,,,subgroup,,B347:1,accepted,,,B347:1:2,Euura amerinae-group,,,,,,,Euura,,Euura | Euura amerinae-group,,
B347:1:4,Euura amerinae,,Euura,,amerinae,,species,,B347:1,accepted,,,B347:1:3,Euura amerinae-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura amerinae-subgroup,,4491706
B347:1:5,Euura testaceipes,,Euura,,testaceipes,,species,,B347:1,accepted,,,B347:1:3,Euura amerinae-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura amerinae-subgroup,,4491710
B347:1:6,Euura atra-subgroup,,Euura,,,,subgroup,,B347:1,accepted,,,B347:1:2,Euura amerinae-group,,,,,,,Euura,,Euura | Euura amerinae-group,,
B347:1:7,Euura atra,,Euura,,atra,,species,,B347:1,accepted,,,B347:1:6,Euura atra-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura atra-subgroup,,4491701
B347:1:8,Euura auritae,,Euura,,auritae,,species,,B347:1,accepted,,,B347:1:6,Euura atra-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura atra-subgroup,,4491708
B347:1:9,Euura myrtilloides,,Euura,,myrtilloides,,species,,B347:1,accepted,,,B347:1:6,Euura atra-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura atra-subgroup,,4491697
B347:1:10,Euura salicispurpureae,,Euura,,salicispurpureae,,species,,B347:1,accepted,,,B347:1:6,Euura atra-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura atra-subgroup,,9520466
B347:1:11,Euura weiffenbachiella,,Euura,,weiffenbachiella,,species,,B347:1,accepted,,,B347:1:6,Euura atra-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura atra-subgroup,,9524143
B347:1:12,Euura mucronata-subgroup,,Euura,,,,subgroup,,B347:1,accepted,,,B347:1:2,Euura amerinae-group,,,,,,,Euura,,Euura | Euura amerinae-group,,
B347:1:13,Euura daphnoidica,,Euura,,daphnoidica,,species,,B347:1,accepted,,,B347:1:12,Euura mucronata-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura mucronata-subgroup,,4491681
B347:1:14,Euura hastatae,,Euura,,hastatae,,species,,B347:1,accepted,,,B347:1:12,Euura mucronata-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura mucronata-subgroup,,4491687
B347:1:15,Euura laeta,,Euura,,laeta,,species,,B347:1,accepted,,,B347:1:12,Euura mucronata-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura mucronata-subgroup,,4491692
B347:1:16,Euura lanatae,,Euura,,lanatae,,species,,B347:1,accepted,,,B347:1:12,Euura mucronata-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura mucronata-subgroup,,4491683
B347:1:17,Euura mucronata,,Euura,,mucronata,,species,,B347:1,accepted,,,B347:1:12,Euura mucronata-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura mucronata-subgroup,,4491694
B347:1:18,Euura myrsinifoliae,,Euura,,myrsinifoliae,,species,,B347:1,accepted,,,B347:1:12,Euura mucronata-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura mucronata-subgroup,,4491684
B347:1:19,Euura subgemma,,Euura,,subgemma,,species,,B347:1,accepted,,,B347:1:12,Euura mucronata-subgroup,,,,,,,Euura,,Euura | Euura amerinae-group | Euura mucronata-subgroup,,7670370
B347:1:20,Euura anomaloptera-group,,Euura,,,,group,,B347:1,accepted,,,B347:1:1,Euura,,,,,,,Euura,,Euura,,
B347:1:21,Euura anomaloptera,,Euura,,anomaloptera,,species,,B347:1,accepted,,,B347:1:20,Euura anomaloptera-group,,,,,,,Euura,,Euura | Euura anomaloptera-group,,9262571
B347:1:22,Euura crassispina,,Euura,,crassispina,,species,,B347:1,accepted,,,B347:1:20,Euura anomaloptera-group,,,,,,,Euura,,Euura | Euura anomaloptera-group,,9013381
B347:1:23,Euura cyrnea,,Euura,,cyrnea,,species,,B347:1,accepted,,,B347:1:20,Euura anomaloptera-group,,,,,,,Euura,,Euura | Euura anomaloptera-group,,9589728
B347:1:24,Euura nitidinota,,Euura,,nitidinota,,species,,B347:1,accepted,,,B347:1:20,Euura anomaloptera-group,,,,,,,Euura,,Euura | Euura anomaloptera-group,,9013381
B347:1:25,Euura nudipectus,,Euura,,nudipectus,,species,,B347:1,accepted,,,B347:1:20,Euura anomaloptera-group,,,,,,,Euura,,Euura | Euura anomaloptera-group,,9013381
B347:1:26,Euura purpureae,,Euura,,purpureae,,species,,B347:1,accepted,,,B347:1:20,Euura anomaloptera-group,,,,,,,Euura,,Euura | Euura anomaloptera-group,,4491704
B347:1:27,Euura dolichura-group,,Euura,,,,group,,B347:1,accepted,,,B347:1:1,Euura,,,,,,,Euura,,Euura,,
B347:1:28,Euura bigallae,,Euura,,bigallae,,species,,B347:1,accepted,,,B347:1:27,Euura dolichura-group,,,,,,,Euura,,Euura | Euura dolichura-group,,9013381
