scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B86:1:1,Lonchopteridae,,,,,,family,,B86:1,accepted,,,,,,,,,Lonchopteridae,,,,,Lonchopteridae,C6C,5560,C6C,5560
B86:1:2,"Lonchoptera Meigen, 1803","Meigen, 1803",,,,,genus,,B86:1,accepted,,,B86:1:1,Lonchopteridae,,,,,Lonchopteridae,,Lonchoptera,,Lonchopteridae,"Lonchoptera Meigen, 1803",BY25X,1611414,BY25X,1611414
B86:1:3,"Lonchoptera meijeri Collin, 1938","Collin, 1938",Lonchoptera,,meijeri,,species,,B86:1,accepted,,,B86:1:2,"Lonchoptera Meigen, 1803",,,,,Lonchopteridae,,Lonchoptera,,Lonchopteridae | Lonchoptera,"Lonchoptera meijeri Collin, 1938",72MNX,1611432,72MNX,1611432
B86:1:4,"Lonchoptera impicta Zetterstedt, 1848","Zetterstedt, 1848",Lonchoptera,,impicta,,species,,B86:1,accepted,,,B86:1:2,"Lonchoptera Meigen, 1803",,,,,Lonchopteridae,,Lonchoptera,,Lonchopteridae | Lonchoptera,"Lonchoptera impicta Zetterstedt, 1848",72MZL,1611485,72MZL,1611485
B86:1:5,"Lonchoptera fallax De Meijere, 1906","De Meijere, 1906",Lonchoptera,,fallax,,species,,B86:1,accepted,,,B86:1:2,"Lonchoptera Meigen, 1803",,,,,Lonchopteridae,,Lonchoptera,,Lonchopteridae | Lonchoptera,"Lonchoptera fallax De Meijere, 1906",6QMZP,1611426,6QMZP,1611426
B86:1:6,"Lonchoptera nigrociliata Duda, 1927","Duda, 1927",Lonchoptera,,nigrociliata,,species,,B86:1,accepted,,,B86:1:2,"Lonchoptera Meigen, 1803",,,,,Lonchopteridae,,Lonchoptera,,Lonchopteridae | Lonchoptera,"Lonchoptera nigrociliata Duda, 1927",3VYB3,1611415,3VYB3,1611415
B86:1:7,"Lonchoptera scutellata Stein, 1890","Stein, 1890",Lonchoptera,,scutellata,,species,,B86:1,accepted,,,B86:1:2,"Lonchoptera Meigen, 1803",,,,,Lonchopteridae,,Lonchoptera,,Lonchopteridae | Lonchoptera,"Lonchoptera scutellata Stein, 1890",3VYBG,1611436,3VYBG,1611436
B86:1:8,"Lonchoptera bifurcata (Fallen, 1810)","(Fallen, 1810)",Lonchoptera,,bifurcata,,species,,B86:1,accepted,,,B86:1:2,"Lonchoptera Meigen, 1803",,,,,Lonchopteridae,,Lonchoptera,,Lonchopteridae | Lonchoptera,"Lonchoptera bifurcata (Fallen, 1810)",3VY9V,1611456,3VY9V,1611456
B86:1:9,"Lonchoptera nitidifrons Strobl, 1899","Strobl, 1899",Lonchoptera,,nitidifrons,,species,,B86:1,accepted,,,B86:1:2,"Lonchoptera Meigen, 1803",,,,,Lonchopteridae,,Lonchoptera,,Lonchopteridae | Lonchoptera,"Lonchoptera nitidifrons Strobl, 1899",3VYB4,1611491,3VYB4,1611491
B86:1:10,"Lonchoptera lutea Panzer, 1809","Panzer, 1809",Lonchoptera,,lutea,,species,,B86:1,accepted,,,B86:1:2,"Lonchoptera Meigen, 1803",,,,,Lonchopteridae,,Lonchoptera,,Lonchopteridae | Lonchoptera,"Lonchoptera lutea Panzer, 1809",6QMZH,1611430,6QMZH,1611430
B86:1:11,"Lonchoptera tristis Meigen, 1824","Meigen, 1824",Lonchoptera,,tristis,,species,,B86:1,accepted,,,B86:1:2,"Lonchoptera Meigen, 1803",,,,,Lonchopteridae,,Lonchoptera,,Lonchopteridae | Lonchoptera,"Lonchoptera tristis Meigen, 1824",3VYBQ,1611468,3VYBQ,1611468
B86:1:12,"Lonchoptera strobli de Meijere, 1906","de Meijere, 1906",Lonchoptera,,strobli,,species,,B86:1,accepted,,,B86:1:2,"Lonchoptera Meigen, 1803",,,,,Lonchopteridae,,Lonchoptera,,Lonchopteridae | Lonchoptera,"Lonchoptera strobli de Meijere, 1906",3VYBK,1611480,3VYBK,1611480
B86:1:13,"Lonchoptera nerana Vaillant, 1989","Vaillant, 1989",Lonchoptera,,nerana,,species,,B86:1,accepted,,,B86:1:2,"Lonchoptera Meigen, 1803",,,,,Lonchopteridae,,Lonchoptera,,Lonchopteridae | Lonchoptera,"Lonchoptera nerana Vaillant, 1989",72MNY,1611496,72MNY,1611496
B86:1:14,"Lonchoptera pictipennis Bezzi, 1899","Bezzi, 1899",Lonchoptera,,pictipennis,,species,,B86:1,accepted,,,B86:1:2,"Lonchoptera Meigen, 1803",,,,,Lonchopteridae,,Lonchoptera,,Lonchopteridae | Lonchoptera,"Lonchoptera pictipennis Bezzi, 1899",3VYB7,1611465,3VYB7,1611465
