scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B1010:2:1,Ephemeroptera,,,,,,order,,B1010:2,accepted,,,,,,,,Ephemeroptera,,,,,,Ephemeroptera,,372,1225,372,1225
B1010:2:2,Prosopistomatidae,,,,,,family,,B1010:2,accepted,,,B1010:2:1,Ephemeroptera,,,,Ephemeroptera,Prosopistomatidae,,,,Ephemeroptera,Prosopistomatidae,,F44,4481534,F44,4481534
B1010:2:3,Prosopistoma,,,,,,genus,,B1010:2,accepted,,,B1010:2:2,Prosopistomatidae,,,,Ephemeroptera,Prosopistomatidae,,Prosopistoma,,Ephemeroptera | Prosopistomatidae,Prosopistoma,,63PTP,4405011,63PTP,4405011
B1010:2:4,"Prosopistoma foliaceum (Fourcroy, 1785)","(Fourcroy, 1785)",Prosopistoma,,foliaceum,,species,,B1010:2,accepted,,,B1010:2:3,Prosopistoma,,,,Ephemeroptera,Prosopistomatidae,,Prosopistoma,,Ephemeroptera | Prosopistomatidae | Prosopistoma,"foliaceum (Fourcroy, 1785)",,,6096685,,4481535
B1010:2:5,Caenidae,,,,,,family,,B1010:2,accepted,,,B1010:2:1,Ephemeroptera,,,,Ephemeroptera,Caenidae,,,,Ephemeroptera,Caenidae,,7J4,7869,7J4,7869
B1010:2:6,Brachycerus,,,,,,genus,,B1010:2,accepted,,,B1010:2:5,Caenidae,,,,Ephemeroptera,Caenidae,,Brachycerus,,Ephemeroptera | Caenidae,Brachycerus,,8HD84,1227966,8HD84,1227966
B1010:2:7,"Brachycerus harrisellus (Curtis, 1834)","(Curtis, 1834)",Brachycerus,,harrisellus,,species,,B1010:2,accepted,,,B1010:2:6,Brachycerus,,,,Ephemeroptera,Caenidae,,Brachycerus,,Ephemeroptera | Caenidae | Brachycerus,"harrisellus (Curtis, 1834)",,5X29J,5049213,5X29J,5049213
B1010:2:8,Caenis,,,,,,genus,,B1010:2,accepted,,,B1010:2:5,Caenidae,,,,Ephemeroptera,Caenidae,,Caenis,,Ephemeroptera | Caenidae,Caenis,,BY8PV,1408104,BYD4K,1408104
B1010:2:9,"Caenis macrura Stephens, 1835","Stephens, 1835",Caenis,,macrura,,species,,B1010:2,accepted,,,B1010:2:8,Caenis,,,,Ephemeroptera,Caenidae,,Caenis,,Ephemeroptera | Caenidae | Caenis,"macrura Stephens, 1835",,P9M2,5757633,P9M2,5757633
B1010:2:10,"Caenis luctuosa (Burmeister, 1839)","(Burmeister, 1839)",Caenis,,luctuosa,,species,,B1010:2,accepted,,,B1010:2:8,Caenis,,,,Ephemeroptera,Caenidae,,Caenis,,Ephemeroptera | Caenidae | Caenis,"luctuosa (Burmeister, 1839)",,P9LW,5757622,P9LW,5757622
B1010:2:11,"Caenis moesta Bengtsson, 1917","Bengtsson, 1917",Caenis,,moesta,,species,,B1010:2,synonym,B1010:2:10,"Caenis luctuosa (Burmeister, 1839)",,,,,,Ephemeroptera,Caenidae,,Caenis,,Ephemeroptera | Caenidae | Caenis,"Caenis moesta Bengtsson, 1917",,,5757623,,5757622
B1010:2:12,"Caenis horaria (Linnaeus, 1758)","(Linnaeus, 1758)",Caenis,,horaria,,species,,B1010:2,accepted,,,B1010:2:8,Caenis,,,,Ephemeroptera,Caenidae,,Caenis,,Ephemeroptera | Caenidae | Caenis,"horaria (Linnaeus, 1758)",,P9LD,5757628,P9LD,5757628
B1010:2:13,"Caenis robusta Eaton, 1884","Eaton, 1884",Caenis,,robusta,,species,,B1010:2,accepted,,,B1010:2:8,Caenis,,,,Ephemeroptera,Caenidae,,Caenis,,Ephemeroptera | Caenidae | Caenis,"robusta Eaton, 1884",,P9NF,5757635,P9NF,5757635
B1010:2:14,"Caenis lactea (Burmeister, 1839)","(Burmeister, 1839)",Caenis,,lactea,,species,,B1010:2,accepted,,,B1010:2:8,Caenis,,,,Ephemeroptera,Caenidae,,Caenis,,Ephemeroptera | Caenidae | Caenis,"lactea (Burmeister, 1839)",,P9LS,5757632,P9LS,5757632
B1010:2:15,"Caenis pseudorivulorum Keffermüller, 1960","Keffermüller, 1960",Caenis,,pseudorivulorum,,species,,B1010:2,accepted,,,B1010:2:8,Caenis,,,,Ephemeroptera,Caenidae,,Caenis,,Ephemeroptera | Caenidae | Caenis,"pseudorivulorum Keffermüller, 1960",,P9N6,5757634,P9N6,5757634
B1010:2:16,"Caenis rivulorum Eaton, 1884","Eaton, 1884",Caenis,,rivulorum,,species,,B1010:2,accepted,,,B1010:2:8,Caenis,,,,Ephemeroptera,Caenidae,,Caenis,,Ephemeroptera | Caenidae | Caenis,"rivulorum Eaton, 1884",,5WSV8,6932828,5WSV8,6932828
B1010:2:17,"Caenis beskidensis Sowa, 1973","Sowa, 1973",Caenis,,beskidensis,,species,,B1010:2,accepted,,,B1010:2:8,Caenis,,,,Ephemeroptera,Caenidae,,Caenis,,Ephemeroptera | Caenidae | Caenis,"beskidensis Sowa, 1973",,P9K3,6932931,P9K3,6932931
B1010:2:18,Potamanthidae,,,,,,family,,B1010:2,accepted,,,B1010:2:1,Ephemeroptera,,,,Ephemeroptera,Potamanthidae,,,,Ephemeroptera,Potamanthidae,,627MS,2235,627MS,2235
B1010:2:19,Potamanthus,,,,,,genus,,B1010:2,accepted,,,B1010:2:18,Potamanthidae,,,,Ephemeroptera,Potamanthidae,,Potamanthus,,Ephemeroptera | Potamanthidae,Potamanthus,,CBT4N,12033390,CBT4N,12033390
B1010:2:20,"Potamanthus luteus (Linnaeus, 1758)","(Linnaeus, 1758)",Potamanthus,,luteus,,species,,B1010:2,accepted,,,B1010:2:19,Potamanthus,,,,Ephemeroptera,Potamanthidae,,Potamanthus,,Ephemeroptera | Potamanthidae | Potamanthus,"luteus (Linnaeus, 1758)",,6VVKH,1407105,6VVKH,1407105
B1010:2:21,Palingeniidae,,,,,,family,,B1010:2,accepted,,,B1010:2:1,Ephemeroptera,,,,Ephemeroptera,Palingeniidae,,,,Ephemeroptera,Palingeniidae,,DVR,7872,DVR,7872
B1010:2:22,Palingenia,,,,,,genus,,B1010:2,accepted,,,B1010:2:21,Palingeniidae,,,,Ephemeroptera,Palingeniidae,,Palingenia,,Ephemeroptera | Palingeniidae,Palingenia,,6CQZ,1407073,6CQZ,1407073
