scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B241:1:1,Calyptrata,,,,,,subsection,,B241:1,accepted,,,,,,,,,,,,,,,
B241:1:2,Tachinidae,,,,,,family,,B241:1,accepted,,,B241:1:1,Calyptrata,,,,,Tachinidae,,,,Calyptrata,GVY,6918
B241:1:3,Calliphoridae,,,,,,family,,B241:1,accepted,,,B241:1:1,Calyptrata,,,,,Calliphoridae,,,,Calyptrata,7KK,3335
B241:1:4,Muscidae,,,,,,family,,B241:1,accepted,,,B241:1:1,Calyptrata,,,,,Muscidae,,,,Calyptrata,8ZZG6,11207207
B241:1:5,Cordyluridae,,,,,,family,,B241:1,accepted,,,B241:1:1,Calyptrata,,,,,Cordyluridae,,,,Calyptrata,,3264118
