scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B2779:1:1,Reduvioidea,,,,,,superfamily,,B2779:1,accepted,,,,,,,,,,,,,,REDUVIOIDEA,,BXWDS,,BXWDS,
B2779:1:2,Enicocephalidae,,,,,,family,,B2779:1,accepted,,,B2779:1:1,Reduvioidea,,,,,Enicocephalidae,,,,Reduvioidea,ENICOCEPHALIDAE,,9PW,7880,9PW,7880
B2779:1:3,Nabidae,,,,,,family,,B2779:1,accepted,,,B2779:1:1,Reduvioidea,,,,,Nabidae,,,,Reduvioidea,NABIDAE,,CBFTS,7891,CBFTS,7891
B2779:1:4,Pachynominae,,,,,,subfamily,,B2779:1,accepted,,,B2779:1:3,Nabidae,,,,,Nabidae,Pachynominae,,,Reduvioidea | Nabidae,Pachynominae,,,,,
B2779:1:5,Carthasinae,,,,,,subfamily,,B2779:1,accepted,,,B2779:1:3,Nabidae,,,,,Nabidae,Carthasinae,,,Reduvioidea | Nabidae,Carthasinae,,,,,
B2779:1:6,Arachnocorinae,,,,,,subfamily,,B2779:1,accepted,,,B2779:1:3,Nabidae,,,,,Nabidae,Arachnocorinae,,,Reduvioidea | Nabidae,Arachnocorinae,,,,,
B2779:1:7,Gorpinae,,,,,,subfamily,,B2779:1,accepted,,,B2779:1:3,Nabidae,,,,,Nabidae,Gorpinae,,,Reduvioidea | Nabidae,Gorpinae,,,,,
B2779:1:8,Prostemminae,,,,,,subfamily,,B2779:1,accepted,,,B2779:1:3,Nabidae,,,,,Nabidae,Prostemminae,,,Reduvioidea | Nabidae,Prostemminae,,,,,
B2779:1:9,Nabinae,,,,,,subfamily,,B2779:1,accepted,,,B2779:1:3,Nabidae,,,,,Nabidae,Nabinae,,,Reduvioidea | Nabidae,Nabinae,,,,,
B2779:1:10,Phymatidae,,,,,,family,,B2779:1,accepted,,,B2779:1:1,Reduvioidea,,,,,Phymatidae,,,,Reduvioidea,PHYMATIDAE,,8NKP9|8PTG4|8NKP9,3265969,8PTG4,3265969
