scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B77:1:1,"Drapetis Meigen, 1822","Meigen, 1822",,,,,genus,,B77:1,accepted,,,,,,,,,,,Drapetis,,,"Drapetis Meigen, 1822",,BYC2Z,1456907,BYC2Z,1456907
B77:1:2,"Drapetis hutsoni Smith, 1967","Smith, 1967",Drapetis,,hutsoni,,species,,B77:1,accepted,,,B77:1:1,"Drapetis Meigen, 1822",,,,,,,Drapetis,,Drapetis,"hutsoni Smith, 1967",,37LDR,1457088,37LDR,1457088
B77:1:3,"Elaphropeza Macquart, 1827","Macquart, 1827",,,,,genus,,B77:1,accepted,,,,,,,,,,,Elaphropeza,,,"Elaphropeza Macquart, 1827",,62QCC,1458147,62QCC,1458147
B77:1:4,"Elaphropeza boergei Chvála, 1971","Chvála, 1971",Elaphropeza,,boergei,,species,,B77:1,accepted,,,B77:1:3,"Elaphropeza Macquart, 1827",,,,,,,Elaphropeza,,Elaphropeza,"boergei Chvála, 1971",,,10420678,,10420678
B77:1:5,"Elaphropeza pseudoephippiata Raffone, 2003","Raffone, 2003",Elaphropeza,,pseudoephippiata,,species,,B77:1,accepted,,,B77:1:3,"Elaphropeza Macquart, 1827",,,,,,,Elaphropeza,,Elaphropeza,"pseudoephippiata Raffone, 2003",,393DY,1458169,393DY,1458169
B77:1:6,"Elaphropeza ephippiata (Fallén, 1815)","(Fallén, 1815)",Elaphropeza,,ephippiata,,species,,B77:1,accepted,,,B77:1:3,"Elaphropeza Macquart, 1827",,,,,,,Elaphropeza,,Elaphropeza,"ephippiata (Fallén, 1815)",,NL4VP,9671541,37LCV,1457103
