scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B851:1:1,Hygrophorus agathosmoides,,Hygrophorus,,agathosmoides,,species,,B851:1,accepted,,,,,,,,,,,Hygrophorus,,,,11153140
B851:1:2,Hygrophorus agathosmus,,Hygrophorus,,agathosmus,,species,,B851:1,accepted,,,,,,,,,,,Hygrophorus,,,6MLQD,2538727
B851:1:3,Hygrophorus agathosmus f. albus,,Hygrophorus,,agathosmus,albus,form,,B851:1,accepted,,,B851:1:2,Hygrophorus agathosmus,,,,,,,Hygrophorus,,Hygrophorus agathosmus,5SLT6,
B851:1:4,Hygrophorus agathosmus f. aureofloccosus,,Hygrophorus,,agathosmus,aureofloccosus,form,,B851:1,accepted,,,B851:1:2,Hygrophorus agathosmus,,,,,,,Hygrophorus,,Hygrophorus agathosmus,5SLT7,
B851:1:5,Hygrophorus arbustivus,,Hygrophorus,,arbustivus,,species,,B851:1,accepted,,,,,,,,,,,Hygrophorus,,,3NBV5,2538716
B851:1:6,Hygrophorus atramentosus,,Hygrophorus,,atramentosus,,species,,B851:1,accepted,,,,,,,,,,,Hygrophorus,,,3NBV8,7747227
B851:1:7,Hygrophorus betulae,,Hygrophorus,,betulae,,species,,B851:1,accepted,,,,,,,,,,,Hygrophorus,,,,10681215
B851:1:8,Hygrophorus calophyllus,,Hygrophorus,,calophyllus,,species,,B851:1,accepted,,,,,,,,,,,Hygrophorus,,,,7244090
B851:1:9,Hygrophorus camarophyllus,,Hygrophorus,,camarophyllus,,species,,B851:1,accepted,,,,,,,,,,,Hygrophorus,,,6MLS6,2538720
B851:1:10,Hygrophorus carpini,,Hygrophorus,,carpini,,species,,B851:1,accepted,,,,,,,,,,,Hygrophorus,,,3NBWJ,2538813
