scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B518:5:1,"Parodontodynerus Blüthgen, 1938","Blüthgen, 1938",,,,,genus,,B518:5,accepted,,,,,,,,,,,Parodontodynerus,,,"Parodontodynerus Blüthgen, 1938",6HZZ,1328964,6HZZ,1328964
B518:5:2,"Parodontodynerus ephippium (Klug, 1817)","(Klug, 1817)",Parodontodynerus,,ephippium,,species,,B518:5,accepted,,,B518:5:1,"Parodontodynerus Blüthgen, 1938",,,,,,,Parodontodynerus,,Parodontodynerus,"ephippium (Klug, 1817)",6TSZX,10294228,6TSZX,10294228
B518:5:3,"Parodontodynerus ephippium subsp. ephippium (Klug, 1817)","(Klug, 1817)",Parodontodynerus,,ephippium,ephippium,subspecies,,B518:5,accepted,,,B518:5:2,"Parodontodynerus ephippium (Klug, 1817)",,,,,,,Parodontodynerus,,Parodontodynerus | Parodontodynerus ephippium,"ephippium subsp. ephippium (Klug, 1817)",,7217734,,7217734
B518:5:4,"Eumenes ephippium Klug, 1817","Klug, 1817",Eumenes,,ephippium,,species,,B518:5,synonym,B518:5:3,"Parodontodynerus ephippium subsp. ephippium (Klug, 1817)",,,,,,,,,Parodontodynerus,,Parodontodynerus | Parodontodynerus ephippium,"Eumenes ephippium Klug, 1817",,8889000,,10294228
B518:5:5,Parodontodynerus ephippium subsp. anatoliae Giordani Soika 1952,Giordani Soika 1952,Parodontodynerus,,ephippium,anatoliae,subspecies,syn. nov.,B518:5,synonym,B518:5:3,"Parodontodynerus ephippium subsp. ephippium (Klug, 1817)",,,,,,,,,Parodontodynerus,,Parodontodynerus | Parodontodynerus ephippium,Parodontodynerus ephippium subsp. anatoliae Giordani Soika 1952 syn. nov.,,,,
