scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B543:2:1,Psychodidae,,,,,,family,,B543:2,accepted,,,,,,,,,Psychodidae,,,,,PSYCHODIDAE,,FBS,9164,FBS,9164
B543:2:2,Psychodinae,,,,,,subfamily,,B543:2,accepted,,,B543:2:1,Psychodidae,,,,,Psychodidae,Psychodinae,,,Psychodidae,Psychodinae,,B7X99,,B7X99,
B543:2:3,Maruinini,,,,,,tribe,,B543:2,accepted,,,B543:2:2,Psychodinae,,,,,Psychodidae,Psychodinae,,,Psychodidae | Psychodinae,Maruinini,,89PC3,,89PC3,
B543:2:4,Setomimini,,,,,,tribe,,B543:2,synonym,B543:2:3,Maruinini,,,,,,,Psychodidae,Psychodinae,,,Psychodidae | Psychodinae,Setomimini,,B7XF7,,B7XF7,
B543:2:5,Tonnoiriella,,,,,,genus,,B543:2,accepted,,,B543:2:3,Maruinini,,,,,Psychodidae,Psychodinae,Tonnoiriella,,Psychodidae | Psychodinae | Maruinini,Tonnoiriella,,BYRX8,1642354,BYRX8,1642354
B543:2:6,Tonnoiriella pulchra,,Tonnoiriella,,pulchra,,species,,B543:2,accepted,,,B543:2:5,Tonnoiriella,,,,,Psychodidae,Psychodinae,Tonnoiriella,,Psychodidae | Psychodinae | Maruinini | Tonnoiriella,pulchra,,7CHTS,4522026,7CHTS,4522026
B543:2:7,Pericomaini,,,,,,tribe,,B543:2,accepted,,,B543:2:2,Psychodinae,,,,,Psychodidae,Psychodinae,,,Psychodidae | Psychodinae,Pericomaini,,,,,
B543:2:8,Clytocerus,,,,,,genus,,B543:2,accepted,,,B543:2:7,Pericomaini,,,,,Psychodidae,Psychodinae,Clytocerus,,Psychodidae | Psychodinae | Pericomaini,Clytocerus,,BY9R7,1639663,BY9R7,1639663
B543:2:9,Boreoclytocerus,,,,,,genus,,B543:2,synonym,B543:2:8,Clytocerus,,,,,,,Psychodidae,Psychodinae,Boreoclytocerus,,Psychodidae | Psychodinae | Pericomaini,Boreoclytocerus,,BYTV5,4791321,BY9R9,4791321
B543:2:10,Clytocerus splendidus,,Clytocerus,,splendidus,,species,,B543:2,accepted,,,B543:2:8,Clytocerus,,,,,Psychodidae,Psychodinae,Clytocerus,,Psychodidae | Psychodinae | Pericomaini | Clytocerus,splendidus,,9H938,5981132,9H938,5981132
