scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B855:1:1,"Domene Fauvel, 1872","Fauvel, 1872",,,,,genus,,B855:1,accepted,,,,,,,,,,,Domene,,,"Domene Fauvel, 1872",,8X7BG,4406872,8X7BG,4406872
B855:1:2,"Domene scabricollis (Erichson, 1840)","(Erichson, 1840)",Domene,,scabricollis,,species,,B855:1,accepted,,,B855:1:1,"Domene Fauvel, 1872",,,,,,,Domene,,Domene,"scabricollis (Erichson, 1840)",,3795Z,4439143,3795Z,4439143
B855:1:3,"Lathrobium scabricolle Erichson, 1840","Erichson, 1840",Lathrobium,,scabricolle,,species,,B855:1,synonym,B855:1:2,"Domene scabricollis (Erichson, 1840)",,,,,,,,,Domene,,Domene,"Lathrobium scabricolle Erichson, 1840",,3SKBY,4439144,3795Z,4439143
