scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B43:1:1,Syrphidae,,,,,,family,,B43:1,accepted,,,,,,,,,Syrphidae,,,,,SYRPHIDAE,,GVS,6920,GVS,6920
B43:1:2,Microdontinae,,,,,,subfamily,,B43:1,accepted,,,B43:1:1,Syrphidae,,,,,Syrphidae,Microdontinae,,,Syrphidae,MICRODONTINAE,,87CJY,,87CJY,
B43:1:3,Microdontini,,,,,,tribe,,B43:1,accepted,,,B43:1:2,Microdontinae,,,,,Syrphidae,Microdontinae,,,Syrphidae | Microdontinae,Microdontini,,89PCD,,89PCD,
B43:1:4,"Microdon Meigen, 1803","Meigen, 1803",,,,,genus,,B43:1,accepted,,,B43:1:3,Microdontini,,,,,Syrphidae,Microdontinae,Microdon,,Syrphidae | Microdontinae | Microdontini,"Microdon Meigen, 1803",,BXXN2,1542207,BXXN2,1542207
B43:1:5,"Microdon analis (Macquart, 1842)","(Macquart, 1842)",Microdon,,analis,,species,,B43:1,accepted,,,B43:1:4,"Microdon Meigen, 1803",,,,,Syrphidae,Microdontinae,Microdon,,Syrphidae | Microdontinae | Microdontini | Microdon,"analis (Macquart, 1842)",,8CV3S,9153200,8CV3S,9153200
B43:1:6,"Microdon eggeri Mik, 1897","Mik, 1897",Microdon,,eggeri,,species,,B43:1,synonym,B43:1:5,"Microdon analis (Macquart, 1842)",,,,,,,Syrphidae,Microdontinae,Microdon,,Syrphidae | Microdontinae | Microdontini | Microdon,"eggeri Mik, 1897",,89FSF,5072027,8CV3S,9153200
B43:1:7,"Microdon devius (Linnaeus, 1761)","(Linnaeus, 1761)",Microdon,,devius,,species,,B43:1,accepted,,,B43:1:4,"Microdon Meigen, 1803",,,,,Syrphidae,Microdontinae,Microdon,,Syrphidae | Microdontinae | Microdontini | Microdon,"devius (Linnaeus, 1761)",,8CV4C,1542409,8CV4C,1542409
B43:1:8,"Microdon myrmicae Schönrogge, Barr, Wardlaw, Napper, Gardner, Breen, Elmes & Thomas, 2002","Schönrogge, Barr, Wardlaw, Napper, Gardner, Breen, Elmes & Thomas, 2002",Microdon,,myrmicae,,species,,B43:1,accepted,,,B43:1:4,"Microdon Meigen, 1803",,,,,Syrphidae,Microdontinae,Microdon,,Syrphidae | Microdontinae | Microdontini | Microdon,"myrmicae Schönrogge, Barr, Wardlaw, Napper, Gardner, Breen, Elmes & Thomas, 2002",,8CV5C,1542591,8CV5C,1542591
B43:1:9,Microdon mutabilis,,Microdon,,mutabilis,,species,"auct. nec (Linnaeus, 1758)",B43:1,misapplied,B43:1:8,"Microdon myrmicae Schönrogge, Barr, Wardlaw, Napper, Gardner, Breen, Elmes & Thomas, 2002",,,,,,,Syrphidae,Microdontinae,Microdon,,Syrphidae | Microdontinae | Microdontini | Microdon,"mutabilis auct. nec (Linnaeus, 1758)",,8CV59,1542226,8CV59,1542226
B43:1:10,Syrphinae,,,,,,subfamily,,B43:1,accepted,,,B43:1:1,Syrphidae,,,,,Syrphidae,Syrphinae,,,Syrphidae,SYRPHINAE,,9H6NG,,9H6NG,
B43:1:11,Pipizini,,,,,,tribe,,B43:1,accepted,,,B43:1:10,Syrphinae,,,,,Syrphidae,Syrphinae,,,Syrphidae | Syrphinae,Pipizini,,BY5XF,,BY5XF,
B43:1:12,"Heringia Rondani, 1856","Rondani, 1856",,,,,genus,,B43:1,accepted,,,B43:1:11,Pipizini,,,,,Syrphidae,Syrphinae,Heringia,,Syrphidae | Syrphinae | Pipizini,"Heringia Rondani, 1856",,BYFB2,1535116,BYFB2,1535116
B43:1:13,"Heringia Rondani, 1856","Rondani, 1856",Heringia,,,,subgenus,,B43:1,accepted,,,B43:1:12,"Heringia Rondani, 1856",,,,,Syrphidae,Syrphinae,Heringia,Heringia,Syrphidae | Syrphinae | Pipizini | Heringia,"Heringia Rondani, 1856",,BYFB2,,BYFB2,
B43:1:14,"Heringia heringi (Zetterstedt, 1843)","(Zetterstedt, 1843)",Heringia,Heringia,heringi,,species,,B43:1,accepted,,,B43:1:13,"Heringia Rondani, 1856",,,,,Syrphidae,Syrphinae,Heringia,Heringia,Syrphidae | Syrphinae | Pipizini | Heringia | Heringia,"heringi (Zetterstedt, 1843)",,3KZ2X,1535185,3KZ2X,1535185
B43:1:15,"Heringia dubium (Lundbeck, 1916)","(Lundbeck, 1916)",Heringia,Heringia,dubium,,species,,B43:1,synonym,B43:1:14,"Heringia heringi (Zetterstedt, 1843)",,,,,,,Syrphidae,Syrphinae,Heringia,Heringia,Syrphidae | Syrphinae | Pipizini | Heringia | Heringia,"dubium (Lundbeck, 1916)",,,6098352,,1535185
B43:1:16,"Heringia senilis Sack, 1938","Sack, 1938",Heringia,Heringia,senilis,,species,,B43:1,accepted,,,B43:1:13,"Heringia Rondani, 1856",,,,,Syrphidae,Syrphinae,Heringia,Heringia,Syrphidae | Syrphinae | Pipizini | Heringia | Heringia,"senilis Sack, 1938",,3KZ3H,1535132,3KZ3H,1535132
B43:1:17,"Neocnemodon Goffe, 1944","Goffe, 1944",Heringia,,,,subgenus,,B43:1,accepted,,,B43:1:12,"Heringia Rondani, 1856",,,,,Syrphidae,Syrphinae,Heringia,Neocnemodon,Syrphidae | Syrphinae | Pipizini | Heringia,"Neocnemodon Goffe, 1944",,CH8XD,,CH8XD,
B43:1:18,"Cnemodon Egger, 1865","Egger, 1865",Heringia,Neocnemodon,,,subgenus,,B43:1,synonym,B43:1:17,"Neocnemodon Goffe, 1944",,,,,,,Syrphidae,Syrphinae,Heringia,Cnemodon,Syrphidae | Syrphinae | Pipizini | Heringia,"Cnemodon Egger, 1865",,,,,
B43:1:19,"Heringia brevidens (Egger, 1865)","(Egger, 1865)",Heringia,Neocnemodon,brevidens,,species,,B43:1,accepted,,,B43:1:17,"Neocnemodon Goffe, 1944",,,,,Syrphidae,Syrphinae,Heringia,Neocnemodon,Syrphidae | Syrphinae | Pipizini | Heringia | Neocnemodon,"brevidens (Egger, 1865)",,,1535194,,8107056
B43:1:20,"Heringia micans (Van Doesburg, 1949)","(Van Doesburg, 1949)",Heringia,Neocnemodon,micans,,species,,B43:1,synonym,B43:1:19,"Heringia brevidens (Egger, 1865)",,,,,,,Syrphidae,Syrphinae,Heringia,Neocnemodon,Syrphidae | Syrphinae | Pipizini | Heringia | Neocnemodon,"micans (Van Doesburg, 1949)",,,6098353,,8107056
B43:1:21,"Heringia latitarsis (Egger, 1865)","(Egger, 1865)",Heringia,Neocnemodon,latitarsis,,species,,B43:1,accepted,,,B43:1:17,"Neocnemodon Goffe, 1944",,,,,Syrphidae,Syrphinae,Heringia,Neocnemodon,Syrphidae | Syrphinae | Pipizini | Heringia | Neocnemodon,"latitarsis (Egger, 1865)",,,1535183,,7789394
B43:1:22,"Heringia pubescens (Delucchi & Pschorn Walcher, 1955)","(Delucchi & Pschorn Walcher, 1955)",Heringia,Neocnemodon,pubescens,,species,,B43:1,accepted,,,B43:1:17,"Neocnemodon Goffe, 1944",,,,,Syrphidae,Syrphinae,Heringia,Neocnemodon,Syrphidae | Syrphinae | Pipizini | Heringia | Neocnemodon,"pubescens (Delucchi & Pschorn Walcher, 1955)",,,1535128,,8147305
B43:1:23,"Heringia fulvimanus (Zetterstedt, 1843)","(Zetterstedt, 1843)",Heringia,Neocnemodon,fulvimanus,,species,,B43:1,synonym,B43:1:22,"Heringia pubescens (Delucchi & Pschorn Walcher, 1955)",,,,,,,Syrphidae,Syrphinae,Heringia,Neocnemodon,Syrphidae | Syrphinae | Pipizini | Heringia | Neocnemodon,"fulvimanus (Zetterstedt, 1843)",,,1535118,,9708194
B43:1:24,"Heringia verrucula (Collin, 1931)","(Collin, 1931)",Heringia,Neocnemodon,verrucula,,species,,B43:1,accepted,,,B43:1:17,"Neocnemodon Goffe, 1944",,,,,Syrphidae,Syrphinae,Heringia,Neocnemodon,Syrphidae | Syrphinae | Pipizini | Heringia | Neocnemodon,"verrucula (Collin, 1931)",,,1535171,,9759352
B43:1:25,"Heringia vitripennis (Meigen, 1822)","(Meigen, 1822)",Heringia,Neocnemodon,vitripennis,,species,,B43:1,accepted,,,B43:1:17,"Neocnemodon Goffe, 1944",,,,,Syrphidae,Syrphinae,Heringia,Neocnemodon,Syrphidae | Syrphinae | Pipizini | Heringia | Neocnemodon,"vitripennis (Meigen, 1822)",,,1535152,,8223744
B43:1:26,"Pipiza Fallén, 1817","Fallén, 1817",,,,,genus,,B43:1,accepted,,,B43:1:11,Pipizini,,,,,Syrphidae,Syrphinae,Pipiza,,Syrphidae | Syrphinae | Pipizini,"Pipiza Fallén, 1817",,BYMM3,1536264,BYMM3,1536264
B43:1:27,"Pipiza austriaca Meigen, 1822","Meigen, 1822",Pipiza,,austriaca,,species,,B43:1,accepted,,,B43:1:26,"Pipiza Fallén, 1817",,,,,Syrphidae,Syrphinae,Pipiza,,Syrphidae | Syrphinae | Pipizini | Pipiza,"austriaca Meigen, 1822",,CDVCL,1536326,4J6NH,1536318
B43:1:28,"Pipiza bimaculata Meigen, 1822","Meigen, 1822",Pipiza,,bimaculata,,species,,B43:1,accepted,,,B43:1:26,"Pipiza Fallén, 1817",,,,,Syrphidae,Syrphinae,Pipiza,,Syrphidae | Syrphinae | Pipizini | Pipiza,"bimaculata Meigen, 1822",,4J6MQ,1536283,4J6MQ,1536283
B43:1:29,"Pipiza notata Meigen, 1822","Meigen, 1822",Pipiza,,notata,,species,,B43:1,synonym,B43:1:28,"Pipiza bimaculata Meigen, 1822",,,,,,,Syrphidae,Syrphinae,Pipiza,,Syrphidae | Syrphinae | Pipizini | Pipiza,"notata Meigen, 1822","{""synonymUncertain"":true}",CDVD2,1536300,CDVD2,1536300
B43:1:30,"Pipiza signata Meigen, 1822","Meigen, 1822",Pipiza,,signata,,species,,B43:1,synonym,B43:1:28,"Pipiza bimaculata Meigen, 1822",,,,,,,Syrphidae,Syrphinae,Pipiza,,Syrphidae | Syrphinae | Pipizini | Pipiza,"signata Meigen, 1822","{""synonymUncertain"":true}",4J6QT,1536313,4J6QT,1536313
B43:1:31,"Pipiza fenestrata Meigen, 1822","Meigen, 1822",Pipiza,,fenestrata,,species,,B43:1,accepted,,,B43:1:26,"Pipiza Fallén, 1817",,,,,Syrphidae,Syrphinae,Pipiza,,Syrphidae | Syrphinae | Pipizini | Pipiza,"fenestrata Meigen, 1822",,4J6NG,1536367,4J6NG,1536367
B43:1:32,"Pipiza festiva Meigen, 1822","Meigen, 1822",Pipiza,,festiva,,species,,B43:1,accepted,,,B43:1:26,"Pipiza Fallén, 1817",,,,,Syrphidae,Syrphinae,Pipiza,,Syrphidae | Syrphinae | Pipizini | Pipiza,"festiva Meigen, 1822",,4J6NH,1536318,4J6NH,1536318
B43:1:33,"Pipiza lugubris (Fabricius, 1775)","(Fabricius, 1775)",Pipiza,,lugubris,,species,,B43:1,accepted,,,B43:1:26,"Pipiza Fallén, 1817",,,,,Syrphidae,Syrphinae,Pipiza,,Syrphidae | Syrphinae | Pipizini | Pipiza,"lugubris (Fabricius, 1775)",,6VKNZ,1536370,6VKNZ,1536370
B43:1:34,"Pipiza luteitarsis Zetterstedt, 1843","Zetterstedt, 1843",Pipiza,,luteitarsis,,species,,B43:1,accepted,,,B43:1:26,"Pipiza Fallén, 1817",,,,,Syrphidae,Syrphinae,Pipiza,,Syrphidae | Syrphinae | Pipizini | Pipiza,"luteitarsis Zetterstedt, 1843",,4J6PD,1536360,4J6PD,1536360
B43:1:35,"Pipiza noctiluca (Linnaeus, 1758)","(Linnaeus, 1758)",Pipiza,,noctiluca,,species,,B43:1,accepted,,,B43:1:26,"Pipiza Fallén, 1817",,,,,Syrphidae,Syrphinae,Pipiza,,Syrphidae | Syrphinae | Pipizini | Pipiza,"noctiluca (Linnaeus, 1758)",,4J6PX,1536342,4J6PX,1536342
B43:1:36,"Pipiza quadrimaculata (Panzer, 1804)","(Panzer, 1804)",Pipiza,,quadrimaculata,,species,,B43:1,accepted,,,B43:1:26,"Pipiza Fallén, 1817",,,,,Syrphidae,Syrphinae,Pipiza,,Syrphidae | Syrphinae | Pipizini | Pipiza,"quadrimaculata (Panzer, 1804)",,4J6QG,1536289,4J6QG,1536289
B43:1:37,"Pipizella Rondani, 1856","Rondani, 1856",,,,,genus,,B43:1,accepted,,,B43:1:11,Pipizini,,,,,Syrphidae,Syrphinae,Pipizella,,Syrphidae | Syrphinae | Pipizini,"Pipizella Rondani, 1856",,BYMM4,1532919,BYMM4,1532919
B43:1:38,"Pipizella annulata (Macquart, 1829)","(Macquart, 1829)",Pipizella,,annulata,,species,,B43:1,accepted,,,B43:1:37,"Pipizella Rondani, 1856",,,,,Syrphidae,Syrphinae,Pipizella,,Syrphidae | Syrphinae | Pipizini | Pipizella,"annulata (Macquart, 1829)",,4J6RH,1532931,4J6RH,1532931
B43:1:39,"Pipizella divicoi (Goeldlin de Tiefenau, 1974)","(Goeldlin de Tiefenau, 1974)",Pipizella,,divicoi,,species,,B43:1,accepted,,,B43:1:37,"Pipizella Rondani, 1856",,,,,Syrphidae,Syrphinae,Pipizella,,Syrphidae | Syrphinae | Pipizini | Pipizella,"divicoi (Goeldlin de Tiefenau, 1974)",,4J6RY,1532959,4J6RY,1532959
B43:1:40,"Pipizella absurdens Lucas, 1976","Lucas, 1976",Pipizella,,absurdens,,species,,B43:1,synonym,B43:1:39,"Pipizella divicoi (Goeldlin de Tiefenau, 1974)",,,,,,,Syrphidae,Syrphinae,Pipizella,,Syrphidae | Syrphinae | Pipizini | Pipizella,"absurdens Lucas, 1976",,77KMB,1532961,4J6RY,1532959
B43:1:41,"Pipizella opaca Violovitsj, 1981","Violovitsj, 1981",Pipizella,,opaca,,species,,B43:1,synonym,B43:1:39,"Pipizella divicoi (Goeldlin de Tiefenau, 1974)",,,,,,,Syrphidae,Syrphinae,Pipizella,,Syrphidae | Syrphinae | Pipizini | Pipizella,"opaca Violovitsj, 1981",,4J6SK,1532962,4J6RY,1532959
B43:1:42,"Pipizella pennina (Goeldlin de Tiefenau, 1974)","(Goeldlin de Tiefenau, 1974)",Pipizella,,pennina,,species,,B43:1,accepted,,,B43:1:37,"Pipizella Rondani, 1856",,,,,Syrphidae,Syrphinae,Pipizella,,Syrphidae | Syrphinae | Pipizini | Pipizella,"pennina (Goeldlin de Tiefenau, 1974)",,4J6SM,1532956,4J6SM,1532956
B43:1:43,"Pipizella microapicalis Lucas, 1976","Lucas, 1976",Pipizella,,microapicalis,,species,,B43:1,synonym,B43:1:42,"Pipizella pennina (Goeldlin de Tiefenau, 1974)",,,,,,,Syrphidae,Syrphinae,Pipizella,,Syrphidae | Syrphinae | Pipizini | Pipizella,"microapicalis Lucas, 1976",,4J6SB,1532957,4J6SM,1532956
B43:1:44,"Pipizella viduata (Linnaeus, 1758)","(Linnaeus, 1758)",Pipizella,,viduata,,species,,B43:1,accepted,,,B43:1:37,"Pipizella Rondani, 1856",,,,,Syrphidae,Syrphinae,Pipizella,,Syrphidae | Syrphinae | Pipizini | Pipizella,"viduata (Linnaeus, 1758)",,4J6SZ,1532982,4J6SZ,1532982
B43:1:45,"Pipizella varipes (Meigen, 1822)","(Meigen, 1822)",Pipizella,,varipes,,species,,B43:1,synonym,B43:1:44,"Pipizella viduata (Linnaeus, 1758)",,,,,,,Syrphidae,Syrphinae,Pipizella,,Syrphidae | Syrphinae | Pipizini | Pipizella,"varipes (Meigen, 1822)",,,6098349,,1532982
B43:1:46,"Pipizella virens (Fabricius, 1805)","(Fabricius, 1805)",Pipizella,,virens,,species,,B43:1,accepted,,,B43:1:37,"Pipizella Rondani, 1856",,,,,Syrphidae,Syrphinae,Pipizella,,Syrphidae | Syrphinae | Pipizini | Pipizella,"virens (Fabricius, 1805)",,4J6T2,1532941,4J6T2,1532941
B43:1:47,"Pipizella zeneggenensis (Goeldlin de Tiefenau, 1974)","(Goeldlin de Tiefenau, 1974)",Pipizella,,zeneggenensis,,species,,B43:1,accepted,,,B43:1:37,"Pipizella Rondani, 1856",,,,,Syrphidae,Syrphinae,Pipizella,,Syrphidae | Syrphinae | Pipizini | Pipizella,"zeneggenensis (Goeldlin de Tiefenau, 1974)",,4J6T3,1532976,4J6T3,1532976
