scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B1676:1:1,Apterygida media,,Apterygida,,media,,species,,B1676:1,accepted,,,,,,,,,,,Apterygida,,,Apterygida media,8MWTN,4393122,8MWTL,4421304
B1676:1:2,Chelidurella acanthopygia,,Chelidurella,,acanthopygia,,species,,B1676:1,accepted,,,,,,,,,,,Chelidurella,,,Chelidurella acanthopygia,8N86Z,5888630,8N86Z,5888630
B1676:1:3,Euborellia annulipes,,Euborellia,,annulipes,,species,,B1676:1,accepted,,,,,,,,,,,Euborellia,,,Euborellia annulipes,3BNX9,1419894,3BNX9,1419894
B1676:1:4,Forficula auricularia,,Forficula,,auricularia,,species,,B1676:1,accepted,,,,,,,,,,,Forficula,,,Forficula auricularia,6JGYS,1419845,6JGYS,1419845
B1676:1:5,Labia minor,,Labia,,minor,,species,,B1676:1,accepted,,,,,,,,,,,Labia,,,Labia minor,6NQ9V,1419851,6NQ9V,1419851
B1676:1:6,Labidura riparia,,Labidura,,riparia,,species,,B1676:1,accepted,,,,,,,,,,,Labidura,,,Labidura riparia,3RJLW,1419912,3RJLW,1419912
