scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B163:13:1,"Takecallis Matsumura, 1917","Matsumura, 1917",,,,,genus,,B163:13,accepted,,,,,,,,,,,Takecallis,,,8NPCB,2077109
B163:13:2,Takecallis taiwana (Takahashi),(Takahashi),Takecallis,,taiwana,,species,,B163:13,accepted,,,B163:13:1,"Takecallis Matsumura, 1917",,,,,,,Takecallis,,Takecallis,8PKFX,4386522
B163:13:3,Takecallis arundinariae (Essig),(Essig),Takecallis,,arundinariae,,species,,B163:13,accepted,,,B163:13:1,"Takecallis Matsumura, 1917",,,,,,,Takecallis,,Takecallis,54KNC,2077113
B163:13:4,Takecallis arundicolens (Clarke),(Clarke),Takecallis,,arundicolens,,species,,B163:13,accepted,,,B163:13:1,"Takecallis Matsumura, 1917",,,,,,,Takecallis,,Takecallis,7BHFV,2077119
